date,HAITONG INTERNATIONAL SECURITIES CO LTD,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CHONG HING SECURITIES LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-13,0.0,100.0,0.0,0.0,0.0,0.0
2024-05-07,0.0,87.91666666666667,0.0,12.083333333333334,0.0,0.0
2024-05-08,0.0,57.49318801089919,34.60490463215259,7.901907356948229,0.0,0.0
2024-05-14,48.01699716713881,29.886685552407933,17.988668555240793,4.107648725212465,0.0,0.0
2024-05-21,48.29059829059829,29.48717948717949,18.091168091168093,4.131054131054131,0.0,0.0
2024-06-18,48.22190611664296,29.58748221906117,18.06543385490754,4.125177809388336,0.0,0.0
2024-06-24,47.92560801144492,29.756795422031473,18.168812589413445,4.148783977110158,0.0,0.0
2024-06-25,47.99426934097421,29.656160458452725,18.19484240687679,4.154727793696275,0.0,0.0
2024-07-09,46.463245492371705,28.71012482662968,20.804438280166433,4.0221914008321775,0.0,0.0
2024-07-23,43.60056258790436,29.11392405063291,23.20675105485232,4.0787623066104075,0.0,0.0
2024-07-31,46.616541353383454,31.127819548872182,17.894736842105264,4.360902255639098,0.0,0.0
2024-08-02,47.32824427480916,31.603053435114504,16.6412213740458,4.427480916030534,0.0,0.0
2024-08-30,46.26865671641791,30.895522388059703,18.507462686567163,4.328358208955224,0.0,0.0
2024-09-02,46.13095238095239,30.80357142857143,18.75,4.315476190476191,0.0,0.0
2024-09-04,49.52076677316294,33.06709265175719,12.779552715654951,4.63258785942492,0.0,0.0
2024-09-16,51.08359133126935,32.04334365325077,12.38390092879257,4.489164086687306,0.0,0.0
2024-09-26,53.65853658536586,33.65853658536586,12.032520325203253,0.6504065040650406,0.0,0.0
2025-03-21,53.65853658536586,33.65853658536586,12.032520325203253,0.6504065040650406,0.0,0.0
