date,217,1085,454,1569,Others
2025-03-24,100.0,0.0,0.0,0.0,0.0
2025-03-25,100.0,0.0,0.0,0.0,0.0
2025-03-26,99.99633699633699,0.0,0.0,0.003663003663003663,0.0
2025-03-27,100.0,0.0,0.0,0.0,0.0
2025-03-28,99.99614806825623,0.0,0.0038519317437695003,0.0,0.0
2025-03-31,100.0,0.0,0.0,0.0,0.0
2025-04-01,100.0,0.0,0.0,0.0,0.0
2025-04-02,100.0,0.0,0.0,0.0,0.0
2025-04-03,100.0,0.0,0.0,0.0,0.0
2025-04-09,99.99493670886076,0.005063291139240506,0.0,0.0,0.0
2025-04-10,100.0,0.0,0.0,0.0,0.0
2025-04-11,100.0,0.0,0.0,0.0,0.0
2025-04-14,100.0,0.0,0.0,0.0,0.0
2025-04-16,100.0,0.0,0.0,0.0,0.0
2025-04-17,100.0,0.0,0.0,0.0,0.0
2025-04-22,100.0,0.0,0.0,0.0,0.0
2025-04-25,100.0,0.0,0.0,0.0,0.0
