date,CHINA INTERNATIONAL CAPITAL CORPORATION,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA GALAXY INTERNATIONAL SECURITIES
2024-03-01,0.0,22.045836496310752,31.14871287624971,17.640337472447946,0.0,14.499655154986312,9.836102920276026,4.829355079729253
2024-03-04,0.0,22.189883731182253,31.160417703831676,17.63098943977361,0.0,14.410706225543525,9.77677365599292,4.831229243676011
2024-03-05,0.0,22.214550480266876,31.171096639940938,17.676281244537915,0.0,14.405963596941879,9.699223091914018,4.83288494639838
2024-03-06,0.0,22.204345413645505,31.15966830772988,17.65229815305749,0.0,14.394312016929309,9.75885722855395,4.830518880083858
2024-03-07,0.0,19.382683916125412,27.1551155050259,15.34329652788978,12.747901142821974,12.628641631975551,8.532647076304352,4.209714199857028
2024-03-08,0.0,19.333611444328696,27.10720324993433,15.409972347361872,12.726426242190678,12.578027045047879,8.642137085272692,4.20262258586385
2024-03-11,0.0,19.333233869829076,27.1135707294201,15.52391666625369,12.729415678514194,12.560388361618779,8.535864912851421,4.20360978151274
2024-03-12,0.0,19.378825620935064,27.114268827943977,15.496576003169086,12.729352001056984,12.519472706575701,8.557916086887293,4.203588753431895
2024-03-13,28.618107990993902,13.85506957598786,19.351128693543217,11.02639922704208,9.084785959782197,8.951360779514417,6.113096860512856,3.000050912623473
2024-03-14,28.61602045436265,13.886068873136223,19.35257303936922,10.948699633632202,9.084123273643614,8.93755875744591,6.175123893320543,2.99983207508964
2024-03-15,28.61409250438462,13.902420852326076,19.352476318865993,10.915885452674582,9.072178322811867,8.962622139927365,6.1805073265137285,2.999817082495771
2024-03-18,28.60973483433006,13.900541592881952,19.344770014858348,10.905359246330464,9.070796711292964,8.99219133138764,6.17724603170167,2.999360237216908
2024-03-19,28.60687583459793,13.92984559400115,19.342836872429352,10.875420331544303,9.069890257405225,9.00307031607772,6.173000285828865,2.9990605081154533
