date,BOCI SECURITIES LTD,SINOPAC SECURITIES (ASIA) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA GALAXY INTERNATIONAL SECURITIES,SDICS INTERNATIONAL SECURITIES (HONG,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,56.76428824991125,43.23571175008875,0.0
2024-03-04,0.0,0.0,41.073062583988246,0.0,0.0,33.444707629400725,25.482229786611033,0.0
2024-03-05,0.0,0.0,41.10745367293432,0.0,0.0,33.44392868169996,25.448617645365722,0.0
2024-03-06,20.92822150872199,0.0,32.50099301578896,0.0,0.0,26.44028665055774,20.130498824931315,0.0
2024-03-07,16.875183494808766,0.0,26.206728587823953,0.0,19.451784236795046,21.121253369631944,16.345050310940294,0.0
2024-03-08,16.87473310558343,0.0,26.28009234546813,0.0,19.451265079534537,21.06664353581723,16.327265933596667,0.0
2024-03-13,16.87343837046773,0.0,26.278075972338517,0.0,19.44977265676342,21.06502717110289,16.333685829327443,0.0
2024-03-14,16.861850899914327,0.0,26.26003006937291,0.0,19.436415944101636,21.05056121717621,16.391141869434918,0.0
2024-03-15,16.855332917901023,0.0,26.24987920250326,0.0,19.428902758848206,21.042090846382237,16.42379427436527,0.0
2024-03-18,16.826959862938505,0.0,26.20569204411251,0.0,19.396197541542605,21.061228563349356,16.50992198805702,0.0
2024-03-19,16.828527416516117,0.0,26.307944651275754,0.0,19.39800443827832,21.063190569823036,16.402332924106773,0.0
2024-03-21,16.871187130387217,0.0,26.374634348097274,0.0,19.44717768431024,20.581907693949773,16.725093143255496,0.0
2024-03-25,16.870511875498217,0.0,26.373578725831255,0.0,19.446399327594317,20.581083920632114,16.7284261504441,0.0
2024-03-26,16.854827423041808,0.0,26.34905930729295,0.0,19.521289712027404,20.561949763077394,16.712873794560444,0.0
2024-03-27,16.9038325290414,0.0,26.42566872084163,0.0,19.57804750892296,20.62173326025639,16.470717980937614,0.0
2024-03-28,16.565250995598408,0.0,25.86361611821421,0.0,21.347725843638653,20.208682666107734,16.014724376441,0.0
2024-04-02,16.603150531598867,0.0,25.906705137421344,0.0,21.42052933395044,19.983784511254008,16.08583048577534,0.0
