date,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD,HANG SENG SECURITIES LTD,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,UOB KAY HIAN (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,THE BANK OF EAST ASIA LTD
2024-03-01,82.83711735457976,0.0,0.0,0.0,0.0,0.0,0.0,17.162882645420236,0.0,0.0
2024-03-04,82.98879501468033,0.0,0.0,0.0,0.0,0.0,0.0,17.011204985319672,0.0,0.0
2024-03-05,83.00915674187563,0.0,0.0,0.0,0.0,0.0,0.0,16.990843258124364,0.0,0.0
2024-03-06,58.32107276472319,29.744840052124932,0.0,0.0,0.0,0.0,0.0,11.934087183151878,0.0,0.0
2024-03-07,58.35470175291101,29.744840052124932,0.0,0.0,0.0,0.0,0.0,11.90045819496406,0.0,0.0
2024-03-08,58.406558755518176,29.749842337607735,0.0,0.0,0.0,0.0,0.0,11.84359890687408,0.0,0.0
2024-03-11,58.43178473828042,29.749842337607735,0.0,0.0,0.0,0.0,0.0,11.818372924111834,0.0,0.0
2024-03-12,58.50826637499475,29.76736359429557,0.0,0.0,0.0,0.0,0.0,11.724370030709688,0.0,0.0
2024-03-14,52.37144471651912,26.6566208325485,0.0,10.472782068186099,0.0,0.0,0.0,10.49915238274628,0.0,0.0
2024-03-15,52.44136580958476,26.638557391860857,0.0,10.495802431954223,0.0,0.0,0.0,10.424274366600159,0.0,0.0
2024-03-18,52.50065955602457,26.668676742170128,0.0,10.507669694342894,0.0,0.0,0.0,10.322994007462405,0.0,0.0
2024-03-19,52.51497682830338,26.660638257789838,0.0,10.504502467879885,0.0,0.0,0.0,10.3198824460269,0.0,0.0
2024-03-20,52.610123428830256,26.7089419846752,0.0,10.52353451855207,0.0,0.0,0.0,10.157400067942476,0.0,0.0
2024-03-21,48.2842287694974,24.533795493934143,0.0,9.663778162911612,0.0,0.0,8.530329289428076,8.98786828422877,0.0,0.0
2024-03-22,44.954187637114465,22.835204542521616,0.0,8.994708994708994,7.291263388824365,0.0,7.939734159246354,7.984901277584204,0.0,0.0
2024-03-25,45.0296927446424,22.844048541182545,0.0,8.998192615543505,7.294087270849471,0.0,7.942809191840951,7.8911696359411305,0.0,0.0
2024-03-26,45.04260263361735,22.844048541182545,0.0,8.998192615543505,7.294087270849471,0.0,7.942809191840951,7.878259746966176,0.0,0.0
2024-03-28,45.156280333915745,22.90170193489937,0.0,9.02090209020902,7.3124959554779005,0.0,7.962855109040317,7.645764576457646,0.0,0.0
2024-04-02,45.198911494103925,22.92989503693145,0.02591680704937152,9.032007256705974,7.321497991447454,0.0,7.972657768562913,7.519113645198912,0.0,0.0
2024-04-03,45.24983776768332,22.965606748864374,0.025957170668397145,9.046073977936404,7.332900713822194,0.0,7.91369240752758,7.465931213497728,0.0,0.0
2024-04-05,45.90089799082628,22.895535887331224,1.1564054525486143,9.00574972543446,7.30021319206667,0.0,7.11609277085083,6.625104980941922,0.0,0.0
2024-04-08,45.94454856847411,22.904414140761325,1.1568538744910488,9.009241905254314,7.303044012150198,0.0,7.1188521941446385,6.563045304724359,0.0,0.0
