date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,BNP PARIBAS
2024-03-01,39.39712198279035,25.485300031531548,13.98243081817035,7.117670074308981,5.249928339675216,2.365523395264864,2.0142355037559834,1.540810411418727,1.222902952508242,1.624076490575739
2024-03-04,39.54123766411814,25.36109209324143,13.895076906912823,7.150216731662402,5.205329925162966,2.360256012879132,2.013320989296009,1.5418707553324977,1.2246443711204198,1.7069545502741768
2024-03-05,39.67172221524139,25.207512438973417,13.931148654593631,7.113854582944022,5.2003731214031905,2.3626977310564845,2.0101837396459996,1.5224314744970202,1.2071428773059558,1.7729331643388864
2024-03-06,39.90680759956716,25.142372992915966,13.779143785503004,7.073956999492563,5.203152165982594,2.361844298717771,2.0305963779028584,1.5193255384435131,1.2130784034246274,1.769721838049943
2024-03-07,40.049766965529415,25.16984126982864,13.729332633341787,7.039515961352376,5.197939804752768,2.3577289883923678,2.030921580555878,1.5194982127056929,1.21740830381224,1.6880462797288338
2024-03-08,40.16346137580706,25.197847956580883,13.62396046567078,7.035730855664908,5.1620343600525,2.359062814590322,2.03605490145496,1.5192954308310853,1.226804168112899,1.675747671234595
2024-03-11,40.44473911366025,25.230453342853092,13.479521236336428,7.001234967968414,5.139013155594982,2.332916756694791,2.027827368045251,1.503102748947723,1.2252884284134684,1.615902881485606
2024-03-12,40.51659471097671,25.42007671192959,13.371966170234304,6.961875935195513,5.095393508818467,2.3145301127171583,2.0370401580576263,1.4759462436465536,1.2242367624440251,1.5823396859800554
2024-03-13,40.62767767187196,25.310521108559257,13.326885737757326,6.946217305903632,5.132322874139057,2.316045200249119,2.043118047187651,1.4842758325412595,1.2260770768024105,1.5868591449883254
2024-03-14,40.631345860513,25.116861810192713,13.395147003519622,6.986879456733909,5.135185059472471,2.3270042642924635,2.053323747749411,1.4892181923315488,1.2275292418944812,1.6375053633003784
2024-03-15,40.774423715578614,25.055087731953087,13.362512789324397,6.998674207695522,5.13731015254792,2.3248675816913327,2.048657294488874,1.4873598099114194,1.2281866770312586,1.5829200397775818
2024-03-18,40.78849203044301,25.027130960977384,13.358678700225418,7.001568460824068,5.187041568903138,2.3247680905971455,2.0605699787029494,1.477555519794451,1.2247889316299947,1.5494057579024438
2024-03-19,40.86242690612639,24.926761019147218,13.322566277645628,6.991658452241493,5.236246191246777,2.333530070669723,2.0562064095792505,1.4749473408620115,1.2226878503274528,1.5729694821540623
2024-03-20,40.89593112205681,24.950178518050073,13.274802038252897,6.981337706994978,5.236115439254117,2.335486603585263,2.0542448233214707,1.4778364226291025,1.2227556096740324,1.571311716181255
