date,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CITIBANK N.A.,CMB WING LUNG BANK LTD,ICBC (ASIA) SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,UOB KAY HIAN (HONG KONG) LTD
2024-03-07,0.0,0.0,0.24613132516644246,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,0.24383548462201748,0.0,0.0,0.0,0.0,0.0
2024-03-20,0.0,0.0,0.24395631833488196,0.0,0.0,0.0,0.0,0.0
2024-03-27,0.0,0.0,0.2440771520477464,0.0,0.0,0.0,0.0,0.0
2024-04-09,0.0,0.0,0.2441979857606109,0.0,0.0,0.0,0.6166854265537153,0.0
2024-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.5837189688414653,0.0
2024-04-30,0.0,0.0,0.0,0.0,10.073796682832436,0.0,0.0,0.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.5849273059701101,0.0
2024-05-09,0.0,0.0,0.0,0.0,10.071380008575145,0.0,0.0,0.0
2024-05-10,0.0,0.3231172023909379,0.2440771520477464,0.0,10.068721666892127,0.0,0.0,0.0
2024-05-13,0.7092371026694122,0.0,0.0,0.0,10.065217489219059,0.0,0.0,0.0
2024-05-14,0.0,0.3261380452125497,0.0,0.0,10.061713311545988,0.0,0.0,0.5675468867959663
2024-07-22,0.0,0.0,0.0,0.0,0.0,0.0,8.937020299788864,0.0
2024-07-24,0.0,0.3236911625270441,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,0.0,0.0,0.2441979857606109,0.0,0.0,0.0,0.0,0.0
2024-08-19,0.7092352901637191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-29,0.0,0.0,0.0,0.0,0.0,0.0,8.934835324175992,0.0
2024-09-13,0.0,0.0,0.0,0.0,0.0,0.0,8.93483230333317,0.0
2024-09-17,0.0,0.0,0.24431881947347536,0.0,0.0,0.0,0.0,0.0
2024-09-20,0.0,0.32995669262334926,0.24443965318633987,0.30572228317125044,0.0,0.0,0.0,0.0
2024-09-24,0.0,0.0,0.0,0.0,0.0,0.0,8.925769774868336,0.0
2024-10-03,0.7082686204608034,0.0,0.24456048689920434,0.0,0.0,0.0,0.0,0.0
2024-10-04,0.0,0.33297753544496106,0.24274798120623725,0.0,0.0,0.0,0.0,0.0
2024-10-09,0.7073623676143199,0.3338233714350124,0.0,0.0,0.0,0.0,8.913686403581888,0.0
2024-10-15,0.0,0.0,0.24286881491910167,0.0,0.0,0.0,0.0,0.0
2024-10-16,0.7037373562283857,0.0,0.24298964863196615,0.0,0.0,0.0,8.911632230463193,0.0
2024-10-17,0.0,0.0,0.0,0.0,0.0,0.0,8.908128052790122,0.0
2024-10-18,0.0,0.0,0.0,0.0,0.0,0.0,8.902086367146898,0.0
2024-10-22,0.0,0.0,0.0,0.0,0.0,0.0,8.902207200859763,0.0
2024-10-23,0.0,0.0,0.24311048234483065,0.0,0.0,0.0,8.90184469972117,0.0
2024-10-24,0.0,0.0,0.0,0.0,0.0,0.0,8.901482198582576,0.0
2024-10-25,0.0,0.0,0.0,0.0,0.0,0.0,8.901119697443983,0.0
2024-10-29,0.0,0.0,0.24323131605769513,0.0,0.0,0.0,0.0,0.0
2024-11-06,0.0,0.0,0.0,0.0,0.0,0.0,8.898098854622372,0.0
2024-11-12,0.0,0.0,0.24347298348342405,0.0,0.0,0.0,0.0,0.0
2024-11-13,0.7146123903861883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03,0.7131623858318146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-11,0.7083290373172356,0.3396233896525071,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-23,0.0,0.0,0.0,0.0,0.0,0.0,8.897736353483777,0.0
2025-01-07,0.0,0.0,0.0,0.0,0.0,0.0,8.884082143930092,0.0
2025-01-08,0.0,0.0,0.0,0.0,0.0,0.0,8.881061301108481,0.0
2025-01-10,0.7113498801388475,0.0,0.2435334003398563,0.0,0.0,0.0,8.817140267003174,0.0
2025-01-13,0.0,0.0,0.0,0.0,0.0,0.0,8.816891953723239,0.0
2025-01-24,0.7083290373172356,0.3440942370284926,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03,0.0,0.0,0.24413756890417868,0.0,0.0,0.0,0.0,0.0
2025-02-11,0.0,0.0,0.0,0.0,0.0,0.33545674114865787,0.0,0.0
2025-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5665198002366184
2025-02-19,0.0,0.0,0.0,0.0,0.0,0.0,8.814745644898482,0.0
2025-02-25,0.0,0.0,0.24425840261704315,0.0,0.0,0.0,8.813537307769838,0.0
2025-03-18,0.0,0.0,0.0,0.0,0.0,0.0,8.813530359831349,0.0
2025-03-21,0.0,0.3465109112857821,0.0,0.0,0.0,0.0,8.783321931615228,0.5541301154880597
2025-03-24,0.0,0.0,0.0,0.0,0.0,0.0,8.777159412259142,0.0
2025-03-26,0.0,0.3489275855430715,0.0,0.31357647450744125,0.0,0.33823591654454077,8.780784423645075,0.0
2025-03-27,0.7259707593954488,0.0,0.0,0.0,0.0,0.33944425367318554,8.765196874685559,0.0
2025-03-31,0.0,0.35327759920619256,0.0,0.0,0.0,0.34113592565328815,0.0,0.0
2025-04-11,0.7531583447899552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
