date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA INDUSTRIAL SECURITIES,CHINA PA SECURITIES (HONG KONG) CO LTD,CMB INTERNATIONAL SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-04,0.0,1.0826855862221045,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,9.433737905793112,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,9.432727089262235,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,1.0824328820893852,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,9.422618923953467,0.0,0.0,0.0,0.0,0.0
2024-03-20,19.403382483935047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,19.406920341793114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,19.42334611041986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,19.432190755065033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,0.0,1.0811693614257893,0.0,0.0,0.0,0.0,9.101553774659346,0.0
2024-04-03,19.43188751010577,1.080663953160351,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,19.43214021423849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-16,19.45791603577585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,19.483186449047768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,19.53120023426441,0.0,9.37460513873682,0.0,0.0,0.0,0.0,0.0
2024-05-22,0.0,0.0,9.369551056082436,0.0,0.0,0.0,0.0,0.0
2024-05-31,0.0,1.078136911833159,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-03,19.53044212186626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-04,19.549394931820192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-05,19.55040574835107,0.0,9.369298351949718,0.0,0.0,0.0,0.0,0.0
2024-06-07,19.568095037641413,0.0,9.366771310622525,0.0,0.0,0.0,0.0,0.0
2024-06-11,19.578203202950185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,19.587553255860794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-18,19.615098006327184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-20,19.61636152699078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,19.61711963938894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-16,19.627227804697707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23,19.629573909865872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12,19.629624450692415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,0.0,0.0,9.369298351949718,0.0,0.0,0.0,0.0,0.0
2024-08-26,19.635689349877676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
