date,LEGO SECURITIES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,SDICS INTERNATIONAL SECURITIES (HONG,KGI ASIA LTD,CMB INTERNATIONAL SECURITIES LTD,USMART SECURITIES LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,48.2025955615107,0.0,51.7974044384893,0.0,0.0,0.0
2024-03-27,0.0,0.0,48.09250966426758,0.0,51.90749033573242,0.0,0.0,0.0
2024-04-03,0.0,0.0,47.96622059169775,0.0,52.03377940830225,0.0,0.0,0.0
2024-04-05,0.0,0.0,25.503110416015645,46.90102627023413,27.59586331375023,0.0,0.0,0.0
2024-04-15,0.0,0.0,25.486828529076412,46.9112768620552,27.601894608868378,0.0,0.0,0.0
2024-04-26,0.0,0.0,25.48237302905305,46.92055760904621,27.59706936190074,0.0,0.0,0.0
2024-04-30,0.0,52.0082000746224,12.229449480341522,22.51802013160499,13.244330313431082,0.0,0.0,0.0
2024-05-02,0.0,51.968464530113344,12.217149658197524,22.583376041225538,13.231009770463597,0.0,0.0,0.0
2024-05-06,0.0,51.99243152019592,12.222784004090613,22.547672783963215,13.237111691750252,0.0,0.0,0.0
2024-05-07,0.0,51.97499879032353,12.260597483566999,22.531730353277286,13.232673372832176,0.0,0.0,0.0
2024-05-08,0.0,51.99679153001829,12.265738263089466,22.499248470173747,13.2382217367185,0.0,0.0,0.0
2024-05-13,0.0,51.94234391066639,12.252894388912473,22.580402158595973,13.224359541825168,0.0,0.0,0.0
2024-05-14,0.0,51.82490874850293,12.430384316830455,22.550246020634855,13.194460914031763,0.0,0.0,0.0
2024-05-17,0.0,51.87550113966574,12.419484926075851,22.522122379759935,13.182891554498473,0.0,0.0,0.0
2024-05-22,0.0,51.879519587381075,12.418447885649277,22.520241758177068,13.181790768792581,0.0,0.0,0.0
2024-05-31,0.0,51.885231202558245,12.41481960761325,22.52200972373996,13.177939466088546,0.0,0.0,0.0
2024-06-03,0.0,51.88956277126579,12.415856042122178,22.515541577980066,13.179039608631967,0.0,0.0,0.0
2024-06-04,0.0,51.88847981128747,12.41768396507192,22.515071667864873,13.178764555775738,0.0,0.0,0.0
2024-06-24,0.0,51.89281192244609,12.41872070362092,22.508602537840762,13.179864836092229,0.0,0.0,0.0
2024-07-04,0.0,51.894978249299065,12.419239137815236,22.50536756773647,13.180415045149227,0.0,0.0,0.0
2024-07-08,0.0,51.90147831522446,12.408269276402722,22.508186460388522,13.182065947984295,0.0,0.0,0.0
2024-07-22,0.0,51.8880466399531,12.430937295151447,22.50236152704757,13.178654537847889,0.0,0.0,0.0
2024-08-20,0.0,51.89671144101345,12.433013141239925,22.497769687839376,13.172505729907241,0.0,0.0,0.0
2024-09-25,0.0,51.920337717912716,12.393147765933634,22.508011927116225,13.178502589037427,0.0,0.0,0.0
2024-09-26,0.0,51.93335219010247,12.38372114519007,22.50112072166684,13.181805943040622,0.0,0.0,0.0
2024-10-03,0.0,51.93536018910512,12.383203811428684,22.50018073042496,13.18125526904123,0.0,0.0,0.0
2024-10-04,0.0,51.93736802034523,12.382686520889047,22.499240817716654,13.18070464104907,0.0,0.0,0.0
2024-10-07,0.0,51.963416384673856,12.338743445026871,22.510524955598033,13.187315214701236,0.0,0.0,0.0
2024-10-08,0.0,47.706034628193535,11.30480350645211,20.675821961047706,12.10687364410844,8.206466260198207,0.0,0.0
2024-10-09,0.0,47.70621065484331,11.307772769146743,20.674235408907055,12.105944627291946,8.205836539810942,0.0,0.0
2024-10-17,0.0,47.70621065484331,11.32695643381122,20.655051744242577,12.105944627291946,8.205836539810942,0.0,0.0
2024-10-21,0.0,47.70255021593538,11.345269523091462,20.641957591874046,12.105015753040087,8.205206916059021,0.0,0.0
