date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,BANK OF EAST ASIA (TRUSTEES) LTD,BANK CONSORTIUM TRUST CO LTD,DBS VICKERS (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,IFAST SECURITIES (HK) LTD,INTERACTIVE BROKERS HONG KONG LTD,UOB KAY HIAN (HONG KONG) LTD
2024-03-01,54.47420575881659,0.0,36.10398655840365,0.0,9.421807682779768,0.0,0.0,0.0,0.0,0.0
2024-03-04,51.28999616992503,0.0,34.000897864820644,0.0,8.87106977021564,0.0,4.9505335272171145,0.0,0.8875026678215656,0.0
2024-03-05,51.15983538364889,0.0,34.167277493373355,0.0,8.848801091324528,0.0,4.9384588165125445,0.0,0.8856272151406812,0.0
2024-03-06,50.73013763441326,0.0,33.82456239913753,0.0,8.774539365076226,0.0,4.897013826062942,0.8938047478297085,0.8799420274803358,0.0
2024-03-07,50.69897595366349,0.0,33.859878234046235,0.0,8.772080138303279,0.0,4.895641347462358,0.8935542425354479,0.8798700839891869,0.0
2024-03-08,50.69706226144455,0.0,33.86237477039638,0.0,8.771749025865821,0.0,4.895456555746605,0.8935205142841571,0.8798368722624856,0.0
2024-03-11,50.69364347916165,0.0,33.86683479492802,0.0,8.771157498490822,0.0,4.895126428133823,0.8934602592719854,0.8797775400137012,0.0
2024-03-12,50.62324679246041,0.0,33.958831226600644,0.0,8.758886732049053,0.0,4.888278192526048,0.889942937385166,0.8808141189786776,0.0
2024-03-13,50.63131372820293,0.0,33.96383271002153,0.0,8.732371826377513,0.0,4.889057151375375,0.9007256892479625,0.882698894774684,0.0
2024-03-14,55.55005002859503,0.0,29.965932932525142,0.0,8.209202604838909,0.0,4.5980734456574535,0.846597899746874,0.8301430886365934,0.0
2024-03-15,61.403432035953045,0.0,25.944185206748305,0.0,7.176519072998283,0.0,4.001017979317076,0.7409595736712713,0.7338861313120204,0.0
2024-03-18,61.43113194916283,0.0,26.168568251060826,0.0,7.038719891400759,0.0,3.9241928503793884,0.7267321157895084,0.7106549422066808,0.0
