date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,CELESTIAL SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),CITIBANK N.A.
2024-03-01,0.0,31.076570992657576,68.92342900734243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,27.050132802124832,60.0929614873838,0.0,0.0,0.0,0.0,12.856905710491368,0.0,0.0
2024-03-06,0.0,26.99030734818988,60.185568718416036,0.0,0.0,0.0,0.0,12.824123933394086,0.0,0.0
2024-03-07,0.0,26.996355202120608,60.18058316766071,0.0,0.0,0.0,0.0,12.823061630218687,0.0,0.0
2024-03-11,0.0,27.026579448538545,60.155667798294274,0.0,0.0,0.0,0.0,12.817752753167177,0.0,0.0
2024-03-12,0.0,18.18851669217253,41.177804228305845,11.698690698860737,0.0,0.0,9.930283965312022,8.774018024145553,3.11171569460976,7.11897069659355
2024-03-13,0.0,18.34319526627219,41.42011834319527,11.743286299499317,0.0,0.0,9.956759217114246,8.807464724624488,3.123577605826126,6.605598543468366
2024-03-14,0.0,17.417822637232145,39.29400334646731,11.14049765207535,0.0,5.127651535596697,9.445673881362335,8.355373239056513,2.96324283478167,6.25573487342797
2024-03-15,0.0,17.413365000539784,39.296124365756235,11.141098996005613,0.0,5.127928316959948,9.446183741768326,8.355824247004211,2.963402785274749,6.256072546691136
2024-03-18,0.0,17.417822637232145,39.29400334646731,11.14049765207535,0.0,5.127651535596697,9.445673881362335,8.355373239056513,2.96324283478167,6.25573487342797
2024-03-19,0.0,17.422279792746114,39.29188255613126,11.139896373056994,0.0,5.127374784110535,9.445164075993091,8.354922279792747,2.9630829015544045,6.2553972366148525
2024-03-20,0.0,17.38919704884485,39.20512682427702,11.077602455705746,0.0,5.116053637783403,9.4243093327589,8.325704130540148,3.225806451612903,6.236200118477032
2024-03-21,0.0,12.949963268304629,29.569014774304136,8.395233042200637,0.0,3.8772345114684517,31.73210350175496,6.309689004979186,2.4446983919680023,4.722063505019999
2024-03-22,0.0,12.930648769574942,29.46918852959121,8.314012609314622,0.0,3.864144803742119,31.624974577994713,6.288387227984543,2.830994508846858,4.677648972950987
2024-03-25,0.0,12.953388968043967,29.90026460411154,8.259719112558518,0.0,3.867290860981071,31.21921432933035,6.281294524730308,2.841441074699776,4.677386525544474
2024-03-26,0.0,12.95745980052921,29.90026460411154,8.259719112558518,0.0,3.867290860981071,31.215143496845105,6.281294524730308,2.841441074699776,4.677386525544474
2024-03-27,0.0,12.979122492252488,29.950252813570383,8.273527972598272,0.0,3.8737563203392598,30.50888925134562,6.291795791877345,3.457837220681781,4.664818137334856
2024-03-28,0.0,13.12004576285037,30.011440712592957,8.290430661109749,0.0,3.8816703440385716,30.252512870801667,6.30464983247528,3.4649015281523248,4.67434828797908
2024-04-02,0.0,13.662231320368475,30.128966223132036,8.307062436028659,0.0,3.8894575230296824,29.535312180143297,6.317297850562947,3.471852610030706,4.687819856704197
2024-04-03,0.0,13.685503685503686,30.135135135135133,8.308763308763309,0.0,3.8902538902538906,29.500409500409503,6.318591318591318,3.4725634725634724,4.688779688779689
2024-04-05,0.0,13.636176434249,30.307647955191303,9.138832832255673,0.0,4.040196038054446,28.30608294551295,6.354762983402661,3.492442650632181,4.723858160701783
2024-04-09,0.0,13.701067615658364,30.451874534469916,9.1823222709592,0.0,4.059422328891831,27.944219150873128,6.385003724240669,3.52975254489779,4.746337830009104
2024-04-10,0.0,13.752855659397714,30.566978193146415,9.217030114226375,0.0,4.132917964693665,27.613707165109037,6.40913811007269,3.5430944963655246,4.764278296988577
2024-04-11,0.0,13.714000748036403,30.582221668121186,9.313053235257449,0.0,4.076798404189004,27.590076050367784,6.412334289157629,3.544861405477289,4.766654199393259
2024-04-12,0.0,13.685129740518962,30.59713905522289,9.318862275449103,0.0,4.0793413173652695,27.58649367930805,6.416333998669328,3.54707252162342,4.769627411842981
2024-04-15,0.0,13.839174227919754,30.625156080912348,9.327395321734787,0.0,4.083076666944144,27.37034878881212,6.4222092732872715,3.550320486140015,4.7823191542495636
