date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD,CHINA CITIC BANK INTERNATIONAL LTD
2024-03-12,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,46.659890602222724,53.34010939777727,0.0,0.0,0.0,0.0
2024-03-22,37.77910124526259,43.1878722252301,19.03302652950731,0.0,0.0,0.0
2024-04-02,35.23571947968005,40.28035872990224,17.751676496727804,0.0,0.0,6.732245293689909
2024-04-03,33.94399906600249,33.33398194271482,17.100910647571606,8.715364259028641,0.0,6.905744084682441
2024-06-19,33.963273484155856,33.324255451592194,17.095920788997606,8.712821211119108,0.0,6.903729064135235
2024-07-03,33.95749233986674,33.32717280287923,17.097417440785954,8.713583969651282,0.0,6.904333446816789
2024-08-20,33.98228365618612,33.35150394237321,17.10989973717512,8.646938576851943,0.0,6.9093740874136085
2024-09-16,31.75137337650526,31.162003856368464,15.986648233710483,8.079273838541855,6.5649215993014876,6.455779095572453
2024-11-22,31.81822324708113,31.01707119224915,16.02030678928516,8.096284076305405,6.578743494627086,6.469371200452072
2024-12-30,31.833020261521344,30.98499079021757,16.027757007641384,8.100049240420915,6.581802928893185,6.4723797713056
2025-02-19,31.78450195276855,31.007044566923387,16.039164872066284,8.1058145052378,6.58648757163193,6.476986531372048
2025-03-28,31.81062667811284,30.950336992456485,16.052347988091107,8.112476940218086,6.591901221940128,6.482310179181355
