date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,DBS BANK LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG)
2024-03-01,34.07130536540848,18.075416892124395,27.30276134217235,0.0,5.074527506199197,8.48409838065086,2.151432738138597,3.1470050830576253,1.525284377973041,0.16816831427545728
2024-03-04,34.05378058234639,18.056820582042572,27.307112130526246,0.0,5.07222426363023,8.606220419556333,2.146060668132127,3.0638724891774327,1.525731102436673,0.16817776215199937
2024-03-05,31.36565251118178,16.628821958200994,25.18247356480704,7.592036537303895,4.669245962597827,8.172604836137198,1.9773656624815266,2.84861223345177,1.4081143917174517,0.15507234212051293
2024-03-06,31.376954847661136,16.664225474206194,25.146064392832834,7.587125333953907,4.667580650783953,8.157670437418735,1.987266688121481,2.850936649162858,1.4071188001067012,0.1550567257521973
2024-03-07,31.491796592754902,16.646207462886014,25.047093485514427,7.582004763378729,4.665107616721848,8.187135515151486,1.985671553590545,2.836231749266519,1.4039684652275597,0.15478279550797092
2024-03-08,31.490626225061224,16.65260604201375,24.966384622119904,7.566139640787571,4.6613778043749,8.298842351019829,1.9847556263452244,2.83842855563168,1.3861211385342669,0.15471799411164786
2024-03-11,31.509149149644877,16.678714239615232,24.87488964093126,7.572115872703036,4.667509915910905,8.317479057724803,1.9979234376872477,2.8388924113180107,1.3884860739626392,0.15484020050198755
2024-03-12,31.4335871199656,16.696962730623277,24.821288307295074,7.567684083415605,4.6635934071439245,8.39053196807697,1.997871119783042,2.88546590338215,1.3880119157132065,0.1550034446011478
2024-03-13,31.424558120779185,16.666510029001333,24.677337797202696,7.56465501106576,4.662129720026243,8.573057848456132,2.0035002070406502,2.8844801329178633,1.388745142233431,0.15502599127670694
2024-03-14,31.406072168024128,16.718201529310317,24.448028609345666,7.566457809020209,4.662218755994017,8.768295091145738,2.004316114998441,2.8854213856230713,1.3861794271376773,0.15480910940073234
2024-03-15,31.609784232802784,16.62800150978087,24.480941203291163,7.575474698976197,4.669655247992913,8.66914719311776,2.0023844342747132,2.820837807197334,1.3888647883116327,0.1549088842546309
2024-03-18,31.65294657306558,16.608841899045192,24.469411201253262,7.565281313472679,4.608553661878859,8.729870556922798,1.9998592635647159,2.825247963878769,1.385287124515394,0.15470044240275058
2024-03-19,31.68988120101871,16.544392369017828,24.49141822717731,7.550076464539887,4.598295074981393,8.78238564946435,1.996093185594236,2.8157145404015136,1.377184913403096,0.15455837440167572
2024-03-20,31.61965637929255,16.48079372304349,24.47113855074277,7.5547301289912205,4.629263421168453,8.910065051322979,1.9829148088328463,2.818725568264363,1.3762217654719004,0.1564906028694335
2024-03-21,31.759763935961256,16.487199172932108,24.426824740263793,7.549343209282024,4.619763755952393,8.826846907998648,1.9917195457837125,2.804385716044512,1.3772672885524637,0.15688572722908817
