date,CITIC SECURITIES BROKERAGE (HK) LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CMB WING LUNG BANK LTD,DBS BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING
2024-11-08,13269000.0,5475000.0,157000.0,66000.0,161023291.0,7000.0,0.0,16000.0,1319000.0,60000.0
2024-11-12,11613000.0,4662288.0,2677000.0,492000.0,0.0,171000.0,25000.0,868000.0,1247000.0,1403000.0
2024-11-13,11427000.0,5963549.0,3425000.0,494000.0,0.0,161000.0,50000.0,1368000.0,0.0,1922000.0
2024-11-14,11430000.0,5095611.0,4024000.0,650000.0,0.0,243000.0,57000.0,1191000.0,0.0,2561000.0
2024-11-15,0.0,5703611.0,3763000.0,682000.0,0.0,193000.0,65000.0,1246000.0,0.0,2894000.0
2024-11-18,11429000.0,5819611.0,3909000.0,638000.0,0.0,185000.0,61000.0,1232000.0,0.0,2869000.0
2024-11-19,11432000.0,5851611.0,4010000.0,620000.0,0.0,189000.0,72000.0,1132000.0,1310000.0,2707000.0
2024-11-20,11653000.0,4883611.0,4233000.0,723000.0,0.0,337000.0,71000.0,1151000.0,1311000.0,2769000.0
2024-11-21,13694000.0,4956611.0,4229000.0,804000.0,0.0,391000.0,62000.0,1290000.0,0.0,2791000.0
2024-11-22,13692000.0,4920611.0,4168000.0,815000.0,0.0,374000.0,47000.0,1283000.0,1316000.0,2620000.0
2024-11-25,13691000.0,4933611.0,4003000.0,816000.0,0.0,373000.0,0.0,1335000.0,0.0,2654000.0
2024-11-26,13761000.0,4643611.0,3824000.0,828000.0,0.0,381000.0,0.0,1342000.0,0.0,2694000.0
2024-11-27,13766000.0,4713611.0,4020000.0,892000.0,0.0,385000.0,59000.0,1344000.0,0.0,2611000.0
2024-11-28,13802000.0,4565611.0,4202000.0,891000.0,0.0,390000.0,0.0,1338000.0,1298000.0,2524000.0
2024-11-29,11816000.0,4576611.0,4029000.0,875000.0,0.0,386000.0,0.0,1396000.0,1271000.0,2549000.0
2024-12-02,11813000.0,4525611.0,4004000.0,872000.0,0.0,0.0,79000.0,1388000.0,1269000.0,2514000.0
2024-12-03,11803000.0,4501611.0,3896000.0,882000.0,0.0,388000.0,0.0,1379000.0,1264000.0,2491000.0
2024-12-04,11798000.0,4544611.0,0.0,871000.0,0.0,0.0,0.0,1358000.0,1260000.0,2575000.0
2024-12-05,11800000.0,4580611.0,3832000.0,872000.0,0.0,404000.0,0.0,1356000.0,1254000.0,2462000.0
2024-12-06,11799000.0,4567611.0,3806000.0,887000.0,0.0,407000.0,0.0,1357000.0,1250000.0,2460000.0
2024-12-09,11835000.0,4452611.0,3785000.0,879000.0,0.0,411000.0,0.0,1375000.0,1247000.0,2533000.0
2024-12-10,11834000.0,4451611.0,3850000.0,873000.0,0.0,433000.0,0.0,1376000.0,0.0,2481000.0
2024-12-11,11844000.0,4318611.0,3851000.0,917000.0,0.0,412000.0,0.0,1344000.0,0.0,2256000.0
2024-12-12,11884000.0,4340611.0,3768000.0,927000.0,0.0,503000.0,99000.0,1303000.0,0.0,2340000.0
2024-12-13,0.0,4336611.0,3709000.0,939000.0,0.0,0.0,0.0,1285000.0,0.0,2578000.0
2024-12-16,11888000.0,4222211.0,3549000.0,943000.0,0.0,518000.0,119000.0,1312000.0,0.0,2647000.0
2024-12-17,11749000.0,4079211.0,3556000.0,963000.0,0.0,535000.0,0.0,1280000.0,1251000.0,2694000.0
2024-12-18,0.0,4041211.0,3504000.0,968000.0,0.0,567000.0,139000.0,1273000.0,1269000.0,2679000.0
2024-12-19,11741000.0,3903211.0,3553000.0,1013000.0,0.0,577000.0,0.0,1259000.0,1270000.0,2535000.0
2024-12-20,11743000.0,3923211.0,3556000.0,995000.0,0.0,587000.0,0.0,1267000.0,1267000.0,2569000.0
2024-12-23,11763000.0,3919211.0,3551000.0,996000.0,0.0,555000.0,0.0,1266000.0,0.0,2490000.0
2024-12-27,11761000.0,3877211.0,3449000.0,976000.0,0.0,530000.0,504000.0,1201000.0,0.0,2611000.0
2024-12-30,11806000.0,3868211.0,3356000.0,898000.0,0.0,713000.0,817000.0,1344000.0,1256000.0,2578000.0
