date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CMB WING LUNG BANK LTD
2024-03-25,588954070.0,0.0,199195735.0,49367593.0,46364000.0,28418933.0,16085000.0,80423000.0,42289000.0
2024-03-26,589448570.0,5536000.0,199812389.0,49097593.0,46585500.0,27760933.0,16115000.0,80531500.0,42314000.0
2024-03-27,589551070.0,0.0,199525786.0,49039593.0,46873000.0,28018933.0,16121000.0,80589000.0,42320500.0
2024-03-28,589335570.0,0.0,198482842.0,49051093.0,48501500.0,28020933.0,16132000.0,80697500.0,42315000.0
2024-04-02,589101070.0,0.0,197931342.0,49009093.0,48440500.0,27787433.0,0.0,80742000.0,0.0
2024-04-03,589063070.0,5517500.0,198019472.0,48929093.0,48376500.0,27760433.0,16118000.0,80769500.0,0.0
2024-04-05,589714070.0,0.0,192128288.0,48928593.0,48289500.0,27892933.0,16056000.0,80805500.0,42214000.0
2024-04-08,589945070.0,0.0,192087288.0,48990090.0,48244500.0,28126935.0,16038000.0,80813500.0,0.0
2024-04-09,589722070.0,0.0,192165928.0,48975090.0,48266000.0,28438435.0,0.0,80985500.0,42220000.0
2024-04-10,589275070.0,5515500.0,192898928.0,48958090.0,48397000.0,27815435.0,16033000.0,0.0,42210500.0
2024-04-11,589270070.0,0.0,198438145.0,49026932.0,48557000.0,27857435.0,0.0,81303000.0,42211000.0
2024-04-12,590955070.0,0.0,196652678.0,48991432.0,48545500.0,27766435.0,0.0,81522000.0,0.0
2024-04-15,591425570.0,0.0,196388178.0,48748430.0,48556500.0,27751939.0,16034000.0,81952000.0,42225500.0
2024-04-16,591722070.0,0.0,195911678.0,48617430.0,48452500.0,27732439.0,16016000.0,82377500.0,0.0
2024-04-17,592106233.0,7259000.0,195455135.0,48499930.0,49336500.0,27558939.0,15986500.0,82795500.0,42220500.0
2024-04-18,592170258.0,5061500.0,194325496.0,49437430.0,49335500.0,27715439.0,15966500.0,83209500.0,42219500.0
2024-04-19,592031079.0,7055500.0,194447598.0,49171430.0,49085500.0,27110939.0,15968500.0,83363500.0,42218500.0
2024-04-22,592753737.0,0.0,193363037.0,48965926.0,49021000.0,27594941.0,0.0,83525000.0,42221000.0
2024-04-23,592836497.0,5059000.0,193208638.0,48717426.0,48999000.0,27605441.0,15912500.0,83653500.0,42212500.0
2024-04-24,577872686.0,5058000.0,192735110.0,48746926.0,48992500.0,42900342.0,15906500.0,83855000.0,42222500.0
2024-04-25,577609098.0,1995000.0,192428110.0,48542926.0,48773000.0,42619842.0,16034500.0,84561000.0,0.0
2024-04-26,577518285.0,4957500.0,191971310.0,48201926.0,48725000.0,42519342.0,16027500.0,85162500.0,42235500.0
2024-04-29,577679785.0,4956500.0,192050810.0,48305926.0,48675500.0,42404342.0,15821000.0,85425000.0,42225000.0
2024-04-30,576724974.0,1895000.0,191749310.0,48351926.0,48539000.0,42433842.0,15811000.0,86028000.0,42216500.0
2024-05-02,577937504.0,0.0,191194516.0,48124926.0,48472000.0,42852842.0,15803000.0,87034000.0,42197000.0
2024-05-03,577541004.0,4953000.0,190352516.0,47954426.0,48364500.0,42839842.0,15780000.0,88710000.0,0.0
2024-05-06,577700523.0,0.0,190010633.0,47786426.0,48421000.0,42786842.0,15778000.0,89108500.0,42209000.0
2024-05-07,578554030.0,0.0,191218668.0,47731426.0,44243500.0,42948842.0,15661500.0,75807500.0,42180000.0
2024-05-08,578599340.0,0.0,191288857.0,47928426.0,40304500.0,43146092.0,0.0,76207500.0,42199000.0
2024-05-09,579688364.0,0.0,190538681.0,47802084.0,40368000.0,43166342.0,15669000.0,0.0,0.0
2024-05-10,579972445.0,0.0,189582299.0,47724084.0,40359000.0,43154092.0,15681500.0,76407500.0,42200500.0
2024-05-13,581599849.0,6796500.0,190628199.0,47614584.0,40353500.0,43034342.0,15621500.0,76408500.0,42160000.0
2024-05-14,583870449.0,6106000.0,167987702.0,47482984.0,40559500.0,43498842.0,15577000.0,0.0,42001000.0
2024-05-16,585989349.0,6103000.0,166799702.0,47306484.0,40464000.0,45099842.0,15567000.0,76210000.0,42000000.0
2024-05-17,587049349.0,0.0,186439626.0,47384484.0,41197000.0,43458342.0,15558000.0,0.0,41995000.0
2024-05-20,587455849.0,4885500.0,187246178.0,47929484.0,42048500.0,42459842.0,0.0,0.0,42016000.0
2024-05-21,587904786.0,0.0,188686579.0,48063484.0,41871500.0,42468342.0,15434500.0,0.0,42016500.0
2024-05-22,586372936.0,0.0,188790548.0,48644484.0,41790000.0,42685692.0,0.0,0.0,42009500.0
2024-05-23,587243436.0,6067000.0,186894383.0,49736484.0,41739500.0,42769192.0,0.0,0.0,0.0
2024-05-24,586725936.0,4873500.0,186505923.0,50879484.0,42287000.0,42779692.0,15409500.0,0.0,42007000.0
