date,ASTRUM CAPITAL MANAGEMENT LTD,GRANSING SECURITIES CO LTD,SORRENTO SECURITIES LTD,KGI ASIA LTD,BRIGHT SMART SECURITIES INTERNATIONAL,KINGSTON SECURITIES LTD,CIS SECURITIES ASSET MANAGEMENT LTD,SUNCORP SECURITIES LTD
2024-04-29,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-05-06,77.65590221158814,0.0,0.0,0.0,22.344097788411858,0.0,0.0,0.0
2024-06-27,77.65460908402937,0.0,0.0,0.0,22.345390915970615,0.0,0.0,0.0
2024-10-07,60.74607506463939,0.0,0.0,14.505403080626955,17.479899904736328,0.0,0.0,7.268621949997326
2024-10-08,60.74915228659003,0.0,0.0,14.50613788274734,17.475719673122807,0.0,0.0,7.268990157539816
2024-10-15,52.95022606270636,0.0,0.0,12.643851828000141,15.232201149654573,0.0,12.837917782114022,6.335803177524895
2024-10-17,52.9442145192909,0.0,0.0,12.642416346608378,15.241825004752355,0.0,12.836460268032404,6.335083861315963
2024-10-18,52.78241724204993,0.0,0.0,12.603781180118508,15.195246057300901,0.0,13.10283164649869,6.315723874031974
2024-10-21,52.764500789504886,0.0,0.0,12.59950295530046,15.190088186193043,0.0,13.132328002945643,6.313580066055964
2024-10-23,34.44897496538038,34.711833808854216,0.0,8.225984428714888,9.917330019583316,0.0,8.573856131329528,4.122020646137669
2024-10-29,34.446430361489064,34.716656376780094,0.0,8.225376809126548,9.916597467262536,0.0,8.573222815891338,4.121716169450429
2024-10-31,34.41592441049351,34.77447167028064,0.0,8.21809236951333,9.907815273194698,0.0,8.56563032191298,4.118065954604846
2024-11-01,34.39561711016247,34.81295834224225,0.0,8.21324324014213,9.901969113783798,0.0,8.560576125913563,4.115636067755791
2024-11-14,34.39054402903718,34.822572914633504,0.0,8.212031851809556,9.900508651758841,0.0,8.559313508731064,4.11502904402986
2024-11-15,34.36266881072084,34.875402407757186,0.0,8.205375598262167,9.892483805165035,0.0,8.552375766411767,4.1116936116830045
2024-11-28,34.344953551173006,34.90897660874983,0.0,8.201145415815878,9.887383854426442,0.0,8.547966692213045,4.109573877621795
2024-12-10,32.47554757619059,33.00887069200476,0.0,7.754754646377723,9.349210628282185,5.443029562398599,8.082698338171904,3.8858885565742303
2024-12-20,32.45972420529682,33.04151141909785,0.0,7.750976223283487,9.34465532318723,5.44037750317313,8.078760127943815,3.8839951980176646
2024-12-23,32.452947479911145,33.0554905671178,0.0,7.749358026006028,9.342704408184117,5.43924169733263,8.07707349812227,3.8831843233260077
2025-01-09,31.509325811114703,32.09434898849425,0.0,7.524032971721592,9.071050243945882,8.188747904972317,7.842219589151207,3.770274490600049
2025-03-20,32.47674203973098,31.641023124410665,0.0,7.417757603758159,8.942923585528332,8.073083579731913,7.731449902784934,3.7170201640550147
2025-04-08,28.40633890776227,26.510074373034204,13.698575184846149,6.488068789973067,7.822081349353313,7.061260883742728,6.762445134373883,3.2511553769143866
2025-04-10,28.406449246806726,26.51017734639815,13.698628394367487,6.488093991647699,7.821723301683154,7.061288311873508,6.762471401811469,3.2511680054118077
2025-04-16,28.394868325446097,25.317079119637764,13.693043650677586,7.708507908022032,7.818534491928217,7.058409521077304,6.759714434588025,3.2498425486229734
2025-04-17,28.40479425113881,24.084964204997323,13.69783029494816,8.917210738519058,7.821267598188943,7.06087691228377,6.762077411672922,3.250978588251012
2025-04-24,28.405897560156113,24.082015486453518,13.698362350894358,8.91755710395758,7.8215713946182195,7.0611511733503525,6.762340066664119,3.2511048639057396
