date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,DBS BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,SDICS INTERNATIONAL SECURITIES (HONG,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,REALINK FINANCIAL TRADE LTD,KGI ASIA LTD,EVERBRIGHT SECURITIES INVESTMENT
2024-03-01,82.74003097632253,0.0,0.0,0.0,0.0,11.172884823970179,0.0,6.087084199707288,0.0,0.0
2024-03-15,70.04276626268734,0.0,0.0,15.349984883854273,0.0,9.454287091292699,0.0,5.152961762165691,0.0,0.0
2024-04-03,47.661740414391026,26.022181477063715,0.0,10.445147071366096,0.0,6.433323542053837,5.931190787473703,3.50641670765162,0.0,0.0
2024-04-12,41.134671367219546,22.452130015902714,10.484105501890769,9.012149895589742,0.0,5.550718979032307,5.117475136619882,3.0677355231372316,3.181013580607814,0.0
2024-04-16,41.132928427731876,22.451178684515195,10.483661274165962,9.01176803689488,0.0,5.554720940783839,5.117258301303193,3.0676055384502683,3.1808787961547917,0.0
2024-04-19,39.73907392767414,21.69038489624911,10.128405789019777,8.820100309787852,0.0,5.366490414151641,4.94385188984963,2.9636548607910482,3.0730896745524166,3.274948237924385
2024-04-22,39.71168509728576,21.697786683171515,10.138687028427409,8.823110145871423,0.0,5.368321714921851,4.945538966332579,2.964666200234587,3.0741383583389554,3.2760658054159237
2024-04-24,39.53884275609242,21.716560505348305,10.156567243301449,8.830744265578819,0.0,5.3934591670521925,4.94981805112948,3.0013856157087027,3.076798229953007,3.3358241658356174
2024-04-25,39.47730557395921,21.719033163968106,10.21237671924244,8.831749738610432,0.0,5.394073269054978,4.950381639929259,3.001727355000806,3.0771485557637077,3.3362039844710667
2024-04-26,39.45698171412589,21.730414649842874,10.206336322158235,8.836377865200626,0.0,5.396899940401521,4.9529758023067565,3.003300358607041,3.0787610825533487,3.3379522648037105
2024-05-02,39.45698171412589,21.730414649842874,10.20405791865744,8.836377865200626,0.0,5.396899940401521,4.95525420580755,3.003300358607041,3.0787610825533487,3.3379522648037105
2024-05-03,39.4624988683062,21.728434404202343,10.203128044951173,8.835572625216594,0.0,5.3964081325942805,4.954802644219937,3.0030266743475282,3.078480521721436,3.3376480844405103
2024-05-06,39.40863052061567,21.69877396979441,10.211951108765446,8.937265913555558,0.0,5.3890417569743105,4.948039082883704,2.9989273879450744,3.074278236922999,3.3330920225428264
2024-05-07,39.419175201889736,21.695812379428368,10.210557314993304,8.93604609714265,0.0,5.386031449863197,4.9473637421986005,2.9985180747519435,3.073858639353953,3.3326371003782453
2024-05-08,39.42833932387986,21.69334500494048,10.209396110785526,8.935029837793744,0.0,5.383144402111643,4.946801099101107,2.99817706576506,3.073509062198072,3.332258093424504
2024-05-09,39.42905678029647,21.693739747144644,10.209581885709728,8.935192423756014,0.0,5.381422709762145,4.946891113396688,2.9982316219906284,3.073564989199715,3.3323187287439695
