date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,NANYANG COMMERCIAL BANK LTD
2024-03-01,50.757300254139835,36.05720197053315,0.0,6.922082518733888,0.0,2.00191706200374,3.1323152549221556,0.0,0.8526824436920001,0.2765004959752332
2024-03-04,50.205929484912424,35.594736192041935,0.0,6.636754646515172,0.0,1.9440644697347873,3.1158404574777396,1.4852291036025853,0.7554719162157593,0.26197372949959147
2024-03-05,50.21803980188143,35.588909845093475,0.0,6.622222226413285,0.0,1.9354492915731145,3.0973571977427476,1.5134419898327909,0.7718294971162044,0.25275015034695153
2024-03-06,41.4480535571109,28.741284373591792,16.183740698091086,6.040258875213776,0.41491611405611584,1.9792440962382318,2.9110630389244654,1.3395099753086508,0.728164528766686,0.21376474269829815
2024-03-07,41.05652993038672,28.10652733747272,16.436489031070312,6.233037527630983,0.4694971908270622,2.1386322297945752,3.056018475529437,1.3818633456997127,0.8606866964657481,0.26071823512272524
2024-03-08,40.58665721784109,27.94261751798426,16.549439046183192,6.403543716362028,0.37809698337024233,2.423983828105531,3.1990349362001833,1.3582308029106511,0.8863107530218364,0.27208519802098197
2024-03-11,40.537957434155565,27.96938523065295,16.616478556367774,6.476337475897361,0.3986276421350855,2.255317587907113,3.113219347337638,1.415107325695143,0.9443198344303316,0.2732495654210391
2024-03-12,40.47758286079842,27.845809232736972,16.611288587499374,6.5426927385693014,0.4335325020227518,2.346461915440088,3.158982645492143,1.4201055220075027,0.8842470801949408,0.2792969152385068
2024-03-13,40.54479931238218,27.890308404004433,16.655646267785507,6.673838119955379,0.41700752352126225,2.049066045429532,3.181311697190497,1.421371583795547,0.8866083147897542,0.2800427311459119
2024-03-14,40.317036315939994,27.63615926940529,16.6351876628518,7.1891324014265745,0.38897838285077413,1.9651385824162748,3.2967230698154792,1.4040780361878016,0.8940090519142306,0.27355722719178277
2024-03-15,40.311284649400854,27.44687968318432,16.650538718815227,7.301894356202461,0.405761871641194,2.017438524837024,3.2732333621034373,1.395266320805082,0.9213659936264079,0.2763365193839891
2024-03-18,40.246032735794316,27.40100142695161,16.62912146809414,7.382089934941108,0.41407255403871746,2.053959359654511,3.2765938731886277,1.403490316432704,0.9239662616418555,0.26967206926241677
2024-03-19,40.19503125218576,27.347127193603495,16.613256956448698,7.450683096414313,0.42376229683249217,2.092338946580707,3.257937382275601,1.4021513588388208,0.9482967200595269,0.2694147967605909
2024-03-20,39.990677927772545,27.296770918180503,16.587161617610487,7.717763558776652,0.42309667053466926,2.088397916125553,3.237590699319226,1.3999489240659597,0.9644278164085425,0.294163951205863
2024-03-21,39.94076001605924,27.26809921152984,16.58044198471094,7.748605902574089,0.45563605322932715,2.1039072760501965,3.2362791174175154,1.399381790094235,0.9602627954158831,0.306625852918742
2024-03-22,39.80004081264711,27.12504721043203,16.58899481048241,7.7815543186305405,0.503703817271471,2.203175523025565,3.344942777359482,1.4001036447136403,0.939359282979328,0.31307780245841726
2024-03-25,39.722436734314584,27.110969006876424,16.582031666910794,7.794645011913938,0.5273987162416175,2.2235147995225253,3.3435387551710565,1.399515958551539,0.983002960804767,0.3129463896927548
2024-03-26,39.72332719585808,27.124484285921152,16.592315633210248,7.765485935580475,0.5277258022545472,2.2290485217473774,3.3619794798940923,1.387793840432933,0.9798355827431623,0.30800372235793594
2024-03-27,39.80791469967413,26.983282469629444,16.652802577901067,7.921418223150003,0.5334404089184145,2.252539820339024,3.2668297015186982,1.3928530142772706,0.8797925410117853,0.3091265435801614
2024-03-28,39.79331664407296,26.9768125978631,16.648809679803865,7.922121265392054,0.5307859146654641,2.263495703405128,3.2685729923137425,1.394792975775572,0.8922398034318451,0.30905242327627364
2024-04-02,39.49634772775531,26.98778047455623,16.656452137197157,7.963674069153015,0.5350739650716744,2.283518133817315,3.421738351750631,1.3954332405209102,0.9507876097036074,0.3091942904741459
2024-04-03,39.479358737482976,26.969434891072925,16.652975127723092,7.943057502069021,0.5273806043689988,2.29441395004086,3.4709366956702628,1.3951419459188097,0.9581707990246416,0.3091297466284068
2024-04-24,39.483849037116684,26.972502338151227,16.65486920225995,7.943960928804728,0.5274405875351481,2.2946749118813985,3.4599576820424334,1.3953006264437486,0.9582797793659001,0.30916490639878913
2024-06-07,39.45891584543921,26.955469789723995,16.644352014693133,7.938944490302744,0.5271075202788346,2.356373699049833,3.4577727940392093,1.3944195244535624,0.9576746465330521,0.3089696754864244
2024-07-24,39.05778608629538,26.741000339765293,16.572814917364386,8.097727908507872,0.6858056483808823,2.511560725134344,3.4250041512581983,1.426152186593713,1.0311480775255903,0.4509999591743428
