date,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,HANG SENG BANK LTD,HANG SENG SECURITIES LTD
2024-03-01,81.06291824637427,9.484943460421078,2.7458378407151316,2.1747704328214423,1.8955973075767882,1.2984753124372472,0.12970303771208785,0.6485530333838452,0.0,0.5592013285581088
2024-03-04,81.07380722491068,9.464298222304631,2.749356181967267,2.1736188697004377,1.9002508840905545,1.2986128408536906,0.12894905046766375,0.6487752700364247,0.0,0.5623314556686564
2024-03-05,81.068342930169,9.463191968422837,2.7320512618352524,2.175431239561461,1.9106841293308012,1.2992708425690023,0.1372595955692083,0.6479528258158203,0.0,0.5658152067266301
2024-03-06,81.06997744629837,9.466596896093352,2.7309194411145143,2.155855273089392,1.9350105136393692,1.2993167245061419,0.1314300210279236,0.6458261835918343,0.0,0.5650675006391053
2024-03-07,81.05236837845747,9.467917762540806,2.7255676369367587,2.150014361341231,1.9588438553226635,1.2994950143841404,0.13378078631720905,0.645532400754552,0.0,0.5664798039451636
2024-03-08,81.04492502009803,9.470642363875784,2.748007830194977,2.149796559687146,1.9678547304535239,1.2987494183466481,0.13407421102505207,0.619527448147703,0.0,0.5664224181711317
2024-03-11,81.00374985604874,9.472823945554499,2.7368193368252873,2.0859791930807425,1.9938740891584323,1.3875410633928613,0.1335471271503713,0.6210595024253633,0.0,0.5646058863637035
2024-03-12,80.96514350539383,9.487536409183237,2.7331463176835524,2.0469819686785726,2.036189422209372,1.4083165555835646,0.13702220984455046,0.6243446919021116,0.0,0.5613189195212036
2024-03-13,80.74016829355189,9.679685848105262,2.6982523606013267,2.023401731125596,2.0581561020542356,1.4836190390873725,0.13985291907403688,0.6236803284023452,0.0,0.5531833779979409
2024-03-14,80.71149804226656,9.698946528340189,2.6964684808355264,1.9930997005405435,2.076757382406445,1.4983198019276538,0.14086775795763942,0.6241983955165533,0.0,0.5598439102088987
2024-03-15,80.70539387897792,9.695345499005564,2.6769004225089437,1.988218015605707,2.1056505867580584,1.498212160038362,0.14632219502971064,0.6256820995069876,0.0,0.5582751425687512
2024-03-18,80.70465371360557,9.70779055546242,2.66862179140391,1.9860598344073512,2.105172715374074,1.4981984196338118,0.14479231961396924,0.6264406279835756,0.0,0.5582700225153209
2024-03-19,80.6682045995685,9.71941722221409,2.660949207075551,1.9851252606459602,2.1026542768605614,1.5366054604670358,0.14304358955250132,0.6259930644217956,0.0,0.5580073191940135
2024-03-20,80.63525218090233,9.720218014144127,2.6132566339321217,1.9847800255052555,2.1048577098968977,1.5744689215873047,0.1618064025855805,0.6475786216680195,0.0,0.5577814897783662
2024-03-21,80.63328189585886,9.702876329300562,2.6067787142847694,1.9833570856248581,2.1251174874574144,1.575194029445958,0.15233406587896742,0.6625289522250445,0.0,0.5585314399235705
2024-03-22,80.63301144935107,9.715914705544998,2.603769751060154,1.9768615072071074,2.1241136081510485,1.575129081705937,0.1504952701989905,0.6621962159913646,0.0,0.5585084107893332
2024-03-25,80.65202774145254,9.65474074243624,2.633095941448189,1.9827890143104778,2.130684024163645,1.5886065892469974,0.1402941522057642,0.6580630477200264,0.0,0.559698747016125
2024-03-26,80.65545266826685,9.636148336734735,2.629872178340166,1.9876272598869937,2.126975916347703,1.6125181895525909,0.13892668289118,0.6500014418512277,0.0,0.5624773261285574
2024-03-27,80.67333636996352,9.618375382783043,2.6241364676793872,1.997499000676615,2.1344311504936826,1.6163561028982971,0.12444036878258506,0.6500570832951348,0.0,0.5613680734277317
2024-03-28,80.70864809217468,9.547735911034945,2.6290082087522793,1.9993320701340422,2.1363270107464363,1.6420120609962823,0.12388602598719183,0.650355169619802,0.0,0.5626954505543319
