date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK LTD,BNP PARIBAS,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,GOLDMAN SACHS (ASIA) SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2024-03-01,72.5199870170669,10.113260678181392,8.276473406515429,2.4462079268477135,2.327223159742766,1.0958237708875114,1.4749186315228389,0.0,0.731629619227856,1.014475790007607
2024-03-04,71.68485872616455,9.97191510016879,8.156232503433307,2.416237293665363,2.2625673176505594,1.0826686118004636,1.4603992916477615,1.5337746953060865,0.4378767942705353,0.9934696658925833
2024-03-05,71.5795381118564,10.044302796196249,8.147032211580518,2.4151958131530127,2.2198639643473053,1.0782525394794331,1.4624006210995,1.5202306231451497,0.4687118974873311,1.0644714216550988
2024-03-06,71.68370392992767,10.04083417994521,8.162786015839565,2.4198608619888433,2.2304111913278226,1.0828288837725766,1.4775655495109383,1.519096206369597,0.48806158156588125,0.8948515997518977
2024-03-07,71.65343400315163,10.045643998449483,8.135500581846774,2.421293586530835,2.226152515047588,1.085762676903776,1.4559309972400518,1.5134198068598619,0.5569786172367462,0.90588321673326
2024-03-08,71.54857985653891,10.066059926673374,8.140299614111788,2.424266690075271,2.2935848359173927,1.087754845641506,1.458204794607336,1.5075933510508923,0.5764092169498016,0.8972468684337287
2024-03-11,71.53222404535141,10.109148926654203,8.134632776965896,2.4234977188253284,2.2398890599005963,1.0876602949065106,1.4691013711573615,1.500772955938556,0.6108754066535497,0.8921974436465884
2024-03-12,71.56432515229513,10.119082825066458,8.097725901252037,2.4247696998247843,2.229638767397476,1.080420267354555,1.4670052921694332,1.4995443837355071,0.6111877336812215,0.9062999772233968
2024-03-13,71.58400908247826,10.123227359401273,8.101732754228662,2.4245434148560885,2.2179241626142954,1.0742194939968808,1.459397493664583,1.4997812986234706,0.6100931225913048,0.9050718175451775
2024-03-14,71.58244914179997,10.077984090023543,8.092527195468833,2.4258852124037786,2.2588028164974236,1.0715986513806237,1.4536736792314793,1.5014840754295893,0.616220382468347,0.9193747552964093
2024-03-15,71.59296604897916,10.06974311914078,8.093385261537897,2.4243401435575187,2.264777348150606,1.0703942344578519,1.465864762706891,1.5002363172486302,0.6177569691958286,0.9005357950248273
2024-03-18,71.57501732732071,10.028707692197598,8.096299884653602,2.4237458124796127,2.270089797679831,1.0687394778874597,1.4603368401474535,1.4999727642288048,0.6760433902386196,0.9010470131663078
2024-03-19,71.48668660887321,10.053694246935754,8.11106920562492,2.422691135746956,2.2629408770809603,1.0700073133997159,1.4538318764257419,1.4994873014310584,0.7478911575495492,0.8917002769321419
2024-03-20,71.5047230504739,10.068183469439475,8.076823657510875,2.4307937571355995,2.225777975372459,1.074038694817053,1.4587726886481278,1.4957647925439383,0.7940197673459102,0.871102146712653
2024-03-21,71.35887832948377,10.106248451296898,8.100098664092057,2.4310234358560816,2.2277879076303826,1.0794035434264306,1.4696717489942885,1.492353865509384,0.8947516314988209,0.8397824222118871
2024-03-22,71.24690969669764,10.165304533222958,8.115789501693593,2.43843377445602,2.151504356885574,1.096949624078334,1.4681728476323783,1.4870339376308126,0.9809388999287362,0.8489628277739426
