date,ZHONGTAI INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD,MASON SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-03-06,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,67.3932799801828,28.926976520928065,0.0,0.0,0.0,0.0,3.679743498889138
2024-03-11,0.0,67.31910644019102,28.93560278355255,0.0,0.0,0.0,0.0,3.745290776256429
2024-03-12,0.0,60.39058163236511,25.957532331988318,0.0,10.292062943499532,0.0,0.0,3.3598230921470353
2024-03-14,0.0,60.38156840578313,25.956778568394117,0.0,10.29176407909837,0.0,0.0,3.369888946724385
2024-03-18,0.0,60.38507537022528,25.958286139361146,0.0,10.292361825258753,0.0,0.0,3.3642766651548186
2024-03-20,0.0,60.36729695745283,25.97844367228696,0.0,10.290568795044074,0.0,0.0,3.3636905752161264
2024-03-21,0.0,60.10465390751494,25.897217450027853,0.0,10.35420450280855,0.0,0.0,3.6439241396486564
2024-03-22,0.0,60.184687354764534,25.931701361870807,0.0,10.367991832507881,0.0,0.0,3.515619450856778
2024-03-25,0.0,60.18383413700297,25.915086663961596,0.0,10.367844849027994,0.0,0.0,3.533234350007443
2024-03-27,0.0,60.18383413700297,25.907849982729658,0.0,10.367844849027994,0.0,0.0,3.5404710312393775
2024-04-02,0.0,54.468216002782356,23.447398944617532,0.0,9.383217616788297,0.0,9.473354643787573,3.227812792024244
2024-04-03,0.0,54.46635064340456,23.448359544481335,0.0,9.383602031178395,0.0,9.473742750937628,3.2279450299980894
2024-04-05,0.0,54.46927783221697,23.442935416663133,0.0,9.384106334744935,0.0,9.474251898943042,3.229428517431923
2024-04-08,0.0,54.47213218885844,23.444163898131315,0.0,9.384598090599003,0.0,9.474748378700198,3.2243574437110443
2024-04-09,0.0,54.46568731950583,23.448157352250405,0.0,9.386196653126708,0.0,9.476362297332772,3.223596377784287
2024-04-10,0.0,54.460692132007836,23.44600686176325,0.0,9.385335821023363,0.0,9.475493195907568,3.232471989297983
2024-04-18,0.0,47.477645009903355,20.43971802606458,12.822178435004464,8.181931315327356,0.0,8.260528550731593,2.817998662968657
2024-04-19,0.0,47.47819841610099,20.438790660077473,12.822327892143958,8.18202668508501,0.0,8.260624836629825,2.8180315099627467
2024-04-22,0.0,43.915958038775095,18.90845872954195,11.86556432887017,7.568137641306897,7.528253138434369,7.640838654410141,2.5727894686613815
2024-04-23,0.0,43.915958038775095,18.8947242146924,11.87929884371972,7.568137641306897,7.528253138434369,7.640838654410141,2.5727894686613815
2024-04-24,0.0,43.915958038775095,18.88098969984285,11.893033358569271,7.568137641306897,7.528253138434369,7.640838654410141,2.5727894686613815
