date,FUTU SECURITIES INTERNATIONAL,GOLDMAN SACHS (ASIA) SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),MORGAN STANLEY HONG KONG SECURITIES LTD,PATRONS SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,TIGER BROKERS (HK) GLOBAL LTD,UBS SECURITIES HONG KONG LTD,UOB KAY HIAN (HONG KONG) LTD
2024-06-28,6742500.0,260000.0,37500.0,139000.0,130000.0,0.0,113500.0,310500.0,260000.0,4500.0
2024-07-03,5784000.0,0.0,36500.0,458000.0,45500.0,0.0,377000.0,231500.0,45000.0,1500.0
2024-07-04,5643000.0,0.0,32000.0,579000.0,26000.0,0.0,777500.0,444000.0,0.0,3500.0
2024-07-05,5691500.0,0.0,0.0,545000.0,0.0,0.0,905000.0,621500.0,0.0,4500.0
2024-07-09,5521000.0,0.0,23500.0,554500.0,0.0,0.0,951500.0,707500.0,0.0,2000.0
2024-07-11,5157000.0,0.0,0.0,552000.0,0.0,0.0,1026000.0,980000.0,0.0,1000.0
2024-07-24,4981000.0,0.0,0.0,532000.0,0.0,0.0,1062000.0,1048500.0,500.0,0.0
2024-07-26,5014500.0,0.0,0.0,520000.0,0.0,0.0,1099000.0,1077500.0,2500.0,0.0
2024-08-01,4915000.0,0.0,0.0,512000.0,0.0,0.0,1351500.0,1018000.0,29500.0,0.0
2024-08-02,4746000.0,0.0,26000.0,524000.0,0.0,0.0,1249000.0,1017500.0,3000.0,0.0
2024-08-05,4754500.0,0.0,0.0,526000.0,0.0,0.0,1248500.0,1003000.0,1500.0,0.0
2024-08-06,4766500.0,0.0,0.0,522000.0,0.0,0.0,1234500.0,975000.0,18000.0,0.0
2024-08-07,12921000.0,0.0,0.0,536500.0,0.0,0.0,1221500.0,1007500.0,33000.0,0.0
2024-08-12,12711000.0,0.0,0.0,539000.0,0.0,0.0,1337000.0,1095000.0,17000.0,0.0
2024-08-13,13004000.0,0.0,0.0,609500.0,0.0,0.0,1423500.0,1103500.0,10000.0,0.0
2024-08-15,12204500.0,0.0,0.0,689000.0,0.0,0.0,1629000.0,1134500.0,25000.0,0.0
2024-08-16,11911000.0,0.0,0.0,685500.0,0.0,0.0,1730000.0,1138000.0,22500.0,0.0
