date,ABN AMRO CLEARING HONG KONG LTD,SDICS INTERNATIONAL SECURITIES (HONG,MERRILL LYNCH FAR EAST LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,CITIBANK N.A.
2025-03-24,100.0,0.0,0.0,0.0,0.0,0.0
2025-03-25,100.0,0.0,0.0,0.0,0.0,0.0
2025-03-26,100.0,0.0,0.0,0.0,0.0,0.0
2025-03-28,99.99,0.0,0.0,0.0,0.0,0.01
2025-03-31,99.98666666666666,0.0,0.0,0.0,0.0,0.013333333333333334
2025-04-01,99.98333333333333,0.0,0.0,0.0,0.0,0.016666666666666666
2025-04-03,99.98,0.0,0.0,0.0,0.0,0.02
2025-04-07,99.98148148148148,0.0,0.0,0.0,0.0,0.018518518518518517
2025-04-08,99.96804907661831,0.0,0.0,0.0,0.0,0.03195092338168573
2025-04-09,78.38244783824479,21.510002151000215,0.0,0.0,0.0,0.10755001075500109
2025-04-10,97.41942170173074,2.528759456938543,0.0,0.0,0.0,0.05181884133070785
2025-04-11,89.60400809326524,10.058772521437518,0.0,0.19269679159841988,0.09634839579920994,0.04817419789960497
2025-04-14,91.7031910803537,8.027681660899653,0.0,0.15378700499807768,0.07689350249903884,0.03844675124951942
2025-04-15,97.19993313273153,2.507522567703109,0.0,0.1671681711802073,0.08358408559010365,0.041792042795051824
2025-04-16,97.2975133925002,2.3986567522187574,0.0,0.15991045014791716,0.07995522507395858,0.06396418005916686
2025-04-17,98.20993538820039,1.5888147442008262,0.0,0.10592098294672175,0.05296049147336088,0.04236839317868869
2025-04-22,70.01278772378517,28.77237851662404,0.0,0.639386189258312,0.319693094629156,0.2557544757033248
2025-04-23,88.25591586327782,11.268311005383747,0.0,0.25040691123074993,0.12520345561537496,0.1001627644923
2025-04-24,84.49981219481658,15.024414673845,0.0,0.25040691123074993,0.12520345561537496,0.1001627644923
2025-04-25,86.07482185273159,13.36104513064133,0.0,0.29691211401425177,0.14845605700712589,0.11876484560570072
2025-04-28,79.23753665689149,20.29325513196481,0.0,0.2932551319648094,0.1466275659824047,0.02932551319648094
2025-04-29,87.141750580945,12.36250968241673,0.0,0.3098373353989156,0.1549186676994578,0.030983733539891554
2025-04-30,86.05108055009823,13.064833005893908,0.3601833660772757,0.3274394237066143,0.16371971185330714,0.03274394237066143
2025-05-02,81.22349102773246,17.911908646003262,0.35889070146818924,0.3262642740619902,0.1631321370309951,0.01631321370309951
