date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.,CHIEF SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT
2024-03-04,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,64.17419884963024,0.0,0.0,0.0,0.0,0.0,35.82580115036976,0.0
2024-03-06,0.0,60.97951344430218,25.064020486555698,0.0,0.0,0.0,0.0,0.0,13.956466069142126,0.0
2024-03-15,0.0,60.91549295774647,25.128040973111393,0.0,0.0,0.0,0.0,0.0,13.956466069142126,0.0
2024-03-18,0.0,60.721123165283984,25.366943203573705,0.0,0.0,0.0,0.0,0.0,13.91193363114231,0.0
2024-03-21,40.72466503113795,35.9124363087375,15.13493111907907,0.0,0.0,0.0,0.0,0.0,8.22796754104548,0.0
2024-03-22,36.88258417364553,32.5243548111434,13.519056571526237,0.0,0.0,0.0,0.0,9.622286788583148,7.4517176551016915,0.0
2024-03-25,36.888888888888886,32.495726495726494,13.572649572649572,0.0,0.0,0.0,0.0,9.623931623931623,7.418803418803418,0.0
2024-03-26,36.6383701188455,32.275042444821736,14.159592529711377,0.0,0.0,0.0,0.0,9.558573853989813,7.368421052631578,0.0
2024-03-28,36.63215073841453,32.26956374130029,14.174163978950943,0.0,0.0,0.0,0.0,9.556951281616024,7.367170259718215,0.0
2024-04-03,36.63215073841453,32.235613647937534,14.208114072313698,0.0,0.0,0.0,0.0,9.556951281616024,7.367170259718215,0.0
2024-04-08,36.61971830985916,32.224673341252334,14.237230612591208,0.0,0.0,0.0,0.0,9.553707788902086,7.364669947395215,0.0
2024-04-12,32.43121335137573,28.55209742895805,12.734927078634792,0.0,0.0,0.0,11.291535107502632,8.464892497368817,6.525334536159975,0.0
2024-04-15,32.43121335137573,28.491956096827543,13.095775071417831,0.0,0.0,0.0,11.291535107502632,8.464892497368817,6.2246278755074425,0.0
