date,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,ABN AMRO CLEARING HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD
2024-05-07,51.75718849840255,48.242811501597444,0.0,0.0
2024-06-17,50.165016501650165,49.834983498349835,0.0,0.0
2024-06-18,48.4641638225256,51.5358361774744,0.0,0.0
2024-08-13,48.4641638225256,41.29692832764505,10.238907849829351,0.0
2024-10-10,40.27303754266212,51.5358361774744,8.19112627986348,0.0
2024-10-17,40.27303754266212,51.5358361774744,6.143344709897611,2.04778156996587
2024-11-11,48.559670781893004,41.56378600823045,7.4074074074074066,2.4691358024691357
2024-11-26,39.50617283950617,50.617283950617285,7.4074074074074066,2.4691358024691357
2024-12-20,28.82882882882883,63.96396396396396,5.405405405405405,1.8018018018018018
2024-12-30,40.0,48.57142857142857,9.523809523809524,1.9047619047619049
2025-01-02,37.37704918032787,60.0,0.6557377049180327,1.9672131147540985
2025-01-07,41.45454545454545,55.63636363636364,0.7272727272727273,2.181818181818182
2025-01-08,41.45454545454545,44.72727272727273,11.636363636363637,2.181818181818182
2025-01-09,41.45454545454545,44.72727272727273,11.636363636363637,2.181818181818182
2025-02-04,59.24050632911393,31.139240506329113,8.10126582278481,1.5189873417721518
2025-02-05,64.46280991735537,25.6198347107438,8.264462809917356,1.6528925619834711
2025-02-20,64.46280991735537,17.355371900826448,16.528925619834713,1.6528925619834711
2025-03-04,63.66366366366366,18.91891891891892,15.615615615615615,1.8018018018018018
2025-03-21,61.86186186186187,18.91891891891892,17.417417417417415,1.8018018018018018
2025-04-09,57.80730897009967,20.930232558139537,19.269102990033225,1.9933554817275747
