date,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,CITIBANK N.A.,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,CMB WING LUNG BANK LTD,ICBC (ASIA) SECURITIES LTD
2024-03-01,50.82668742529953,0.0,14.921915871398772,0.0,8.816101199760942,7.246692951786525,6.433670260130726,8.849240517935732,2.9056917736877734,0.0
2024-03-04,50.770674672239736,0.0,14.90127693186715,0.0,8.924797501127554,7.22993007169785,6.4231300937370905,8.847651258751274,2.90253947057935,0.0
2024-03-05,50.64488135816935,0.0,14.85818606499916,0.0,8.690058046906413,7.413396887861225,6.683009462304815,8.818847153436089,2.8916210263229534,0.0
2024-03-06,43.85498879520454,13.213671125390333,12.867404620993128,0.0,7.6955877728946405,6.4433679730402895,5.785626741220913,7.635681401944254,2.5036715693119014,0.0
2024-03-07,43.81512274364046,13.207441868891614,12.855197256599048,0.0,7.735264049884931,6.472572477294099,5.782899251438937,7.629011076609538,2.5024912756413698,0.0
2024-03-08,43.752207745874,13.20588572576868,12.821444345153981,0.0,7.878158371887491,6.43131244917675,5.782217891718402,7.626577046320408,2.5021964241002874,0.0
2024-03-11,41.01818150942959,12.37957886340076,12.02085456454616,6.820539488131064,7.293110937795577,5.772738435559397,5.199991279057844,7.149373693162861,2.3456312289167447,0.0
2024-03-12,40.97122490195332,12.370832319784702,12.012361470402066,6.815720572497806,7.206109665159005,5.944105899827337,5.19416020542147,7.141510994824557,2.3439739701297304,0.0
2024-03-13,40.042207423070494,12.089412897597986,11.738323814540305,6.65996961875031,6.547490975076779,5.806777612990549,6.132134404355067,6.9776460729164045,2.2829222607933333,1.7231149199087692
2024-03-14,39.98186978595686,12.115104314048402,11.749458899428443,6.655307013690229,6.632509045617077,5.768841105396636,6.1284323461167,6.964399982553865,2.281805500743743,1.7222720064480463
2024-03-15,39.97326307428293,12.114573380289752,11.741920893955818,6.655015350731648,6.578842853666425,5.843735416102625,6.126759153815279,6.961987845128095,2.2817055026306763,1.7221965293967478
2024-03-18,40.449542454607,12.264360887586728,11.878881755732063,6.737299565711191,6.658052274203877,5.826403639033351,5.136733217043301,7.0317786900293315,2.2734573333748553,1.7434901826783027
2024-03-19,40.4439485438953,12.264523079425805,11.860780305344292,6.7373886641172955,6.709666676336301,5.791307397099451,5.143441911948312,7.0318716828178,2.273487399044754,1.743584339970684
2024-03-20,40.443196177235805,12.267314148585552,11.861346000781712,6.7367884161005325,6.697681490554884,5.816093762178689,5.142478925356762,7.032049615373894,2.2740047824377685,1.7290466813944056
2024-03-21,40.444269773644855,12.267935334252773,11.86141322900878,6.737129549975193,6.6944646425336485,5.81567707408773,5.143450527767537,7.032405700526629,2.2741199322709704,1.7291342359318884
2024-03-22,40.44947863397022,12.280949534317083,11.861299412006247,6.723149112547731,6.722829094660865,5.792131741550141,5.145937401372265,7.028360838515134,2.273961765969639,1.721902465090671
2024-03-25,40.488287469198404,12.299003074765013,11.876563849500675,6.733032439899714,6.713838750072733,5.70958501533323,5.152789961280025,7.032283074092699,2.277304590610703,1.7173117752468061
