date,FUTU SECURITIES INTERNATIONAL,RUISEN PORT SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,PARTNERS CAPITAL SECURITIES LTD,BOCI SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-26,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-27,76.35151443137809,0.0,0.0,0.0,23.64848556862192,0.0,0.0,0.0,0.0
2024-04-09,60.37764381502178,0.0,0.0,20.92148497029883,18.700871214679395,0.0,0.0,0.0,0.0
2024-04-16,60.66589311430414,0.0,0.0,20.983098666211177,18.351008219484687,0.0,0.0,0.0,0.0
2024-04-18,60.752580742795516,0.0,0.0,20.936854446987883,18.310564810216597,0.0,0.0,0.0,0.0
2024-04-19,60.8707606621204,0.0,0.0,20.95224652192708,18.176992815952524,0.0,0.0,0.0,0.0
2024-04-23,61.034017652307845,0.0,0.0,20.983098666211177,17.98288368148098,0.0,0.0,0.0,0.0
2024-04-24,61.005307846240456,0.0,0.0,20.99855883575148,17.99613331800807,0.0,0.0,0.0,0.0
2024-04-29,55.66228759992312,0.0,0.0,19.287564731774268,16.529781353459175,0.0,0.0,0.0,8.52036631484344
2024-05-09,55.67170664944706,0.0,0.0,19.273906751519238,16.532578486597274,0.0,0.0,0.0,8.521808112436425
2024-05-14,47.92611090477526,0.0,13.889771565805361,16.602423983054155,14.241060782654882,0.0,0.0,0.0,7.340632763710338
2024-05-16,47.81962724006798,0.0,13.91817416457361,16.63637356852696,14.270181717691695,0.0,0.0,0.0,7.355643309139752
2024-05-17,47.7612027499239,0.0,13.91817416457361,16.694798058671044,14.270181717691695,0.0,0.0,0.0,7.355643309139752
2024-05-20,47.776458418875876,0.0,13.91410954079496,16.68992255759118,14.266014294633933,0.0,0.0,0.0,7.353495188104042
2024-05-21,47.791705179985414,0.0,13.910047290365412,16.685049903334733,14.261849304950161,0.0,0.0,0.0,7.351348321364279
2024-05-27,47.776458418875876,0.0,13.91410954079496,16.68992255759118,14.266014294633933,0.0,0.0,0.0,7.353495188104042
2024-05-29,47.8526033018568,0.0,13.893821980612511,16.665587704733024,14.245213637378972,0.0,0.0,0.0,7.34277337541868
2024-05-30,47.89940778435407,0.0,13.873593495120584,16.67044238840704,14.224473548885308,0.0,0.0,0.0,7.332082783233
2024-06-06,33.19800654999951,30.668489523557046,9.62718185139325,11.547768764972698,9.870664989832306,0.0,0.0,0.0,5.087888320245189
2024-06-07,30.83735699227353,28.35653865440276,8.901434617192539,10.677237661298218,9.126562725361644,0.0,0.0,7.396532616111924,4.70433673335939
2024-06-17,30.840814154503406,28.359717693203994,8.891221597979635,10.678434681612615,9.127585900206057,0.0,0.0,7.397361838058501,4.704864134435794
2024-06-19,30.863881727209968,28.380929514868242,8.897871840727252,10.686421681150835,9.134412933057188,0.0,0.0,7.328099137083136,4.708383165903378
2024-06-24,30.93329195330954,28.44475579414038,8.91788239227513,10.710454528076571,9.154955445258802,0.0,0.0,7.3445794042925785,4.494080482647002
2024-07-09,30.927882214065978,28.457021963368888,8.921728031006403,10.79006931143046,9.140154282054475,0.0,0.0,7.267125743024234,4.4960184550495645
2024-07-10,30.933681980749384,28.462358380739783,8.96090618324092,10.792092724610548,9.141868294087995,0.0,0.0,7.212230863397422,4.496861573173952
2024-07-26,30.11482384281606,27.708919659822318,8.7236983734506,10.45164239573186,8.89987016230442,0.0,4.381474541442177,5.341747711774921,4.377823312657641
2024-07-30,30.187848418506764,27.708919659822318,8.7236983734506,10.378617820041157,8.89987016230442,0.0,4.381474541442177,5.341747711774921,4.377823312657641
2024-08-07,30.187848418506764,27.708919659822318,8.7236983734506,10.378617820041157,8.89987016230442,0.0,4.564035980668935,5.159186272548164,4.377823312657641
2024-08-08,30.224360706352115,27.708919659822318,8.68718608560525,10.378617820041157,8.89987016230442,0.0,4.564035980668935,5.159186272548164,4.377823312657641
