date,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,UBS SECURITIES HONG KONG LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,UOB KAY HIAN (HONG KONG) LTD,CLSA LTD,CITIBANK N.A.,GET NICE SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,14.003694263740712,0.0,0.0,0.0,5.2948771407775626,0.0,0.0,0.0,1.0592211949720973,0.0,20.35779259949037
2024-03-04,14.030137006227283,0.0,0.0,0.0,5.294195946006246,0.0,0.0,0.0,1.0592211949720973,0.0,20.383554147205626
2024-03-05,14.030137006227283,0.0,0.0,0.0,5.29415466147465,0.0,0.0,0.0,1.0592211949720973,0.0,20.38351286267403
2024-03-06,14.030137006227283,0.0,0.0,0.0,5.294134019208853,0.0,0.0,0.0,1.0592211949720973,0.0,20.383492220408232
2024-03-07,14.030137006227283,0.0,0.0,0.0,5.294134019208853,0.0,0.0,0.0,1.059241837237895,0.0,20.38351286267403
2024-03-08,14.032180590541232,9.336480719232688,0.0,0.0,5.293143190450574,0.0,0.0,0.0,1.0598817474776165,0.0,29.721686247702113
2024-03-11,14.037898498167136,9.336480719232688,0.0,0.0,5.292434472658194,0.0,0.0,0.0,1.0596340402880469,0.0,29.726447730346063
2024-03-12,14.038579692938452,9.336480719232688,7.588382733727232,0.0,5.291753277886877,0.0,0.0,0.0,1.0596340402880469,0.0,37.314830464073296
2024-03-13,14.038579692938452,9.336480719232688,7.588382733727232,0.0,5.29107208311556,0.0,0.0,0.0,1.0596340402880469,0.0,37.31414926930198
2024-03-14,14.038579692938452,9.336480719232688,7.588382733727232,0.0,5.290762449128598,0.0,0.0,0.0,1.0596340402880469,0.0,37.31383963531501
2024-03-15,14.044875584006682,9.336480719232688,7.588382733727232,0.0,5.290081254357281,0.0,0.0,0.0,1.0596340402880469,0.0,37.31945433161193
2024-03-18,14.051274686403904,9.336480719232688,7.588382733727232,0.0,5.289372536564901,0.0,0.0,0.0,1.0596546825538444,0.0,37.325165358482565
2024-03-19,14.051267805648637,9.336480719232688,7.588382733727232,0.0,5.288815195388369,0.0,0.0,0.0,1.0596753248196418,0.0,37.32462177881657
2024-03-20,14.050854960332687,9.336480719232688,7.588382733727232,0.0,5.28823721194604,0.0,0.0,0.0,1.0596753248196418,0.855224484881374,38.17885543493966
