date,GLORY SUN SECURITIES LTD,SOLOMON JFZ (ASIA) HOLDINGS LTD,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,WELL LINK SECURITIES LTD,SHANGHAI COMMERCIAL BANK LTD,THE HONGKONG AND SHANGHAI BANKING,GF SECURITIES (HONG KONG) BROKERAGE LTD,CMB INTERNATIONAL SECURITIES LTD
2024-03-08,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,0.0,0.0,60.723007259069526,39.276992740930474,0.0,0.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,0.0,50.480831216223464,32.65748031297317,0.0,0.0,16.861688470803372,0.0,0.0
2024-03-19,0.0,0.0,0.0,50.48185567289264,32.656113665638905,0.0,0.0,16.862030661468445,0.0,0.0
2024-03-25,0.0,0.0,0.0,43.351338537932534,28.043119891356643,0.0,0.0,14.480283854439197,0.0,14.125257716271628
2024-03-27,0.0,0.0,0.0,43.5235191144762,28.154500086612945,0.0,0.0,14.14062112363541,0.0,14.181359675275443
2024-04-11,0.0,0.0,0.0,43.524958846608186,28.155431420734345,0.0,0.0,14.13778094643661,0.0,14.18182878622086
2024-04-12,0.0,0.0,0.0,43.5236076680339,28.15607012348766,0.0,0.0,14.138136630260703,0.0,14.182185578217743
2024-04-16,0.0,0.0,0.0,37.479770763809775,24.246222001792557,0.0,13.886341753473342,12.174866660209704,0.0,12.212798820714617
2024-04-29,0.0,0.0,0.0,37.47979324111465,24.246176570864662,0.0,13.886350081366782,12.17487396170019,0.0,12.212806144953715
2024-05-07,0.0,0.0,0.0,37.4801978372125,24.24643830945979,0.0,13.886499985156812,12.173925885411185,0.0,12.212937982759712
2024-05-08,0.0,0.0,0.0,37.48076260053882,24.24529683113392,0.0,13.886709231275429,12.17410932592842,0.0,12.213122011123414
2024-05-09,0.0,0.0,0.0,37.481212175552294,24.24438816707975,0.0,13.886875799857727,12.174255352182543,0.0,12.213268505327687
2024-05-13,0.0,0.0,0.0,37.48408409043318,24.238583561083693,0.0,13.887939850963434,12.175188177539042,0.0,12.21420431998065
2024-05-14,0.0,0.0,0.0,37.485213868362436,24.239314116929144,0.0,13.888358436299242,12.17254111982253,0.0,12.214572458586648
2024-05-21,0.0,0.0,0.0,37.485778782866255,24.238172378471294,0.0,13.888567738429474,12.172724564021381,0.0,12.214756536211603
2024-05-28,0.0,0.0,0.0,31.958682226511375,20.983980237936116,0.0,11.840765680896618,10.377915273570924,14.42490674608311,10.413749835001852
2024-05-29,0.0,0.0,0.0,31.958600512459768,20.984182271270004,0.0,11.840735405651504,10.377888738637528,14.424869863536893,10.413723208444305
2024-05-30,0.0,0.0,0.0,31.96048004137252,20.985416379668273,0.0,11.835550638982282,10.378499076437835,14.425718209820412,10.414335653718684
2024-06-06,0.0,0.0,0.0,31.950267873661154,20.978711017568436,0.0,11.863721371771321,10.375182888038172,14.421108834319012,10.411008014641906
2024-06-07,0.0,0.0,0.0,31.95078036889608,20.97744348409354,0.0,11.86391167066633,10.375349310173117,14.421340154744536,10.411175011426392
