date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD,UOB KAY HIAN (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-11,77.22914509070257,0.0,22.77085490929743,0.0,0.0,0.0,0.0
2024-03-13,77.0746507518421,0.0,22.925349248157904,0.0,0.0,0.0,0.0
2024-03-14,77.04797786150101,0.0,22.952022138498982,0.0,0.0,0.0,0.0
2024-03-15,68.80340607973324,10.611248399678447,20.585345520588323,0.0,0.0,0.0,0.0
2024-03-18,68.7911171970351,10.609353139046824,20.59952966391808,0.0,0.0,0.0,0.0
2024-03-19,68.83619790890948,10.616305740073278,20.547496351017248,0.0,0.0,0.0,0.0
2024-04-02,68.8116011077033,10.612512283000328,20.575886609296372,0.0,0.0,0.0,0.0
2024-04-03,68.80231138116939,10.615673308908944,20.582015309921665,0.0,0.0,0.0,0.0
2024-04-08,68.4740442417602,10.554058455980336,20.971897302259467,0.0,0.0,0.0,0.0
2024-04-12,66.42822067774942,10.238731068438305,19.770748376260496,0.0,0.0,0.0,3.5622998775517862
2024-04-16,66.43967283166184,10.240496214679878,19.756916939432895,0.0,0.0,0.0,3.5629140142253823
2024-04-19,66.47023122228903,10.24520624816149,19.714260507825898,0.0,0.0,0.0,3.5703020217235744
2024-04-24,66.46830339317799,10.245795307006029,19.65789795435107,0.0,0.0,0.0,3.628003345464903
2024-04-25,66.85267986547116,10.305045242011126,19.1932913345875,0.0,0.0,0.0,3.648983557930214
2024-04-26,66.76773609495694,10.29195153507316,19.295965251784192,0.0,0.0,0.0,3.644347118185708
2024-05-07,54.522943580555975,8.352591417426982,15.686459093372186,16.325519588607282,2.13649006894095,0.0,2.9759962510966314
2024-05-08,54.52808701174268,8.353379360563668,15.678505361103124,16.32705965928353,2.1366916150961837,0.0,2.9762769922108157
2024-05-09,54.553818730739025,8.357321307221904,15.638714179634889,16.334764373206447,2.1376999165282453,0.0,2.977681492669494
2024-05-10,54.400168679472905,8.361266976033544,15.778291492887695,16.342476362247382,2.13870917004133,0.0,2.9790873193171397
2024-05-13,54.40273714818845,8.361661747836123,15.774315019492091,16.3432479616797,2.1388101478090142,0.0,2.9792279749946182
2024-05-21,54.310058671810914,8.360477544245915,15.871217111098119,16.340933381935198,2.13850724310751,0.0,2.9788060478023404
2024-05-22,54.22007412299542,8.345899897598965,16.013194721649512,16.31244070894343,2.1347784605377362,0.0,2.973612088274927
2024-05-27,50.64040381513196,14.397006725417985,14.955985586355952,15.235475016824934,1.9938379842905374,0.0,2.777290871978634
2024-05-30,47.5206431147679,19.698595794826677,14.013211932014618,14.291907219407365,1.8703550398357753,0.0,2.605286899147669
2024-05-31,6.881455924993903,2.8649963975867974,2.0513158025899183,2.0786386565178576,0.2720275347111338,0.0,0.3789172415375116
2024-06-03,47.412080111458835,19.73934588871854,14.04220078522547,14.32147260402415,1.8742242061600287,0.0,2.610676404412983
2024-06-04,47.41011858404455,19.73852923465042,14.045757021932129,14.32088009761946,1.8741466659603105,0.0,2.6105683957931323
2024-06-07,47.5888842085711,20.02408996461019,13.411696016537297,14.402309054612289,1.9313839107122464,0.0,2.641636844956869
2024-06-11,47.81262883646388,20.04569962514126,13.003738824184902,14.405899160658514,2.0689654742632846,0.0,2.663068079288158
2024-06-12,49.88990340901738,17.968425052587765,13.003738824184902,14.405899160658514,2.0689654742632846,0.0,2.663068079288158
2024-06-13,49.38935025744803,18.089422014943704,13.133129509115196,14.50290655186527,2.2041908443642386,0.0,2.6810008222635657
