date,CONSTANCE CAPITAL LTD,HANG SENG SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MIB SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,BOCOM INTERNATIONAL SECURITIES LTD,CITIBANK N.A.,GUOYUAN SECURITIES BROKERAGE (HONG KONG)
2024-04-05,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-04-08,0.0,63.33164715108759,0.0,0.0,33.57890484160638,0.0,0.0,3.0894480073060353,0.0
2024-04-10,0.0,64.8782472330497,0.0,0.0,31.957536918749195,0.0,0.0,3.1642158482010916,0.0
2024-04-11,0.0,63.399476334887574,0.0,0.0,33.510152379076494,0.0,0.0,3.0903712860359365,0.0
2024-04-18,0.0,47.3397147385103,0.0,25.332234548335975,25.02060221870048,0.0,0.0,2.307448494453249,0.0
2024-04-24,0.0,43.33231982583145,0.0,23.18781377147804,22.902561698236266,0.0,0.0,2.1121186871441604,8.465186017310089
2024-04-25,0.0,43.33968433731025,0.0,23.184800291480915,22.899585289496706,0.0,0.0,2.111844196953839,8.464085884758287
2024-04-26,0.0,43.34475980049714,0.0,23.186522184134,22.89200247870012,0.0,0.0,2.112001039754358,8.46471449691439
2024-05-02,0.0,43.38731741758969,0.0,23.20332405082695,22.824978690493055,0.0,0.0,2.1135314788449433,8.470848362245361
2024-05-13,0.0,43.38836928979694,0.0,23.20289292955568,22.824554598935823,0.0,0.0,2.1134922091103125,8.470690972601243
2024-05-20,0.0,43.391279103524354,0.0,23.20246182430471,22.822272542530335,0.0,0.0,2.11345294083493,8.470533588805667
2024-05-24,0.0,43.39338258347249,0.0,23.201599661860094,22.821424507247016,0.0,0.0,2.113374408661584,8.470218838758822
2024-05-30,0.0,43.39233086303918,0.0,23.202030735073144,22.821848517010658,0.0,0.0,2.113413674018714,8.470376210858301
2024-06-19,0.0,43.39338258347249,0.0,23.201599661860094,22.821424507247016,0.0,0.0,2.113374408661584,8.470218838758822
2024-07-03,0.0,43.39443426482644,0.0,23.201168604664666,22.821000513238534,0.0,0.0,2.1133351447634574,8.470061472506902
2024-07-04,51.65453910591003,20.97923924771324,0.0,11.216711894740033,11.032917878767805,0.0,0.0,1.0217016159726766,4.094890256896205
2024-07-05,51.66973267890154,20.97264608266897,0.0,11.213186808253203,11.029450553397437,0.0,0.0,1.0213805248549024,4.093603351923955
2024-07-08,51.66926873178227,20.973355676299356,0.0,11.213086124052847,11.029351518981233,0.0,0.0,1.0213713537884461,4.093566595095846
2024-07-12,51.668804792994585,20.974065257186854,0.0,11.212985441660578,11.02925248634349,0.0,0.0,1.0213621828866837,4.093529838927816
2024-07-18,51.66834086253823,20.9747748253318,0.0,11.21288476107635,11.02915345548416,0.0,0.0,1.0213530121496113,4.093493083419849
2024-07-22,51.68365496777294,20.980991589864725,0.0,11.216208175266724,11.032422413105934,0.0,0.0,0.9920164901971571,4.094706363792521
2024-07-31,51.6947982019474,20.96395472752406,0.0,11.218626441434713,11.034801054216699,0.0,0.0,0.9922303735237541,4.095589201353368
2024-08-05,51.6920119429532,20.963723111231385,0.0,11.218021777137487,11.038697818356171,0.0,0.0,0.9921768940461526,4.095368456275609
2024-08-12,46.7442637366208,18.95716117790768,0.0,10.144278561499384,9.701867630080695,9.85184260040555,0.0,0.8972097750781606,3.703376518407727
