date,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIBANK N.A.,YUANTA SECURITIES (HONG KONG) CO LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,CHINA INTERNATIONAL CAPITAL CORPORATION,DBS BANK LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,38.44714640758629,20.1789987943518,0.0,14.47034816969041,5.625238091155089,20.36115361894889,0.7902067661043275,0.0,0.0,0.12690815216320192
2024-03-04,38.520941905319326,20.388359579660253,0.0,14.481737079906242,5.2443225020084805,20.45135008991343,0.7862006799371466,0.0,0.0,0.12708816325512198
2024-03-05,38.617441806724074,20.765335225850478,0.0,14.504288203203833,5.289362226690835,19.907601123334352,0.7944942738230033,0.0,0.0,0.12147714037342659
2024-03-06,38.52557085769335,20.751474327232863,0.0,14.565388450216691,5.299906457834396,19.67536735413159,0.9756364416560758,0.0,0.0,0.2066561112350289
2024-03-07,38.87922341520768,21.538022818032523,0.0,14.649763821196482,5.585519229821697,17.519571554510257,1.3013007548423983,0.0,0.0,0.5265984063889608
2024-03-08,38.83667456356649,21.950917730099263,0.0,14.64728607836457,5.586598009648293,17.42101531723087,1.162638536765845,0.0,0.0,0.39486976432466825
2024-03-11,38.695040333366784,22.249746816572564,0.0,14.634509037667854,5.590503896521915,17.267564005700777,1.1758175017435777,0.0,0.0,0.38681840842652704
2024-03-12,38.7072497827024,22.369814624858364,0.0,14.637132287918703,5.622591840844333,17.059400688947864,1.2143941172139079,0.0,0.0,0.38941665751443516
2024-03-13,38.711045124739,22.40946903821213,0.0,14.61831699157371,5.619160273803855,17.003197813957698,1.2290326774694236,0.0,0.0,0.40977808024418416
2024-03-14,38.74569064311499,22.46210503513552,0.0,14.617333497262933,5.607145023965147,16.93290659678671,1.2178276910069556,0.0,0.0,0.41699151272774443
2024-03-15,38.74184072360764,22.463414162862737,0.0,14.613505516777185,5.609074271459246,16.920720724180548,1.2284896273713342,0.0,0.0,0.4229549737413096
2024-03-18,37.79214343270717,24.363936830756767,0.0,14.223362497175104,5.4352974692777,16.477569696072003,1.1162335105423842,0.0,0.0,0.5914565634688697
2024-03-19,37.449350189908216,24.587535643808476,0.0,14.318568317543345,5.282460455068804,16.526064985686315,1.1427492156400443,0.0,0.0,0.6932711923447998
2024-03-20,37.42953751257355,24.567778031640724,0.0,14.31378829358466,5.277961333311083,16.516640058629577,1.151075813190088,0.0,0.0,0.7432189570703172
2024-03-21,37.44498365119334,24.458568723512265,0.0,14.325111307648926,5.2781142946247845,16.52173079378885,1.1554814655055203,0.0,0.0,0.8160097637263087
2024-03-22,37.45907800810202,24.372006103589293,0.0,14.330382871568915,5.280422896151078,16.52440971647338,1.1625986173043323,0.0,0.0,0.8711017868109807
2024-03-25,37.39464471567449,24.391000774456536,0.0,14.320910489488469,5.401860107892453,16.42299716836335,1.166545789848833,0.0,0.0,0.9020409542758687
2024-03-26,37.38407546372844,24.398322655629386,0.0,14.321297366234045,5.3830740634266885,16.413411050838125,1.1797681768696466,0.0,0.0,0.9200512232736604
2024-03-27,38.140240218830094,22.883028694668656,0.0,14.62523944750694,5.493347559793187,16.69108944922525,1.1978265718433918,0.0,0.0,0.9692280581324816
2024-03-28,38.27763071817602,22.66078737710385,0.0,14.636389712678866,5.51225971814584,16.721396766211637,1.2089805048210092,0.0,0.0,0.982555202862778
2024-04-02,34.848246772784705,26.127927271812073,0.0,14.660341154096876,5.5304283351779535,16.650294985653808,1.1992967285435745,0.0,0.0,0.9834647519310082
2024-04-03,34.864938137910784,26.18639597478171,0.0,14.669764500625545,5.5415487375962,16.54304415011672,1.2008228259802902,0.0,0.0,0.9934856729887552
2024-04-05,34.06477510929907,27.927206485316148,0.0,14.364700737705727,5.393729155748074,16.080858776843346,1.1915079926541792,0.0,0.0,0.9772217424334602
