date,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,TFI SECURITIES AND FUTURES LTD,SINOPAC SECURITIES (ASIA) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BAN HIN SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,CINDA INTERNATIONAL SECURITIES LTD
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-18,0.0,72.21366537415412,0.0,0.0,0.0,0.0,17.74695900995184,0.0,10.039375615894036,0.0
2024-03-21,0.0,72.12298514495198,0.0,0.0,0.0,0.0,17.80487590803622,0.0,10.072138947011807,0.0
2024-03-25,0.0,72.118196103292,0.0,0.0,0.0,0.0,17.80793463914203,0.0,10.073869257565972,0.0
2024-04-26,0.0,47.01534741732073,0.0,34.807926490587015,0.0,0.0,11.609361840457689,0.0,6.567364251634563,0.0
2024-05-02,0.0,47.36254323270225,0.0,34.73401605791113,0.0,0.0,11.58471076114243,0.0,6.318729948244192,0.0
2024-05-03,0.0,48.47686074539006,0.0,33.62089896356645,0.0,0.0,11.583934011045995,0.0,6.318306279997497,0.0
2024-05-17,0.0,48.47902774465039,0.0,33.61793170329763,0.0,0.0,11.584451832869595,0.0,6.318588719182394,0.0
2024-06-05,0.0,48.219757744146264,0.0,33.61793170329763,0.0,0.0,11.584451832869595,0.0,6.5778587196865175,0.0
2024-06-06,0.0,47.95714627106184,0.0,33.43484379535959,0.0,0.0,11.521361305189068,0.0,7.0866486283894945,0.0
2024-06-07,0.0,47.866703256340855,0.0,33.37178858243083,0.0022187214003344747,0.0,11.499633017933581,0.0,7.2596564218944,0.0
2024-06-11,0.0,47.84016725561945,0.0,33.35328816887288,0.002217491401427623,0.0,11.493257933599372,0.0,7.311069150506874,0.0
2024-06-12,0.0,46.96208015740941,0.0,33.475026325055815,0.0022255851555784733,0.0,11.423928603584303,0.0,8.136739328794897,0.0
2024-06-13,0.0,46.88327998016068,0.0,33.472791428624234,0.015578055980345035,0.0,11.356402809671529,0.0,8.271947725563212,0.0
2024-06-17,0.0,46.831170080935976,0.0,33.43558703957864,0.01556074125902869,0.0,11.343780377831916,0.0,8.373901760394439,0.0
2024-06-18,0.0,34.217346184685496,28.5565331430455,25.17796784135261,0.001629009306505733,0.0,8.148304551141676,0.0,3.8982192704682186,0.0
2024-06-19,0.0,34.456969463454996,28.886372043660874,23.927626859788823,0.14927086064583417,0.0,8.118038344354211,0.0,4.461722428095262,0.0
2024-06-20,0.0,34.69398170708253,28.880213508909286,23.922525522683692,0.0016399894099323844,0.0,8.11630758975537,0.0,4.385331682159196,0.0
2024-06-21,0.0,34.54039372617765,28.854659987034083,23.92593669112275,0.001638538329757756,0.0,8.138619883906774,0.0,4.5387511734289845,0.0
2024-06-24,0.0,34.53875518784789,28.854659987034083,23.92757522945251,0.001638538329757756,0.0,8.138619883906774,0.0,4.5387511734289845,0.0
2024-06-25,0.0,34.53988708642582,28.855605607350405,23.92835938013276,0.0016385920276746396,0.0,8.138886601459935,0.0,4.535622732603403,0.0
2024-06-26,0.0,34.59941613023068,28.79043873797194,23.96959959467527,0.0016414161196107147,0.0,8.177535107900582,0.0,4.461369013101923,0.0
2024-06-27,0.0,34.63532643420646,28.773908253081153,23.957477544355598,0.0016404736746340454,0.0,8.172839847026815,0.0,4.458807447655335,0.0
2024-06-28,0.0,34.63589462693979,28.77438028921484,23.956230066328636,0.001640500586614301,0.0,8.172973922512448,0.0,4.45888059441767,0.0
2024-07-02,0.0,34.64157757977387,28.77910150250455,23.943753034552387,0.0016407697549888568,0.0,8.174314919354485,0.0,4.459612194059713,0.0
2024-07-05,0.0,34.60289184263011,28.782407273737686,23.905479427811322,0.0016409582254126387,0.0,8.175253879005767,0.0,4.532326618589709,0.0
2024-07-11,0.0,34.604595383493056,28.783824265333298,23.906656322541362,0.0016410390117065734,0.0,8.175656356322149,0.0,4.527626633298436,0.0
2024-07-12,0.0,34.597782226250835,28.77815713590789,23.90194943876318,0.0016407159142478843,0.0,8.17404668478296,0.0,4.5464237983808875,0.0
