date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,KGI ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-05,1559241.0,805921.0,237550.0,0.0,0.0,164250.0,684680.0,0.0,0.0,0.0
2024-03-06,1558591.0,805671.0,237350.0,209300.0,0.0,0.0,684730.0,0.0,0.0,0.0
2024-03-26,1515614.0,806715.0,0.0,208650.0,0.0,161250.0,677730.0,0.0,0.0,0.0
2024-03-28,1514479.0,814965.0,233500.0,0.0,0.0,0.0,682730.0,0.0,123300.0,0.0
2024-04-09,1515006.0,795765.0,233150.0,208450.0,0.0,0.0,681630.0,0.0,0.0,0.0
2024-04-16,1509606.0,796778.0,231650.0,0.0,0.0,160750.0,673680.0,0.0,0.0,0.0
2024-04-30,1495206.0,795778.0,231550.0,0.0,0.0,159950.0,671180.0,0.0,0.0,0.0
2024-05-02,1494256.0,794828.0,230950.0,0.0,0.0,159850.0,671880.0,0.0,117800.0,0.0
2024-05-06,1495045.0,800478.0,229900.0,0.0,66400.0,158150.0,671680.0,0.0,0.0,0.0
2024-05-09,1526720.0,809878.0,218450.0,0.0,0.0,0.0,670480.0,0.0,113000.0,0.0
2024-05-13,1525720.0,812178.0,217600.0,0.0,0.0,0.0,670730.0,0.0,111400.0,0.0
2024-05-14,1525970.0,813408.0,217750.0,208400.0,0.0,0.0,670680.0,0.0,112600.0,159650.0
2024-05-20,1520920.0,818008.0,0.0,208900.0,0.0,158550.0,0.0,61750.0,109050.0,0.0
2024-05-21,1490495.0,828308.0,220050.0,208800.0,0.0,0.0,670730.0,0.0,103550.0,0.0
2024-05-23,1457745.0,831958.0,220400.0,0.0,0.0,159550.0,670280.0,0.0,0.0,0.0
2024-05-27,1457695.0,833308.0,220500.0,0.0,0.0,159850.0,670380.0,0.0,0.0,0.0
2024-05-29,1453392.0,840358.0,221300.0,208100.0,0.0,0.0,0.0,0.0,103750.0,0.0
2024-05-31,1454142.0,842008.0,225100.0,0.0,0.0,0.0,0.0,0.0,104750.0,162500.0
2024-06-03,1455692.0,862858.0,226150.0,0.0,0.0,159700.0,0.0,0.0,108750.0,0.0
2024-07-03,1380556.0,867849.0,235650.0,0.0,0.0,155800.0,670080.0,0.0,0.0,0.0
2024-07-08,1378906.0,879949.0,227050.0,0.0,0.0,156200.0,0.0,0.0,107850.0,0.0
2024-07-24,1333317.0,926576.0,221150.0,0.0,0.0,149150.0,669830.0,0.0,0.0,0.0
2024-07-25,1332117.0,923876.0,225250.0,0.0,0.0,145150.0,669930.0,0.0,0.0,0.0
2024-08-01,1430267.0,908876.0,225300.0,207950.0,0.0,0.0,665030.0,0.0,0.0,0.0
2024-08-06,1428053.0,0.0,227200.0,207850.0,0.0,146450.0,668480.0,0.0,0.0,0.0
2024-08-26,1432156.0,910056.0,213400.0,207000.0,0.0,0.0,673980.0,0.0,0.0,0.0
2024-09-13,1425506.0,923905.0,214050.0,0.0,0.0,0.0,671130.0,0.0,107050.0,0.0
2024-09-24,1412856.0,0.0,214650.0,0.0,80400.0,0.0,674330.0,0.0,106000.0,0.0
2024-09-27,0.0,923418.0,213200.0,207050.0,92400.0,144050.0,666980.0,0.0,105700.0,0.0
2024-10-02,1372006.0,920318.0,211500.0,201050.0,0.0,142300.0,665880.0,0.0,105300.0,0.0
2024-10-03,1369037.0,919818.0,222200.0,203850.0,99400.0,141650.0,670280.0,0.0,105600.0,0.0
2024-10-04,1367137.0,920139.0,208200.0,204800.0,97900.0,142000.0,651030.0,0.0,104850.0,0.0
2024-10-07,1366637.0,0.0,202200.0,0.0,0.0,142050.0,650730.0,62750.0,108350.0,0.0
2024-10-08,1356987.0,919789.0,200250.0,0.0,99900.0,139950.0,672130.0,0.0,108300.0,0.0
2024-10-09,1357737.0,911739.0,213900.0,206500.0,101900.0,140000.0,677680.0,0.0,105350.0,0.0
2024-10-10,1350937.0,912539.0,208500.0,0.0,0.0,140100.0,676680.0,0.0,105550.0,0.0
2024-10-14,1349687.0,918689.0,206450.0,205800.0,0.0,0.0,675130.0,0.0,0.0,0.0
2024-10-18,1351187.0,0.0,205700.0,205450.0,0.0,0.0,681180.0,0.0,105200.0,0.0
2024-10-21,1351137.0,915025.0,205100.0,0.0,0.0,140600.0,681980.0,0.0,0.0,0.0
2024-10-29,1345010.0,902675.0,205800.0,0.0,0.0,140800.0,0.0,0.0,109950.0,0.0
2024-10-30,1341860.0,902425.0,206200.0,0.0,0.0,141000.0,0.0,0.0,110150.0,0.0
2024-11-04,1388860.0,894075.0,206350.0,206950.0,0.0,0.0,671380.0,0.0,110450.0,0.0
2024-11-08,1360231.0,890675.0,206450.0,0.0,99900.0,140500.0,0.0,0.0,0.0,0.0
2024-11-12,1340281.0,885225.0,207700.0,0.0,0.0,0.0,670938.0,0.0,0.0,154892.0
2024-11-13,1338031.0,877325.0,207450.0,0.0,0.0,0.0,671051.0,0.0,0.0,154879.0
2024-11-14,1318631.0,874134.0,207500.0,205450.0,0.0,0.0,670851.0,0.0,0.0,0.0
2024-11-20,1315331.0,858784.0,0.0,204450.0,0.0,140900.0,671351.0,0.0,0.0,0.0
2024-11-22,1309781.0,833784.0,237450.0,204600.0,0.0,0.0,643351.0,0.0,0.0,0.0
2024-12-03,1291681.0,829084.0,237200.0,209000.0,0.0,0.0,0.0,0.0,113900.0,0.0
2024-12-11,1289681.0,816184.0,237450.0,0.0,0.0,140400.0,668597.0,0.0,0.0,154883.0
2024-12-12,1298881.0,814134.0,236800.0,211200.0,0.0,140800.0,668797.0,0.0,0.0,0.0
2025-01-06,1247239.0,807932.0,247350.0,215650.0,0.0,0.0,672947.0,0.0,113100.0,0.0
2025-01-08,1246439.0,800232.0,247150.0,215350.0,0.0,0.0,669347.0,0.0,0.0,0.0
2025-01-09,1244639.0,795932.0,243200.0,215650.0,0.0,0.0,669497.0,0.0,0.0,0.0
