date,CHINA RENAISSANCE BROKING SERVICES (HONG,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,FORTHRIGHT SECURITIES CO LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-07,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,33.03438905644278,66.96561094355722,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,33.12354881176313,66.87645118823687,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,27.93496409835221,56.394099957274726,0.0,15.67093594437306,0.0,0.0,0.0,0.0
2024-04-05,0.0,55.51963129221947,12.215624930148792,24.660463887692032,0.0,6.85271243331006,0.0,0.0,0.0,0.7515674566296433
2024-04-22,0.0,55.547676991500886,12.22179564373877,24.622406178650603,0.0,6.856174075754243,0.0,0.0,0.0,0.7519471103555009
2024-04-24,0.0,55.57523502338344,12.227859059029091,24.585010228968006,0.0,6.859575526075935,0.0,0.0,0.0,0.7523201625435221
2024-04-29,0.0,55.746367563423526,11.957582749488262,24.660714726585056,0.0,6.880698182289269,0.0,0.0,0.0,0.754636778213888
2024-05-09,0.0,55.74031230072678,11.956283897061981,24.658036038941617,0.0,6.87995078946617,0.0,0.0,0.0,0.7654169738034475
2024-05-10,0.0,55.7362761896901,11.955418152192552,24.656250570448673,0.0,6.879452617780957,0.0,0.0,0.0,0.7726024698877139
2024-05-13,0.0,55.731433627923124,11.954379423830884,24.654108349538127,0.0,6.87885490698106,0.0,0.0,0.0,0.781223691726805
2024-05-14,0.0,55.7059248046181,11.948907787223085,24.64282392255156,0.0,6.8757063876816185,0.0,0.0,0.0,0.8266370979256316
2024-05-16,0.0,55.71197259794912,11.950205037472173,24.645499305945677,0.0,6.876452858571085,0.0,0.0,0.0,0.8158702000619451
2024-05-17,0.0,55.716005189764076,11.951070027469367,24.64728321762825,0.0,6.876950595883556,0.0,0.0,0.0,0.8086909692547513
2024-06-07,0.0,55.721248431958315,11.951470804989128,24.64960268893456,0.0,6.877597762122578,0.0,0.0,0.0,0.8000803119954236
2024-06-11,0.0,55.71997867014592,11.954092530928055,24.64842568180738,0.0,6.8774410371523915,0.0,0.0,0.0,0.8000620799662498
2024-06-13,0.0,55.703849504580496,11.991230124701843,24.600692820582758,0.0,6.875450236226005,0.0,0.0,0.0,0.828777313908903
2024-06-14,0.0,55.66363775725942,12.033779515169227,24.59891266943839,0.0,6.874952716066905,0.0,0.0,0.0,0.8287173420660553
2024-07-02,0.0,55.68700951787474,12.03883219633521,24.56725365047686,0.0,6.877839335691413,0.0,0.0,0.0,0.829065299621776
2024-07-22,0.0,50.07447504137665,10.825472719076549,32.16990448788156,0.0,6.184641573240333,0.0,0.0,0.0,0.7455061784249044
2024-07-25,0.0,50.0705637687645,10.824627151051626,32.191475367153494,0.0,6.184158496399658,0.0,0.0,0.0,0.729175216630731
2024-07-29,0.0,50.07675689927073,10.825966028099973,32.183088262817584,0.0,6.184923402918713,0.0,0.0,0.0,0.7292654068930049
