date,QUAM SECURITIES LTD,THEIA SECURITIES LTD,ROOFER SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,TIGER BROKERS (HK) GLOBAL LTD,FUTU SECURITIES INTERNATIONAL,MORGAN STANLEY HONG KONG SECURITIES LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,64.78506,0.0,0.0,0.1092,0.0,3.0164880000000003,0.0,0.0,0.0,0.0,67.910748
2024-03-04,64.82706,0.0,16.6694,0.11,2.7199063,3.010488,0.0,0.0,0.1048,0.0,87.44165430000001
2024-03-05,64.80586000000001,0.0,16.6694,0.134,2.7159063,3.021288,0.0,0.0,0.09759999999999999,0.0,87.44405429999999
2024-03-06,64.80466,0.0,16.6694,0.134,2.7155063,3.022488,0.0,0.0,0.09759999999999999,0.0,87.44365429999999
2024-03-07,64.84506,0.0,16.6494,0.134,2.7151063,3.002088,0.0,0.0,0.09759999999999999,0.0,87.44325429999999
2024-03-08,64.84466,0.0,16.6494,0.134,2.7151063,3.003288,0.0,0.0,0.09759999999999999,0.0,87.44405429999999
2024-03-11,64.84346,0.0,16.6494,0.134,2.7151063,3.003738,0.0,0.0,0.09759999999999999,0.0,87.44330430000001
2024-03-12,64.84346,10.2524,16.6494,0.134,2.7147063,3.003738,0.0,0.0,0.0972,0.0,97.69490429999999
2024-03-13,64.86186000000001,10.2524,16.6494,0.134,2.7147063,2.990538,0.0,0.0,0.0972,0.0,97.7001043
2024-03-14,64.86106000000001,10.2524,16.6494,0.134,2.7147063,2.9937289,0.0,0.0,0.0972,0.0,97.7024952
2024-03-15,64.85546,10.2572,16.6494,0.1344,2.7151063,2.9945289,0.0,0.0,0.09759999999999999,0.0,97.7036952
2024-03-18,64.84986,10.2616,16.6494,0.1344,2.7191063,2.9917289,0.0,0.0,0.09759999999999999,0.0,97.7036952
2024-03-19,64.85185999999999,10.2568,16.6494,0.1344,2.7203063,2.9949289,0.0,0.0,0.09759999999999999,0.0,97.7052952
2024-03-20,64.85026,10.2568,16.6494,0.1344,2.7203063,2.9949289,0.0,0.0,0.0984,0.0,97.7044952
