date,UBS SECURITIES HONG KONG LTD,GET NICE SECURITIES LTD,CHINA RISE SECURITIES ASSET MANAGEMENT,CS WEALTH SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,CITIBANK N.A.,CINDA INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,80.47549668220122,0.0,0.0,19.524503317798775,0.0,0.0,0.0
2024-03-07,0.0,0.0,80.47725326651823,0.0,0.0,19.522746733481764,0.0,0.0,0.0
2024-03-11,0.0,0.0,80.47754017711651,0.0,0.0,19.522459822883498,0.0,0.0,0.0
2024-03-12,0.0,0.0,79.1623544941543,0.0,0.0,19.20236653642613,0.0,0.0,1.6352789694195693
2024-03-13,0.0,0.0,79.16265570337052,0.0,0.0,19.202088965249846,0.0,0.0,1.635255331379631
2024-03-14,0.0,0.0,79.1638000200905,0.0,0.0,19.20092101048993,0.0,0.0,1.6352789694195693
2024-03-15,0.0,0.0,79.16470355893232,0.0,0.0,19.200088383717855,0.0,0.0,1.63520805734983
2024-03-18,0.0,0.0,79.16705241998994,0.0,0.0,19.197810428580176,0.0,0.0,1.6351371514298714
2024-03-19,0.0,0.0,79.16765464166888,0.0,0.0,19.19725547409841,0.0,0.0,1.6350898842327155
2024-03-20,0.0,0.0,79.16910000046077,0.0,0.0,19.195810115306504,0.0,0.0,1.6350898842327155
2024-03-22,0.0,0.0,76.07663742562146,0.0,0.0,18.445993275466694,3.9130929575546305,0.0,1.5642763413572207
2024-03-25,0.0,0.0,76.0776940694233,0.0,0.0,18.444860555375,3.9131473072940453,0.0,1.5642980679076626
2024-03-26,0.0,0.0,76.07875074257741,0.0,0.0,18.443727803817715,3.913201658543229,0.0,1.5643197950616412
2024-03-28,0.0,44.875129845466184,41.949292610198356,0.0,0.0,10.158615182290834,2.155351141736889,0.0,0.8616112203077455
2024-04-03,0.0,25.689352729905863,24.014419085681954,0.0,42.75369716283661,5.815431611316269,1.2338588418029584,0.0,0.493240568456351
2024-04-05,0.0,25.689802755633806,24.015715669257936,0.0,42.75444612151572,5.815095536310988,1.233880456525186,0.0,0.4910594607563633
2024-04-09,0.0,25.68969024772366,24.01648638845094,0.0,42.7542588793859,5.815070069231607,1.2334371050353268,0.0,0.4910573101725612
2024-04-10,0.0,25.689352729905863,24.017484679573002,0.0,42.75369716283661,5.814993669331834,1.2334208998185232,0.0,0.4910508585341746
2024-04-11,0.0,25.689352729905863,24.017922621557435,0.0,42.09678418618366,5.814993669331834,1.8898959344870288,0.0,0.4910508585341746
2024-04-15,0.0,25.689465234859703,24.018027806585035,0.0,42.096968546483104,5.815019135742032,1.8894662672686597,0.0,0.4910530090614671
2024-04-16,0.0,25.689577740798963,24.01813299253394,0.0,42.09715290839734,5.815044602375289,1.8890365962868712,0.0,0.4910551596075958
2024-04-19,0.0,25.689465234859703,24.018903694389785,0.0,42.096968546483104,5.815019135742032,1.8885903794639085,0.0,0.4910530090614671
2024-04-22,0.0,25.689127722954396,24.020339883157742,0.0,42.096415470429086,5.814504799031994,1.888565566890681,0.0,0.49104655753609744
2024-04-23,0.0,25.689240225937432,24.020883017916717,0.0,42.096599827499,5.814092323011667,1.8881358976094689,0.0,0.4910487080257181
