date,KGI ASIA LTD,CITIBANK N.A.,HEAD & SHOULDERS SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,REALINK FINANCIAL TRADE LTD,BOCI SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,0.0,20.276497695852534,0.0,0.0,0.0,79.72350230414746,0.0,0.0,0.0
2024-03-04,0.0,6.379893668438859,0.0,49.83083615273079,0.0,25.08458192363461,18.704688255195748,0.0,0.0
2024-03-08,0.0,4.417831224011243,0.0,33.99092531310142,30.36970488722579,18.462578249599222,12.758960326062319,0.0,0.0
2024-03-12,0.0,4.454068446376549,0.0,33.89036581707913,30.279858488821688,18.654493308625035,12.7212139390976,0.0,0.0
2024-03-13,0.0,4.398977401895007,0.0,33.84586344293845,30.42065221405621,18.62999757892102,12.704509362189311,0.0,0.0
2024-03-15,0.0,4.3361679936599975,0.0,33.868100011086796,30.440638435037553,18.642237396985216,12.712856163230446,0.0,0.0
2024-03-18,0.0,4.351878081724986,0.0,33.86253813025253,30.435639418162115,18.639175934935317,12.710768434925054,0.0,0.0
2024-03-26,0.0,4.267664643629485,0.0,33.84586344293845,30.551964972321734,18.62999757892102,12.704509362189311,0.0,0.0
2024-04-03,0.0,4.265564182385681,0.0,33.82920516953567,30.58614593971609,18.620828257722106,12.69825645064045,0.0,0.0
2024-04-05,0.0,4.25509281421201,0.0,33.74615916501986,30.756547319496097,18.575116708194734,12.667083993077291,0.0,0.0
2024-04-08,0.0,4.2308584167639625,0.0,33.55396175141266,31.150915533352592,18.469324242411915,12.594940056058872,0.0,0.0
2024-04-12,0.0,4.274386467681024,0.0,33.38554884984194,31.205045071300493,18.37662363946198,12.75839597171457,0.0,0.0
2024-04-17,0.0,4.30016085489765,0.0,33.08556598059312,31.759014492986164,18.211502128018033,12.643756543505033,0.0,0.0
2024-04-18,0.0,4.422846566484918,0.0,33.04315079743443,31.71829992828899,18.188155264349213,12.627547443442449,0.0,0.0
2024-04-30,0.0,4.355955207328254,0.0,33.02198396143699,31.82609809707214,18.176504265873415,12.619458468289208,0.0,0.0
2024-05-02,0.0,4.521726492068811,0.0,33.2992858094496,31.124416111880432,18.329141316064646,12.725430270536512,0.0,0.0
2024-05-03,0.0,4.460011392420404,0.0,33.320809750619105,31.144534264118317,18.340988878250577,12.73365571459159,0.0,0.0
2024-05-07,0.0,4.398216458546406,0.0,33.342361535009886,31.164678441058648,18.35285176636092,12.741891799024147,0.0,0.0
2024-05-14,0.0,4.638470926437257,0.0,33.26399954588396,31.339277387859692,17.97812944739755,12.780122692421534,0.0,0.0
2024-05-17,0.0,4.653565631953399,0.0,33.37224864033714,31.441262971204033,17.711210455878586,12.821712300626848,0.0,0.0
2024-05-20,0.0,4.842036784657002,0.0,33.77897090248813,31.346835588970368,17.054180579973895,12.977976143910603,0.0,0.0
2024-05-21,0.0,4.862614760573527,0.0,33.874578921301776,31.162074879355583,16.953661900922178,13.147069537846942,0.0,0.0
2024-05-22,0.0,4.959906057408449,0.0,33.9802835522453,30.865150501122958,17.00656530611407,13.18809458310922,0.0,0.0
2024-05-23,0.0,5.049487444128737,0.0,34.03058476189693,30.680570575633343,17.03174022278602,13.207616995554972,0.0,0.0
2024-05-27,0.0,5.2019872575927275,0.0,33.952402637095744,30.67572501671774,16.992611372988232,13.17727371560555,0.0,0.0
