date,VALUABLE CAPITAL LTD,EVERBRIGHT SECURITIES INVESTMENT,DAH SING SECURITIES LTD,SINOPAC SECURITIES (ASIA) LTD,BANK OF CHINA (HONG KONG) LTD,PRUDENTIAL BROKERAGE LTD,ICBC (ASIA) SECURITIES LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING
2024-03-04,0.0,0.0,0.0,0.0,17.354735322735017,33.5646013947189,0.0,29.589168476356736,19.491494806189344,0.0
2024-03-06,0.0,0.0,0.0,0.0,17.451324482312405,33.52537377952611,0.0,29.55458702844335,19.46871470971813,0.0
2024-03-07,0.0,0.0,0.0,0.0,16.150085933405435,31.02399345071528,7.460323738150473,27.349473280711685,18.016123597017128,0.0
2024-03-08,0.0,0.0,0.0,0.0,14.53449360883298,28.036010142794936,6.741804929903317,24.753582496381636,16.338693652411052,9.595415169676075
2024-03-11,0.0,0.0,0.0,0.0,14.594217023510577,27.95886736412153,6.898694544228292,24.685471516032923,16.29373674799345,9.569012804113228
2024-03-12,0.0,0.0,0.0,0.0,14.593385484454501,27.95727434339699,6.898301475251708,24.68406500455991,16.29280837489515,9.574165317441745
2024-03-13,0.0,0.0,0.0,0.0,14.587960924325266,27.946882243778514,6.937854833811112,24.67488960142992,16.282405464945615,9.570006931709568
2024-03-14,0.0,0.0,0.0,0.0,14.629451960352998,27.91165695982989,7.000215516760676,24.64378845801687,16.26188251892014,9.553004586119425
2024-03-15,0.0,0.0,0.0,0.0,14.633394959160192,27.919179841096913,6.999856208566846,24.65043056797137,16.266265498101358,9.53087292510332
2024-03-21,0.0,0.0,0.0,0.0,14.632934833115321,27.918301962666643,6.999636108162195,24.649655470657773,16.268898384877538,9.530573240520527
2024-03-22,0.0,0.0,0.0,0.0,14.58393199709561,27.91048709820933,7.070575480178295,24.64275556260892,16.264344410358685,9.527905451549163
2024-03-25,0.0,0.0,0.0,0.0,14.561481104158666,27.867520951782932,7.285373777786819,24.604819849049804,16.230339112216264,9.450465205005516
2024-03-26,0.0,0.0,0.0,0.0,14.532311370030119,27.811696398554414,7.471100832430806,24.555531177921935,16.197826301648917,9.431533919413807
2024-03-28,0.0,0.0,22.383357347077514,0.0,11.279492185286301,21.58650500938169,5.798817635347336,19.05917888589464,12.57220895809193,7.320439978920589
2024-04-02,0.0,0.0,22.37302251759044,0.0,11.320456161603813,21.576538102048058,5.7961402089649265,19.050378893967814,12.566404125785361,7.317059990039591
2024-04-03,5.5403202360789034,0.0,21.11284072382496,0.0,10.717874259006056,20.357833815705746,5.685776165012719,17.977348165659322,11.858589449428452,6.749417185283849
2024-04-05,5.539775781192189,0.0,21.010856704841345,0.0,10.716820998767142,20.355833223387684,5.796045688720682,17.975581506938905,11.85742408953946,6.747662006612594
2024-04-09,5.5367529793727766,0.0,21.05395746117106,0.0,10.710973320577102,20.34472597787204,5.792883052154642,17.965773055725293,11.850954036503545,6.743980116623541
2024-04-10,5.5367529793727766,0.0,21.111796804406843,0.0,10.700060236947708,20.134103463824747,5.956579306595543,17.965773055725293,11.850954036503545,6.743980116623541
