date,BANK OF CHINA (HONG KONG) LTD,SOUTH CHINA SECURITIES LTD,HANG SENG SECURITIES LTD,GET NICE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,NANYANG COMMERCIAL BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK LTD,FUTU SECURITIES INTERNATIONAL,HANTEC SECURITIES CO LTD,TOTAL_CCASS_PCT
2024-03-06,4.3549999999999995,2.3783333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7333333333333325
2024-03-08,4.3549999999999995,2.3791666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.734166666666666
2024-03-14,4.3549999999999995,2.39,0.0,0.0,0.0,0.0,0.8416666666666666,0.0,0.0,0.0,7.586666666666667
2024-03-15,4.3549999999999995,2.3916666666666666,0.0,0.0,0.0,0.0,0.8508333333333333,0.0,0.0,0.6033333333333333,8.200833333333334
2024-03-19,4.3549999999999995,2.3916666666666666,0.0,0.0,0.0,0.0,0.8683333333333333,0.0,0.575,0.6033333333333333,8.793333333333333
2024-03-20,4.3549999999999995,2.3916666666666666,0.0,0.0,0.0,0.0,0.885,0.0,0.575,0.6033333333333333,8.81
2024-03-25,4.3549999999999995,2.3924999999999996,0.0,0.0,0.0,0.0,0.8866666666666667,0.0,0.575,0.6033333333333333,8.8125
2024-03-27,4.3549999999999995,2.3933333333333335,0.0,0.0,0.0,0.0,0.8866666666666667,0.0,0.575,0.6033333333333333,8.813333333333333
2024-03-28,4.3549999999999995,2.3941666666666666,0.0,0.0,0.0,0.0,0.8866666666666667,0.0,0.575,0.6033333333333333,8.814166666666665
2024-04-02,4.3549999999999995,2.3941666666666666,1.3575,0.0,1.0758333333333334,0.0,0.8866666666666667,0.2833333333333333,0.5325,0.6033333333333333,11.488333333333333
2024-04-10,4.3549999999999995,2.3941666666666666,1.3575,0.0,1.0733333333333333,0.0,0.8866666666666667,0.30083333333333334,0.5325,0.6033333333333333,11.503333333333334
2024-04-17,4.3549999999999995,2.3941666666666666,1.3575,0.0,1.0733333333333333,0.0,0.8866666666666667,0.30083333333333334,0.5291666666666667,0.6033333333333333,11.5
2024-04-18,4.3549999999999995,2.3941666666666666,1.3575,0.0,1.0733333333333333,0.0,0.9141666666666666,0.30416666666666664,0.5341666666666667,0.6033333333333333,11.535833333333333
