date,CHINA GALAXY INTERNATIONAL SECURITIES,CHINA SECURITIES (INTERNATIONAL),BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,FOSUN INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD
2024-03-01,0.0,0.0,55.15150500896516,44.84849499103484,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,55.228382751317895,44.77161724868211,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,48.50621292848903,39.29903966537891,0.0,0.0,12.19474740613206,0.0
2024-03-12,0.0,0.0,48.489366330930935,39.32012159671119,0.0,0.0,12.190512072357878,0.0
2024-03-15,0.0,34.21058874268556,31.706419053663215,26.109774681732695,0.0,0.0,7.973217521918527,0.0
2024-03-19,0.0,34.22358265072621,31.80961892110168,25.990552508933472,0.0,0.0,7.976245919238642,0.0
2024-03-20,0.0,34.24179071362267,31.849344075204,26.004380331100023,0.0,0.0,7.904484880073308,0.0
2024-03-21,0.0,34.24699657644241,31.85418620853578,25.99313059686505,0.0,0.0,7.905686618156765,0.0
2024-03-25,0.0,34.169835779426535,31.810659939739566,26.12462016877501,0.0,0.0,7.894884112058892,0.0
2024-03-26,48.56991286124843,17.572242366363227,16.35900827570341,13.438798925331477,0.0,0.0,4.060037571353452,0.0
2024-03-27,48.54717016876366,17.52499368208633,16.351348227071387,13.518351449173217,0.0,0.0,4.058136472905413,0.0
2024-04-03,45.145515671891964,16.29703387806311,15.20562465485954,12.571133293356596,0.0,6.996019906942412,3.7846725948863775,0.0
2024-04-05,45.14949632765543,16.2958512421742,15.20452121986857,12.570221036960232,0.0,6.995512222888775,3.7843979504527967,0.0
2024-04-08,43.23862411788178,15.606158293059236,14.561016874856328,12.006935448901459,0.0,6.6959647847154375,3.624230031374261,4.267070449211498
2024-04-11,43.22519568917546,15.60507379877154,14.560005008942417,12.023473927761536,0.0,6.695499472533973,3.623978178439508,4.266773924375567
2024-04-12,43.16819910969424,15.584497007506611,14.54427623147214,12.20887924301057,0.0,6.67279085209301,3.6365495647391963,4.184807991484228
