date,KARL-THOMSON SECURITIES CO LTD,PHILLIP SECURITIES (HONG KONG) LTD,SOUTH CHINA SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,LUK FOOK SECURITIES (HK) LTD,THE BANK OF EAST ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18174738433530463,0.3195012405020492,0.0,0.5012486248373539
2024-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18174738433530463,0.3195012405020492,0.5787486540286237,1.0799972788659775
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1792090130457054,0.3195012405020492,0.5787486540286237,1.0774589075763783
2024-05-13,0.0,0.0,0.0,0.0,0.0,1.2492594301762594,0.0,0.17667064175610617,0.3195012405020492,0.5787486540286237,2.3241799664630385
2024-05-21,0.0,0.0,0.0,0.0,0.0,1.2492594301762594,0.0,0.17413227046650695,0.3195012405020492,0.5807793510603031,2.3236722922051185
2024-05-23,13.371124605092888,0.0,0.0,0.0,0.0,1.2492594301762594,0.0,0.17159389917690773,0.3195012405020492,0.5807793510603031,15.692258526008407
2024-05-24,13.513273397310444,0.0,0.0,0.0,0.0,1.2492594301762594,0.0,0.15636367143931237,0.3195012405020492,0.5807793510603031,15.819177090488367
2024-05-28,13.513273397310444,0.0,0.0,0.0,0.0,1.2492594301762594,0.0,0.15636367143931237,0.3195012405020492,0.5787486540286237,15.817146393456689
2024-05-29,13.513273397310444,0.0,0.0,0.0,0.0,1.2492594301762594,0.0,0.15636367143931237,0.3195012405020492,0.5774794683838241,15.815877207811887
2024-05-31,13.6528838182384,0.0,0.0,0.0,0.0,1.2492594301762594,0.0,0.15636367143931237,0.3195012405020492,0.5774794683838241,15.955487628739846
2024-06-21,13.6528838182384,0.0,0.0,0.0,0.0,1.2492594301762594,0.0,0.15534832292347267,0.3195012405020492,0.5774794683838241,15.954472280224005
2024-06-24,13.6528838182384,0.0,0.0,0.0,0.0,1.2492594301762594,0.0,0.15534832292347267,0.3195012405020492,0.5736719114494252,15.950664723289606
2024-06-25,13.660498932107199,0.0,0.0,0.0,0.0,1.2492594301762594,0.0,0.15534832292347267,0.3195012405020492,0.5736719114494252,15.958279837158404
2024-07-08,13.660498932107199,0.0,0.0,0.0,0.0,1.2492594301762594,0.0,0.15534832292347267,0.3195012405020492,0.5762102827390245,15.960818208448005
2024-07-24,13.660498932107199,0.0,0.0,1.119421738713259,0.0,1.2492594301762594,0.0,0.15534832292347267,0.3195012405020492,0.5762102827390245,17.080239947161264
2024-08-05,10.787062632280874,0.0,0.0,1.119421738713259,0.0,1.2492594301762594,0.0,0.15534832292347267,0.3195012405020492,0.5762102827390245,14.20680364733494
2024-09-05,10.787062632280874,0.0,6.114301843822138,1.119421738713259,0.0,1.2492594301762594,0.0,0.15534832292347267,0.3195012405020492,0.6015939956350167,20.346489204053068
2024-09-10,10.787062632280874,0.0,6.1346088141389306,1.119421738713259,0.0,1.2492594301762594,0.0,0.12996461002748042,0.3195012405020492,0.6015939956350167,20.34141246147387
2024-09-11,10.787062632280874,0.0,6.1346088141389306,1.1206909243580585,1.3724973562863019,1.2492594301762594,0.0,0.12996461002748042,0.3195012405020492,0.6015939956350167,21.715179003404973
2024-09-12,10.787062632280874,0.0,6.1346088141389306,1.1206909243580585,1.3775740988655003,1.2492594301762594,0.0,0.12996461002748042,0.3195012405020492,0.6015939956350167,21.720255745984172
2024-09-16,10.787062632280874,0.0,6.1346088141389306,1.1206909243580585,1.3877275840238972,1.2492594301762594,0.0,0.12996461002748042,0.3195012405020492,0.6015939956350167,21.730409231142566
2024-09-17,10.787062632280874,0.0,6.139685556718129,1.1206909243580585,1.3877275840238972,1.2492594301762594,0.0,0.12996461002748042,0.3195012405020492,0.6015939956350167,21.735485973721765
2024-09-19,10.787062632280874,0.0,6.142223928007729,1.1206909243580585,1.3877275840238972,1.2492594301762594,0.0,0.12996461002748042,0.3195012405020492,0.6015939956350167,21.738024345011365
