date,CITIBANK N.A.,CMB WING LUNG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,EVERBRIGHT SECURITIES INVESTMENT,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-04,0.0,0.0,100.0,0.0,0.0
2024-03-14,0.0,0.0,100.0,0.0,0.0
2024-03-19,0.0,53.998352946878,46.001647053122,0.0,0.0
2024-05-03,55.355276388074245,24.13513251455589,20.50959109736986,0.0,0.0
2024-05-06,55.35069273453305,24.137610457673635,20.511696807793317,0.0,0.0
2024-07-10,55.37912148106214,24.098646669926044,20.52223184901181,0.0,0.0
2024-07-16,55.40757944525411,24.05964283712007,20.532777717625816,0.0,0.0
2024-07-29,55.49312909492977,24.09679107634375,20.410079828726474,0.0,0.0
2024-08-27,48.501250934900604,21.06070660964772,17.838503964716253,12.599538490735426,0.0
2024-10-03,48.409792442167465,21.020992572477866,18.002414854990395,12.566800130364275,0.0
2024-10-10,48.48816428387083,21.055023990900203,17.869666883167955,12.587144842061013,0.0
2024-10-22,48.53181394243041,21.07397798971084,17.795732118862457,12.598475948996294,0.0
2024-11-18,45.47836301175812,19.74807746223454,16.709830261435947,11.80582418128887,6.257905083282518
2025-01-13,45.45918890701856,19.739751487406295,16.744946178821323,11.800846734995776,6.255266691758046
2025-01-14,45.44003096343039,19.73143253023762,16.780032498284665,11.795873484010059,6.252630524037263
2025-01-20,45.397940274191384,19.713155482945574,16.85711840065595,11.784947073209025,6.246838768998069
2025-01-21,45.30256900266997,19.67174239916352,17.031783645118406,11.760189443669091,6.233715509379014
2025-02-11,45.218973138488124,19.63544255255385,17.184883124872062,11.738488616958186,6.222212567127778
2025-02-17,45.23414943139839,19.642032556857746,17.190650677778077,11.708866481458772,6.224300852507005
2025-04-15,45.20759760001379,19.6305029505082,17.2392586411843,11.70199353585399,6.2206472724397255
