date,UOB KAY HIAN (HONG KONG) LTD,CGS INTERNATIONAL SECURITIES HK LTD,SINOMAX SECURITIES LTD,UPBEST SECURITIES CO LTD,PHILLIP SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,USMART SECURITIES LTD
2024-03-06,0.0,63.780935808197995,0.0,0.0,29.645204949729308,6.573859242072699,0.0,0.0,0.0,0.0
2024-03-07,0.0,63.74704091985121,0.0,0.0,29.692255664524858,6.560703415623943,0.0,0.0,0.0,0.0
2024-03-20,0.0,63.807319542890205,0.0,0.0,29.634987222141856,6.557693234967934,0.0,0.0,0.0,0.0
2024-03-21,0.0,63.80424300867888,0.0,0.0,29.633558341369337,6.5621986499517835,0.0,0.0,0.0,0.0
2024-03-27,0.0,63.801166771129644,0.0,0.0,29.63212959838002,6.566703630490334,0.0,0.0,0.0,0.0
2024-04-02,0.0,32.43223371403363,0.0,49.051517082495955,15.062987108475076,3.4532620949953436,0.0,0.0,0.0,0.0
2024-04-03,0.0,32.42825985737741,0.0,49.045506898326266,15.061141470826083,3.465091773470238,0.0,0.0,0.0,0.0
2024-04-10,0.0,32.42031506480143,0.0,49.033490947399365,15.057451552049391,3.4887424357498102,0.0,0.0,0.0,0.0
2024-04-11,0.0,32.41555005756559,0.0,49.026284202532885,15.055238468510398,3.502927271391128,0.0,0.0,0.0,0.0
2024-04-12,0.0,32.413962033067975,0.0,49.02388242498469,15.054500918554808,3.5076546233925288,0.0,0.0,0.0,0.0
2024-04-15,0.0,32.41316807916524,0.0,49.022681624455004,15.05413217067555,3.5100181257042085,0.0,0.0,0.0,0.0
2024-04-16,0.0,32.48717256278693,0.0,49.13460830285027,15.08850317924042,3.2897159551223827,0.0,0.0,0.0,0.0
2024-04-19,0.0,32.48557751319504,0.0,49.13219590033141,15.087762366515282,3.2944642199582668,0.0,0.0,0.0,0.0
2024-04-22,0.0,32.482387883845945,0.0,49.12737180588625,15.086280959277351,3.2990500503203317,0.0,0.0,0.0,0.004909300670119542
2024-04-26,0.0,32.48159057437408,0.0,49.12616593028964,15.085910652920962,3.3014236622484048,0.0,0.0,0.0,0.004909180166912126
2024-04-29,0.0,32.36227778863059,0.0,48.8718499706974,15.007814026176987,3.0963078726313733,0.0,0.0,0.656866575503028,0.004883766360617308
2024-05-07,0.0,32.35200781154644,0.0,48.85634077871354,15.00305138532894,3.1270596850970342,0.0,0.0,0.6566581227877457,0.004882216526302942
2024-05-09,0.0,32.33937678436349,0.0,48.83726605012079,14.99719382152705,3.164881286449818,0.0,0.0,0.6564017471511188,0.0048803103877406604
2024-05-10,0.0,32.30469226081657,0.0,48.784887263863496,14.981109079829372,3.2687385740402197,0.0,0.0,0.65569774527727,0.004875076173065204
2024-05-14,0.0,32.26379725880663,0.0,48.72312973196679,14.962144265647442,3.3668476276261656,0.0,0.0,0.6792122112130876,0.0048689047398787644
2024-05-16,0.0,32.16669498313148,0.0,48.57649086187229,14.917113662289749,3.34457901507245,0.0,0.0,0.9902672265236281,0.004854251110409942
2024-05-17,0.0,32.16357238199248,0.0,48.571775269991505,14.915665574566194,3.3539618978279333,0.0,0.0,0.9901710957408081,0.004853779881082393
2024-05-23,0.0,32.162011308758224,0.0,48.56941781736113,14.914941636129782,3.3586526561021186,0.0,0.0,0.9901230373480233,0.0048535443007256054
2024-05-30,0.0,32.16045038705137,0.0,48.56706059355966,14.914217767963308,3.363342959062341,0.0,0.0,0.990074983620083,0.004853308743235701
2024-06-06,0.0,32.15732899813165,0.0,48.56234683231019,14.912770242399242,3.372722199306044,0.0,0.0,0.9899788901560187,0.004852837696843229
2024-06-13,0.0,32.1565487455719,0.0,48.56116853496385,14.912408404910952,3.3750667248993063,0.0,0.0,0.9899548697044693,0.004852719949531713
2024-06-17,0.0,32.15576853087468,0.0,48.55999029479558,14.912046584981194,3.3774111367220674,0.0,0.0,0.9899308504185369,0.004852602207934004
2024-06-21,0.0,32.14796846573681,0.0,48.548211036992114,14.90842935112189,3.400848999393572,0.0,0.0,0.9896907216494845,0.004851425106124924
2024-06-24,0.0,32.145629184049675,0.0,48.54467837392063,14.907344523139615,3.407878141069176,0.0,0.0,0.9896187057339672,0.004851072086931212
2024-06-26,0.0,32.144069852049476,0.0,48.54232355081252,14.906621392190154,3.412563667232597,0.0,0.0,0.9895707009459132,0.004850836769342712
2024-07-04,0.0,32.118362697816444,0.0,48.503501926665535,14.8946998521678,3.489809272229358,0.0,0.0,0.9887792937983182,0.004846957322540775
2024-07-05,0.0,32.11447126102549,0.0,48.49762527866628,14.892895221479113,3.501502374721334,0.0,0.0,0.9886594940389648,0.004846370068818455
2024-07-08,0.0,32.11447126102549,0.0,48.49762527866628,14.890472036444702,3.5039255597557433,0.0,0.0,0.9886594940389648,0.004846370068818455
2024-07-10,0.0,32.11058076708744,0.0,48.49175005451506,14.888668136554164,3.515615535580161,0.0,0.0,0.9885397233057931,0.004845782957381339
2024-07-12,0.0,32.107469050560844,0.0,48.48705090001696,14.887225331298302,3.524965477142234,0.0,0.0,0.9884439276110182,0.0048453133706422465
2024-07-18,0.0,32.11369308682062,0.0,48.496450119944754,14.950689379437351,3.445685623591558,0.0,0.0,0.9886355375705735,0.004846252635149871
2024-07-22,0.0,32.11135879046327,0.0,48.4929249854623,14.956871486722234,3.445435161853072,0.0,0.0,0.9885636751308393,0.004845900368288428
2024-08-06,0.0,32.11135879046327,0.0,48.4929249854623,14.976255088195387,3.426051560379918,0.0,0.0,0.9885636751308393,0.004845900368288428
2024-08-12,0.0,32.100469892941916,0.0,48.47648113161846,15.014774984256166,3.415201278883883,0.0,0.0,0.9882284551664002,0.004844257133168629
2024-08-14,0.0,32.0841503861331,0.0,48.45183625051444,15.053138693199699,3.418306824509163,0.0,0.0,0.9877260512746023,0.004841794368993149
2024-08-15,0.0,32.06241683803073,0.0,48.41901536228378,15.074392161606387,3.452280149993952,0.0,0.0,0.9870569735091327,0.00483851457602516
2024-08-16,0.0,32.0585389453314,0.0,48.413159167876145,15.084663763909049,3.4518626028059987,0.0,0.0,0.9869375907111757,0.004837929366231253
2024-08-21,0.0,32.054661990567176,0.0,48.40730438988995,15.094932881847868,3.451445156609022,0.0,0.0,0.9868182367880033,0.004837344297980409
2024-08-22,0.0,32.04691089348326,0.0,48.395599081126825,15.103373231773668,3.4627010035062264,0.0,0.0,0.9865796155241204,0.004836174585902551
2024-09-03,0.0,32.03993811043419,0.0,48.3850691422493,15.112174838023401,3.471617831931148,0.0,0.0,0.9863649550333623,0.004835122328594913
2024-09-04,0.0,32.0422620342835,0.0,48.38857861270279,15.113270955731245,3.464616426101883,0.0,0.0,0.9864364981504316,0.004835473030149175
2024-09-11,0.0,32.04846081300027,0.0,48.39793968998622,15.092012671390226,3.4701230865958936,0.0,0.0,0.9866273305443377,0.004836408483060479
2024-10-03,0.0,32.050010882445406,0.0,48.40028052525936,15.044376194046094,3.5138207056661264,0.0,0.0,0.9866750501801649,0.004836642402843946
2024-10-04,39.986656610779136,19.221732320009284,0.0,29.02767302894935,9.06915356500551,2.107385275860069,0.0,0.0,0.5844984626095029,0.0029007367871439348
2024-10-07,39.986656610779136,19.221732320009284,0.0,29.02767302894935,9.063352091431224,2.1131867494343566,0.0,0.0,0.5844984626095029,0.0029007367871439348
2024-10-09,39.988976560686936,19.22284752842887,0.0,29.029357159433744,9.050823857043397,2.12056161522395,0.0,0.0,0.5845323741007195,0.0029009050823857047
2024-10-16,39.99419743236382,19.225357220570103,0.0,29.03314716762167,9.052005512439255,2.107782693842025,0.0,0.0,0.5846086893450352,0.0029012838180895043
2024-10-24,40.02380814122293,19.23959119679461,0.0,29.05464258753847,9.022414493931826,2.028047151733349,0.0,0.0,0.6285929969223623,0.002903431856454329
2024-11-06,40.02206512114042,19.238753320655565,0.0,29.05337727002192,9.02202157155922,2.03231378924906,0.0,0.0,0.6285656219606022,0.002903305413212943
2024-11-07,40.024970238959376,19.240149821433754,0.0,29.055486193780666,9.022676461194507,2.0368165848842947,0.0,0.0,0.6169971835893266,0.0029035161580674195
