date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HAFOO SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,UOB KAY HIAN (HONG KONG) LTD,NANYANG COMMERCIAL BANK LTD,CHINA MERCHANTS BANK CO LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD
2024-03-01,46.23957165981821,19.61150541651102,15.486863404308304,18.66205951936247,0.0,0.0,0.0,0.0,0.0
2024-03-04,46.2240069729797,19.61150541651102,15.486863404308304,18.67762420620097,0.0,0.0,0.0,0.0,0.0
2024-03-05,46.21563560509356,19.61455836109468,15.489274261340638,18.680531772471124,0.0,0.0,0.0,0.0,0.0
2024-03-06,46.20844228614121,19.61150541651102,15.486863404308304,18.693188893039473,0.0,0.0,0.0,0.0,0.0
2024-03-07,46.150987799591256,19.817922833962964,15.436303957391464,18.594785409054314,0.0,0.0,0.0,0.0,0.0
2024-03-08,46.13550504737722,19.817922833962964,15.436303957391464,18.610268161268348,0.0,0.0,0.0,0.0,0.0
2024-03-11,46.2653737724217,19.827132191207905,15.474457077356796,18.4330369590136,0.0,0.0,0.0,0.0,0.0
2024-03-12,46.31901840490797,19.830203879283633,15.476854433909647,18.37392328189874,0.0,0.0,0.0,0.0,0.0
2024-03-14,46.38593444757977,19.845576607026576,15.488852367515271,18.27963657787838,0.0,0.0,0.0,0.0,0.0
2024-03-15,43.2021725313457,18.460738429537184,14.430577223088923,17.045126249494423,0.0,0.0,0.0,6.861385566533773,0.0
2024-03-18,43.19593286923366,18.458072156908056,14.42849302406193,17.057107368785925,0.0,0.0,0.0,6.860394581010428,0.0
2024-03-19,43.27718932685073,18.492793887827748,14.52798518261272,16.82873184001852,0.0,0.0,0.0,6.873299762690283,0.0
2024-03-20,43.5112514118567,18.506183208317644,14.538503866315272,16.565785281936922,0.0,0.0,0.0,6.8782762315734605,0.0
2024-03-21,43.64973649157352,18.503503793363063,14.53639891121793,16.4330804424625,0.0,0.0,0.0,6.877280361382986,0.0
2024-03-25,43.69682236499392,18.492793887827748,14.52798518261272,16.409098801875324,0.0,0.0,0.0,6.873299762690283,0.0
2024-03-26,43.709471977767485,18.498147290412227,14.546665122742011,16.37042612320519,0.0,0.0,0.0,6.87528948587309,0.0
2024-03-27,43.86056342106025,18.50082515417354,14.548770954573092,16.213555690668517,0.0,0.0,0.0,6.876284779524595,0.0
2024-04-02,43.868689207966646,18.498147290412227,14.546665122742011,16.21120889300602,0.0,0.0,0.0,6.87528948587309,0.0
2024-04-05,43.88316350162112,18.483672996757758,14.546665122742011,16.21120889300602,0.0,0.0,0.0,6.87528948587309,0.0
2024-04-08,43.868689207966646,18.483672996757758,14.546665122742011,16.225683186660493,0.0,0.0,0.0,6.87528948587309,0.0
2024-04-09,44.33007625619763,18.513149120009277,14.569862854823276,15.700658180869262,0.0,0.0,0.0,6.886253588100553,0.0
2024-04-10,44.61377688757293,18.53464541786409,14.58678045806845,15.37054776626317,0.0,0.0,0.0,6.894249470231356,0.0
2024-04-11,44.75891898168307,18.53464541786409,14.58678045806845,15.22540567215304,0.0,0.0,0.0,6.894249470231356,0.0
2024-04-12,44.91057949134827,18.522819649285797,14.588897921263499,15.082452676808733,0.0,0.0,0.0,6.895250261293693,0.0
2024-04-15,45.09985796689759,18.49328966056987,14.580132757471231,14.942462100350735,0.0,0.0,0.0,6.884257514710572,0.0
2024-04-16,45.215803356619034,18.49328966056987,14.580132757471231,14.826516710629292,0.0,0.0,0.0,6.884257514710572,0.0
2024-04-17,42.45318963640322,17.33616372741128,13.689309819290225,13.920640104506859,0.0,0.0,0.0,6.46364032222948,6.1370563901589374
2024-04-18,42.49231689738638,17.324376512823303,13.680002175745873,13.91117517473959,0.0,0.0,0.0,6.459245560118577,6.132883679186271
2024-04-19,42.47871848568087,17.324376512823303,13.693600587451385,13.91117517473959,0.0,0.0,0.0,6.459245560118577,6.132883679186271
2024-04-22,42.47089544119247,17.326732673267326,13.695462952888695,13.913067130888912,0.0,0.0,0.0,6.460124034381461,6.133717767381134
2024-04-24,42.634098574692636,17.326732673267326,13.695462952888695,13.74986399738875,0.0,0.0,0.0,6.460124034381461,6.133717767381134
2024-04-25,42.64769883581765,17.326732673267326,13.695462952888695,13.736263736263737,0.0,0.0,0.0,6.460124034381461,6.133717767381134
2024-04-26,42.78755884513865,17.33380500149664,13.701053089879997,13.57860077825247,0.0,0.0,0.0,6.462760891452829,6.136221393779422
2024-04-29,42.781738042117865,17.33144691734233,13.712793165369755,13.576753550633944,0.0,0.0,0.0,6.461881699951026,6.135386624585079
2024-04-30,42.476180045997154,17.440587011280254,13.826525024641331,13.66224947979411,0.0,0.0,0.0,6.502573650202606,6.091884788084547
2024-05-07,42.484053765501386,17.438199786471024,13.824632483780011,13.660379424566782,0.0,0.0,0.0,6.501683593856936,6.0910509458238655
2024-05-13,42.47411951580216,17.445363422249,13.830311661280605,13.652297748808676,0.0,0.0,0.0,6.504354494166622,6.09355315769294
2024-05-14,38.06523350630096,15.74005436125525,12.490733876945887,12.317766246602421,0.0,6.078576723498888,3.9411910056832222,5.868544600938967,5.497899678774401
2024-05-16,38.135175135668476,15.71287617168229,12.493833251110015,12.296497286630489,0.0,6.068080907745436,3.946719289590528,5.85841144548594,5.4884065120868275
2024-05-17,38.353808353808354,15.65110565110565,12.444717444717444,12.272727272727273,0.0,6.044226044226044,3.9312039312039313,5.835380835380835,5.466830466830467
2024-05-20,38.399214338325564,15.63957770684999,12.435551190768475,12.26368769948441,0.0,6.0397741222685974,3.9283083722072183,5.8310827399950895,5.462803830100663
2024-05-22,38.466257668711656,15.595092024539877,12.429447852760736,12.257668711656441,0.0,6.03680981595092,3.92638036809816,5.828220858895705,5.460122699386503
