date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,MERRILL LYNCH FAR EAST LTD,CMB INTERNATIONAL SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIC SECURITIES BROKERAGE (HK) LTD,CITIBANK N.A.,TOTAL_CCASS_PCT
2024-06-13,0.08374494573458285,0.0,0.0,0.23262484926273014,0.23470893308577798,0.013737341256146084,0.13622863412344866,0.0,1.0446837079193143,0.05151502971054782,1.7972434410925477
2024-06-14,0.08374494573458285,0.0,0.0,0.23262484926273014,0.23470893308577798,0.013737341256146084,0.13622863412344866,0.0,1.0446837079193143,0.06408827806170192,1.809816689443702
2024-06-17,2.904295470853684,0.0,0.0,0.2622951581125431,0.29640955556530585,0.007338323320590856,0.11711964019663007,0.08805987984709028,1.0320911451011805,0.07005994140035922,4.7776691143973835
2024-06-18,2.908991997778862,0.0,0.0,0.2756435095261113,0.3025443938613198,0.007338323320590856,0.11462461026762918,0.08805987984709028,1.0288622828401204,0.06818133063028796,4.794246328072012
2024-06-19,2.902681039723154,0.0,0.0,0.23132003666974252,0.29825881304209473,0.007338323320590856,0.11441913721465263,0.08805987984709028,1.0288622828401204,0.061667834850931524,4.7326073475083765
2024-06-20,2.908404931913215,0.0,0.0,0.23090909056378944,0.3001961303987308,0.006633844281814134,0.11471267014747627,0.08805987984709028,1.0177080313928224,0.06163848155764915,4.728263060102587
2024-06-21,2.9069372672490967,0.0,0.0,0.23155486301600142,0.2999025974659071,0.009715940076462294,0.11201216716549883,0.08805987984709028,1.0120428457893262,0.06122753545169607,4.721453096061079
2024-06-24,0.15020080172585365,0.0,0.0,0.24837430006679567,0.30051901662483677,0.006252251469143409,0.11277535279084028,0.08805987984709028,0.9854194087822226,0.06134494862482553,1.9529459599316081
2024-06-25,0.15005403525944183,0.0,0.0,0.25654038625794917,0.3016637950628489,0.006252251469143409,0.1111609216603103,0.08805987984709028,0.9850378159695519,0.06134494862482553,1.9601140341511614
2024-06-26,0.14515203528128715,0.0,0.0,0.25378117668940703,0.3016637950628489,0.0044617005789192405,0.10951713723649793,0.08805987984709028,0.9850378159695519,0.06134494862482553,1.9490184892904279
