date,BANK OF CHINA (HONG KONG) LTD,CHIEF SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,KGI ASIA LTD,MIGHTY DIVINE SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,SOOCHOW SECURITIES INTERNATIONAL,SUNHIGH FINANCIAL HOLDINGS LTD,YUET SHEUNG INTERNATIONAL SECURITIES LTD
2024-03-11,0.0,0.0,0.0,0.0,0.8500000000000001,0.0,0.0,0.0,12.8025
2024-03-12,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,12.3525
2024-03-28,0.0,0.0,0.0,0.0,1.7500000000000002,0.0,0.0,0.0,11.9025
2024-04-02,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,11.4225
2024-04-15,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,11.1525
2024-04-16,0.39249999999999996,0.0,0.0,0.0,2.75,0.0,0.0,0.0,10.8525
2024-06-13,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-20,0.0,0.0,0.0,0.0,3.2375000000000003,0.0,0.0,0.0,10.3075
2024-07-08,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-15,0.2425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-18,0.0,0.0,0.0,0.0,3.8375,0.0,0.0,0.0,9.7075
2024-07-19,0.2415,0.0,0.0,0.0,4.3374999999999995,0.0,0.0,0.0,9.2075
2024-07-24,0.0,0.0,0.0,0.0,4.3795,0.0,0.0,0.0,0.0
2024-07-29,0.0,0.0,0.0,0.0,4.8950000000000005,0.0,0.0,6.5135,0.0
2024-07-30,0.0,0.0,0.0,0.0,5.1450000000000005,0.0,0.0,6.2635,0.0
2024-08-01,0.0,0.0,0.0,0.0,5.539000000000001,0.0,0.0,5.7635,0.0
2024-08-02,0.0,0.0,0.0,0.0,5.738,0.0,0.0,5.5634999999999994,0.0
2024-08-06,0.3915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,0.0,0.0,0.0,0.0,5.8945,0.0,0.0,5.407,0.0
2024-08-15,0.0,0.0,0.0,0.0,6.1945,0.0,0.0,5.106999999999999,0.0
2024-08-16,0.0,0.0,0.0,0.0,6.7945,0.0,0.0,4.507,0.0
2024-09-10,0.0,0.0,0.0,0.0,7.2095,0.0,0.0,0.0,8.7925
2024-09-11,0.0,0.0,0.0,0.0,7.509499999999999,0.0,0.0,0.0,8.5425
2024-09-12,0.0,0.0,0.0,0.0,7.7595,0.0,0.0,0.0,8.2925
2024-10-03,0.0,0.0,0.0,0.0,8.1095,0.0,0.0,0.0,7.9425
2024-10-04,0.0,0.0,0.0,0.0,8.4595,0.0,0.0,0.0,7.5925
2024-10-07,0.0,0.0,0.0,0.0,8.759500000000001,0.0,0.0,0.0,7.2925
2024-11-20,0.0,0.0,0.0,0.0,9.0595,4.2965,0.0,4.3625,0.0
2024-11-21,0.0,0.0,0.0,7.4085,0.0,4.4965,0.0,0.0,0.0
2024-11-28,0.0,0.0,0.0,7.2085,9.464500000000001,4.7165,0.0,3.9575,0.0
2024-11-29,0.0,0.0,0.0,7.108499999999999,9.7645,4.8265,0.0,3.6575,0.0
2024-12-02,0.3815,0.0,0.0,0.0,10.3575,0.0,0.0,3.0575,0.0
2024-12-03,0.0,0.0,0.0,0.0,10.7595,0.0,0.0,2.6575,0.0
2024-12-04,0.0,0.0,0.0,0.0,10.7615,0.0,0.0,0.0,0.0
2024-12-05,0.391,0.0,0.0,0.0,10.7645,0.0,0.0,0.0,0.0
2025-01-23,0.3745,0.0,0.0,7.12,10.971,5.0275,0.0,0.0,6.891500000000001
2025-01-24,0.3725,0.0,0.0,7.109999999999999,11.2735,5.2325,0.0,0.0,6.3955
2025-01-27,0.0,0.0,0.0,7.122000000000001,11.706,0.0,3.373,0.0,5.7855
2025-02-03,0.0,0.0,0.0,7.108499999999999,11.906,0.0,3.386,0.0,5.585500000000001
2025-02-06,0.0,0.0,0.9365,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-10,0.0,0.0,0.935,0.0,12.106,0.0,0.0,0.0,5.3855
2025-02-11,0.372,0.0,0.9249999999999999,7.112499999999999,12.3,0.0,0.0,0.0,5.1855
2025-02-12,0.3715,0.0,0.918,7.109500000000001,12.49,5.0225,0.0,0.0,5.203
2025-02-13,0.3695,0.0,0.8999999999999999,7.1135,12.859000000000002,0.0,3.076,2.8495,4.946
2025-02-20,0.3665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-25,0.0,0.0,0.0,7.1155,0.0,0.0,0.0,0.0,0.0
2025-04-01,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
