date,DEUTSCHE BANK AG,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BRADBURY SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CHIYU BANKING CORPORATION LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,21.6642752893546,11.327729268546841,4.525098362990728,4.451106456472103,0.0,1.7240114218839697,0.0,0.0,0.0,43.69222079924825
2024-03-04,0.0,21.6642752893546,11.314102425762995,4.538108606553586,4.432546819920348,0.0,1.7490453502561045,0.0,0.0,0.0,43.69807849184764
2024-03-05,0.0,21.6642752893546,11.239493920023381,4.542424801100506,4.426380827710463,0.0,1.7741409385503382,0.0,0.0,0.64804578125896,44.29476155799825
2024-03-06,0.0,21.59059168244647,11.245721572155366,4.553215287467806,4.422372932774037,0.0,1.8033677416251952,1.8255653135807828,0.0,0.64804578125896,46.088880311308614
2024-03-07,0.0,21.586028848211154,11.25682035813316,4.556421603416946,4.416576900096744,0.0,1.8041076606903814,1.8255653135807828,0.0,0.64804578125896,46.09356646538812
2024-03-08,0.0,21.579862856001267,11.253614042184019,4.550872210428049,4.415652001265261,0.0,1.807313976639522,1.8255653135807828,0.0,0.6497722590777278,46.08265265917663
2024-03-11,0.0,21.5781363781825,11.25355238226192,4.550008971518666,4.4081911506913,0.0,1.8125550700179245,1.8255653135807828,0.0,0.6497722590777278,46.07778152533082
2024-03-12,0.0,21.5781363781825,11.251085985377966,4.562957555159425,4.4081911506913,0.0,1.7994215066108685,1.8255653135807828,0.0,0.651005457519705,46.076363347122545
2024-03-13,0.0,21.575300021765955,11.251085985377966,4.559874559054482,4.4081911506913,0.0,1.8013946241180319,1.8255653135807828,0.0,0.651005457519705,46.07241711210822
2024-03-14,0.0,21.564139575866058,11.2384457013477,4.556359943494847,4.405971393495742,0.0,1.737761584512014,1.8255653135807828,0.0,0.6550133524561306,45.98325686475327
2024-03-15,0.0,21.556740385214198,11.2384457013477,4.556421603416946,4.405971393495742,0.0,1.7383781837330026,1.8255653135807828,0.0,0.6568014901969973,45.97832407098537
2024-03-18,0.0,21.54644317822369,11.2384457013477,4.555620024429661,4.393639409075971,0.0,1.740351301240166,1.8255653135807828,0.0,0.6568014901969973,45.95686641809497
2024-03-19,0.0,21.54644317822369,11.2384457013477,4.5558666641180565,4.393639409075971,0.0,1.7414611798379454,1.8255653135807828,0.0,0.6568014901969973,45.95822293638114
2024-03-20,0.0,21.528253501204528,11.237150842983624,4.550132291362862,4.389446534373249,0.0,1.7700713836918138,1.8255653135807828,0.0,0.6568014901969973,45.957421357393855
