date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,ABN AMRO CLEARING HONG KONG LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CHONG HING SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD
2024-03-01,60.832846566669474,39.16715343333052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,49.83311924820463,32.05858038228942,0.0,0.0,0.0,0.0,14.421032521277185,0.0,3.6872678482287577,0.0
2024-03-05,40.92325663205939,29.101195469483354,0.0,9.001350014582563,5.727790155417047,0.0,12.075715071755228,0.0,3.1706926567024167,0.0
2024-03-06,40.91916110925614,29.114326237294662,0.0,9.00541151910576,5.6965338001858985,0.0,12.103724292276178,0.0,3.160843041881368,0.0
2024-03-07,40.93763260294503,29.127468859938187,0.0,8.953049905353472,5.699105296895173,0.0,12.109188086274298,0.0,3.173555248593844,0.0
2024-03-08,40.866286189398146,29.157083188357337,0.0,8.950855772605335,5.704899661546943,0.0,12.121499676910632,0.0,3.1993755111816036,0.0
2024-03-11,38.435748710901976,28.36225297840186,0.0,8.457179487999511,5.383456690890445,4.935723659172824,11.427852619078331,0.0,2.9977858535550532,0.0
2024-03-12,38.41683574201219,28.395550570160133,0.0,8.467108308189935,5.389776927272164,4.941518252132697,11.441269041654971,0.0,2.94794115857791,0.0
2024-03-14,38.26436398942793,28.480661928715207,0.0,8.492487181875177,5.405931966613821,4.967034519819431,11.464857695531489,0.0,2.9246627180169544,0.0
2024-03-15,38.29397221933725,28.486760839251684,0.0,8.494305781445794,5.4070896045757895,4.946683955077257,11.467312804951824,0.0,2.903874795360396,0.0
2024-03-18,38.01863035133615,29.351750373560193,0.0,8.114326250483227,5.368211471389559,4.911116237192032,11.352970002859502,0.0,2.882995313179331,0.0
2024-03-19,38.05144809707296,29.397159662166832,0.0,8.068134062243438,5.372845320570905,4.915355520997541,11.330852012689135,0.0,2.8642053242591947,0.0
2024-03-20,38.05342569595961,29.43160413785513,0.0,8.024328628212617,5.379140651213325,4.92111481358526,11.333476540378173,0.0,2.8569095327958927,0.0
