date,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA INTERNATIONAL CAPITAL CORPORATION,MORGAN STANLEY HONG KONG SECURITIES LTD,MERRILL LYNCH FAR EAST LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,35.249571920612965,24.213357860483864,9.242474071994392,7.632677004806363,7.360846862738449,9.736435931657233,0.0,4.758975590845974,0.9989615539761832,0.8066992028845754
2024-03-04,35.21881356132356,24.221320389722898,9.220704323855223,7.689145820848554,7.339792229141951,9.732031522008793,0.0,4.76685013789425,1.0043640955135709,0.8069779196912054
2024-03-05,35.247008107460275,24.20992000261581,9.21889920558744,7.727003534524283,7.3268727542581775,9.732670213710975,0.0,4.761925651951957,0.9686497687191363,0.8070507611719475
2024-03-06,35.25841551142859,24.217445339897886,9.194680417595414,7.742022456889579,7.322659163713127,9.726973376492518,0.0,4.761103698705728,0.9684392532737611,0.808260782003401
2024-03-07,35.247776850974994,24.21817461514257,9.164422508619806,7.768345419421144,7.364263691137688,9.739205279526109,0.0,4.752072306280301,0.9368712789822405,0.8088680499151444
2024-03-08,35.24798209511968,24.22392782257805,9.151334298481494,7.783617906213112,7.3545015819149,9.735844369438391,0.0,4.761433262065304,0.932298461654945,0.8090602025341194
2024-03-11,35.227724262576906,24.221619315814923,9.169032302300401,7.816471158947389,7.334734149119643,9.736317405113825,0.0,4.755272936979991,0.929621822039859,0.8092066471070651
2024-03-12,35.21887558857454,24.233389840266682,9.21024014681085,7.857128452536792,7.2014505075822175,9.742774607171038,0.0,4.75812914407186,0.9601137723455918,0.817897940640429
2024-03-13,35.2187221420851,24.241662465678495,9.23987742307317,7.882998169518913,7.132874897307678,9.741815007834923,0.0,4.76496586086874,0.9587307459986932,0.818353287634288
2024-03-14,35.351930525806985,24.221726941666528,9.225532669854429,7.8570398048759955,7.01442354056758,9.75976615414371,0.0,4.757060641635618,0.9913249125806047,0.8211948088685502
2024-03-15,35.356298930553905,24.226247123120643,9.246333458124386,7.896769050882818,6.917090878578177,9.764331877897979,0.0,4.75765020907216,1.0029545549287535,0.8323239168411749
2024-03-18,35.3047817464288,24.366567448481486,9.261723479093437,7.804007692265857,6.881938361369758,9.754777892264302,0.0,4.780465357535617,1.0153237577634862,0.8304142647972508
2024-03-19,35.276333288468095,24.35588217470973,9.25122115670291,7.832801056941475,6.874845226244873,9.75485118016188,0.0,4.77916882577256,1.0362023703489214,0.8386947206495533
2024-03-20,35.24828592488792,24.345887689080847,9.263572057604327,7.875747116441496,6.87468214670188,9.760535025370489,0.0,4.7676626868020175,1.0248551702581497,0.8387721828528729
2024-03-21,35.160073300634465,24.336370574304272,9.307689636376534,7.966223748151973,6.871871609698463,9.761943497841683,0.0,4.760704801895846,0.9926290421317754,0.8424937889649882
2024-03-22,34.843435285466576,24.418151559324826,9.360743333388024,8.031354690880764,6.945483151532502,9.797154594040215,0.0,4.77701650322105,0.9816010842493965,0.8450597978966465
