date,KINGSTON SECURITIES LTD,JOY RICH SECURITIES INVESTMENT LTD,GET NICE SECURITIES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),EVERBRIGHT SECURITIES INVESTMENT,EMPEROR SECURITIES LTD,MINERVA HOLDING FINANCIAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,74.7298558001609,0.0,0.0,3.030586975436718,22.239557224402375
2024-03-05,0.0,0.0,0.0,0.0,0.0,74.68781340086716,0.0,0.0,3.0356290182010226,22.27655758093182
2024-03-06,0.0,0.0,0.0,0.0,0.0,74.7074384734659,0.0,0.0,3.0232885954720192,22.26927293106209
2024-03-08,0.0,89.6267148341432,0.0,0.0,0.0,7.7499550311005905,0.0,0.0,0.313173779277167,2.3101563554790436
2024-03-11,0.0,69.20511691971912,22.78025735876483,0.0,0.0,5.984114725641657,0.0,0.0,0.24146581695266042,1.7890451789217283
2024-03-12,0.0,69.21021534239613,22.774568489147697,0.0,0.0,5.984555582439202,0.0,0.0,0.24148360602450464,1.7891769799924642
2024-03-13,0.0,69.21032335724531,22.7744885927922,0.0,0.0,5.984534587785427,0.0,0.0,0.24148275886641063,1.789170703310642
2024-03-14,0.0,69.20935217309179,22.774169012975875,0.0,0.0,5.984450610643347,0.0,0.0,0.24288260626525127,1.7891455970237367
2024-03-15,0.0,66.38020018726483,21.843091835999743,0.0,0.0,5.739788099482735,0.0,4.087630689772827,0.2332892947286684,1.7159998927511897
2024-03-18,0.0,66.38064977209179,21.84301834148264,0.0,0.0,5.739768787063145,0.0,4.087616936296629,0.2332885097901537,1.7156576532756465
2024-03-19,0.0,66.38438508716403,21.840372868208984,0.0,0.0,5.739073626500364,0.0,4.087121872785312,0.2332602555210755,1.7157862898202325
2024-03-20,0.0,66.38630752971699,21.839123839676176,0.0,0.0,5.7387454147635655,0.0,4.086888134475669,0.2335833213401185,1.7153517600274928
