date,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CENTRAL CHINA INTERNATIONAL SECURITIES,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,BOCI SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD
2024-03-01,69.55580083431346,0.0,10.474676535994783,8.965255002959193,0.0,0.0,6.822064951157808,4.1822026755747626,0.0,0.0
2024-03-04,68.57144295769437,0.0,9.864457141353192,8.717428824143152,0.0,2.4065997435699233,6.741924505928447,3.6307782134300868,0.06736861388082119,0.0
2024-03-05,61.89948457999378,0.0,8.721620729695506,8.27598317492841,0.0,2.04419917950645,6.291783220070137,2.8622244843823768,0.06078103248834366,9.843923598935003
2024-03-06,62.088758986336046,0.0,8.152633278395463,8.20745473334523,0.0,2.1335850332473743,6.5451369910179205,2.9174051778505077,0.07569644980884868,9.879329349998615
2024-03-07,61.901896704521974,0.0,7.778768332312902,8.1325047504851,0.0,2.0098561771727845,6.6732819326406565,3.5937023916338435,0.07238684568930237,9.83760286554344
2024-03-08,62.046088966058264,0.0,7.558562197649535,8.118059847739843,0.0,2.013129460095151,6.712260294995032,3.617992156490968,0.0725615484602893,9.86134552851091
2024-03-11,62.10061378086823,0.0,7.151923606160464,8.126288063076998,0.0,2.0245992892591227,6.722421035571011,3.922637073946559,0.07269018004891432,9.8788269710687
2024-03-12,62.38777352322631,0.0,6.833319583861237,8.15203038074674,0.0,2.040250435644964,6.776158512245247,3.8112155217961177,0.07272360565605779,9.926528436823325
2024-03-13,62.65666973278703,0.0,6.4731833790595665,8.148683655517111,0.0,1.8944586043117753,6.881423841569028,3.9111482601754113,0.0729794699588736,9.96145305662121
2024-03-14,62.59607852983366,0.0,6.093050015057382,8.142759304753776,0.0,1.967842791853806,6.942185022921106,4.225650306754624,0.07296493507546621,9.959469093750176
2024-03-15,62.853338339629836,0.0,5.772213797078659,8.037812511412575,0.0,1.9588038873725975,7.018830575783125,4.285386446786337,0.0732644362892702,10.0003500056476
2024-03-18,62.95088912813252,0.0,5.384664302383469,8.042307852347303,0.0,1.9619688596341052,6.946373970070995,4.6239048235789815,0.07338281460682682,10.016508249245787
2024-03-19,63.17686795350288,0.0,5.077249078431052,8.07085623894256,0.0,1.8406937405205086,6.952496252624361,4.755725346054323,0.07364624158104266,10.052465148343268
2024-03-20,63.246752735599934,0.0,5.082839539295287,8.070567230485171,0.0,1.8427204928346974,6.962888115948496,4.656970830304255,0.07372733203475033,10.06353372349741
2024-03-21,63.38281788050839,0.0,5.068317082908597,8.062770922824972,0.0,1.689780970481587,7.014255082298522,4.648728269904289,0.07369874032359074,10.059631050750054
2024-03-22,63.35373741960364,0.0,5.067188025263733,8.036388057213001,0.0,1.7080140172949023,7.027778720540574,4.675178003381027,0.07368700160567677,10.058028755097444
2024-03-25,63.507430951303064,0.0,5.0638608809032215,8.00013032906793,0.0,1.5752753002249344,7.029428414669696,4.6814210864459485,0.07376509282318233,10.068687944562022
2024-03-26,63.50715313005223,0.0,5.055436525244465,7.9698342033244165,0.0,1.584221294655379,7.053053487448273,4.682127724956793,0.07380669817863521,10.07436693613981
2024-03-27,63.23935430550702,0.0,5.045657301411498,7.944842621165065,0.0,1.6684443042855095,7.039271193275183,4.929688279571893,0.07369446533728127,10.05904752944655
