date,EMPEROR SECURITIES LTD,GET NICE SECURITIES LTD,THEIA SECURITIES LTD,WELL LINK SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,QUAM SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,YUEN META (INTERNATIONAL) SECURITIES LTD,VALUABLE CAPITAL LTD
2024-03-01,0.0,0.0,0.0,64.03830445437008,0.0,0.0,0.0,35.961695545629915,0.0,0.0
2024-03-04,0.0,0.0,0.0,25.86184313057039,25.100097616641143,18.964274725352677,15.541202769899407,14.53258175753639,0.0,0.0
2024-03-07,0.0,0.0,0.0,25.866929913706887,25.085365504995206,18.9680048211692,15.544259579414947,14.535440180713763,0.0,0.0
2024-03-08,0.0,0.0,0.0,25.372484032885595,23.83531304060116,18.442548537339626,14.908261222860755,13.940717992789931,0.0,3.5006751735229305
2024-03-11,0.0,0.0,0.5612032680823185,4.058163417046873,3.8161822229597653,2.575629898944619,2.3844791951776174,2.229726962972222,0.0,0.5599101729945712
2024-03-12,0.0,0.0,3.4632147477089954,25.016539709833406,23.549860284421165,16.040642500813437,14.714745946798558,13.75976182019864,0.0,3.4552349902257946
2024-03-13,0.0,0.0,3.46303052008428,25.001910052835818,23.56190642489908,16.039789209960258,14.724602298406971,13.759029862055286,0.0,3.4497316317583038
2024-03-14,0.0,0.0,3.4621096758852428,25.021852573026216,23.555641148077584,16.035524117070626,14.720686922977567,13.755371239135453,0.0,3.4488143238273117
2024-03-15,0.0,0.0,3.5229057532744323,25.453129355647143,22.16454283296685,16.317114550784535,14.954836388829493,14.064565365223118,0.0,3.5229057532744323
2024-03-18,0.0,0.0,3.523859226695588,25.46001823773072,22.11641171802279,16.356715235433786,14.950764419658343,14.068371935763185,0.0,3.523859226695588
2024-03-19,0.0,0.0,3.5161509003959113,25.404325284196883,22.078835100827046,16.53428101971887,14.918060113622714,14.024094950657426,0.0,3.5242526305811555
2024-03-20,0.0,0.0,24.03089315687786,20.00164678169793,17.374875820274564,13.017974106616942,11.745471124416483,11.05438095227464,0.0,2.7747580578415856
2024-03-21,0.0,0.0,24.00435272699334,19.971060758442608,17.364182105362477,13.003596670590756,11.785596655617239,11.071906809928885,0.0,2.799304273064698
2024-03-22,0.0,0.0,23.990085994014894,19.978294936795983,17.372965654451804,12.995868120541159,11.778592010985092,11.0865527470129,0.0,2.7976405361981627
2024-03-25,0.0,0.0,23.987540147479226,19.976174824639397,17.381734099433363,12.99448898893484,11.7773420576638,11.085376233435145,0.0,2.797343648414229
2024-03-26,0.0,0.0,23.938257426390575,19.935133507095035,17.441335569222776,12.967791638035417,11.753145351364406,11.157913654417408,0.0,2.8064228534743862
2024-03-27,0.0,0.0,23.925082020196076,19.924161385072154,17.503710245283425,12.960654279654085,11.746676523608528,11.151772436948587,0.0,2.7879431092371467
2024-03-28,0.0,0.0,23.925082020196076,19.943213388096552,17.484658242259027,12.960654279654085,11.746676523608528,11.151772436948587,0.0,2.7879431092371467
2024-04-02,0.0,0.0,23.923056321789872,19.941524828135055,17.49587810417505,12.95955692179778,11.74568195130604,11.150828234223061,0.0,2.783473638573145
2024-04-03,0.0,0.0,24.858654105479747,19.93983655408469,17.50286300474034,12.020836610648976,11.744687547406983,11.14988419137227,0.0,2.783237986266996
