date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,MORTON SECURITIES LTD
2024-03-08,0.0,0.9784716147645968,0.0,0.0
2024-03-18,0.0,0.9788092393899172,0.0,0.0
2024-05-14,0.0,0.9798221132658788,0.0,0.0
2024-05-22,0.0,0.0,2.170264461495623,0.0
2024-06-03,0.0,0.0,2.170467036270815,0.0
2024-06-04,0.0,0.0,2.1701294116454948,0.0
2024-06-19,0.0,0.9835359841444048,0.0,0.0
2024-06-25,0.0,0.9840424210823857,0.0,0.0
2024-07-11,0.0,0.9857980691340525,0.0,0.0
2024-07-16,0.0,0.9859668814467127,0.0,0.0
2024-08-12,0.0,0.986101931296841,0.0,0.0
2024-08-15,0.0,0.0,2.169791787020174,0.0
2024-09-09,3.300393951807655,0.0,0.0,0.0
2024-10-23,0.0,0.0,2.154193529330365,0.0
2024-10-24,0.0,0.9912675880642452,0.0,0.0
2024-10-30,3.298030579430411,0.993630960441489,0.0,0.0
2024-11-07,3.290265213048039,0.0,0.0,0.0
2024-11-18,3.2905353127482955,0.0,0.0,0.0
2024-11-29,0.0,0.0,2.1528430308290827,0.0
2025-01-10,0.0,0.9936706650974267,0.0,53.04977249987582
2025-02-27,0.0,0.9938394774100869,0.0,0.0
2025-03-05,0.0,0.0,2.1526742185164225,0.0
2025-03-07,0.0,0.0,2.1513912449402044,0.0
2025-03-13,3.290332737973103,0.0,0.0,0.0
2025-03-19,3.2901301631979107,0.0,0.0,0.0
2025-04-01,0.0,0.9941771020354077,0.0,0.0
2025-04-11,0.0,0.0,2.1514925323278007,0.0
2025-04-14,3.2900964007353783,0.9942108644979396,0.0,0.0
