date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,BOCI SECURITIES LTD,DBS BANK (HONG KONG) LTD
2024-03-01,41.82679630966878,16.168168027188223,16.45697840078631,10.319721527584715,0.0,4.298714661901222,4.2851364785058275,2.903602115527417,2.2031341270162206,1.5377483518212873
2024-03-04,38.99856491109623,15.115163922690005,15.34716220539522,9.63038437756979,6.718971782040074,4.005940024655139,3.996211229485121,2.704912152311249,2.052807695854655,1.4298816989025105
2024-03-05,38.96145406451954,15.118537546316674,15.354980899005376,9.632983359609822,6.716002358137123,4.027527451536377,3.991625722023198,2.7159949670475685,2.0518008915505392,1.4290927402537754
2024-03-06,38.88921607232917,15.101680165497436,15.468597787940732,9.64073587569296,6.710118298257314,4.025262909076343,3.9726285729375346,2.713555220906306,2.0524411184469753,1.4257639789152283
2024-03-07,38.89711953670532,15.097877584936503,15.479613086700608,9.634542080214356,6.708709474573124,4.024207149354789,3.9662878940895894,2.7129554053591525,2.0532231555968425,1.4254646324697144
2024-03-08,38.857782014403895,15.096807041904572,15.491241151561402,9.641768282869965,6.714349353038945,4.0278913805236325,3.9710979590657796,2.7238794350416473,2.0499801136140134,1.425203267976145
2024-03-11,38.85353154933212,15.101248972826625,15.486630063805523,9.64935451929079,6.7145568264801,3.956337463879304,4.036616645477539,2.724415357421354,2.051760125062098,1.4255484764245496
2024-03-12,38.83749284065863,15.09489770344781,15.496332832530484,9.643968268897618,6.711850532841727,3.9517934420161653,4.066815748450728,2.7204471341647793,2.051222470929365,1.4251790260626902
2024-03-13,38.92081655520535,15.077740965222578,15.473338421556038,9.632260486703242,6.706581413817876,3.9472816746539707,4.049626454985824,2.7215083096767425,2.04804948944167,1.4227962287367069
2024-03-14,39.00655364108646,15.136508601346579,15.472051014123927,9.584108462171379,6.7083179401827735,3.86954456233889,4.025124182215358,2.7245002225836057,2.050126742445366,1.4231646315056625
2024-03-15,39.06980276589857,15.063037576516427,15.464042807155073,9.601345504867346,6.710942100573465,3.8723528515695755,4.019825305434423,2.7221946123753322,2.052705023453439,1.423751452156341
2024-03-18,39.10954987873162,14.980759479866299,15.487198278332665,9.615923042108978,6.711507697556812,3.861837993648718,4.0294088431343775,2.723947165434816,2.0538509520546184,1.4260166691310976
2024-03-19,39.09706478367612,15.010672914199205,15.48215168890022,9.613558683885785,6.710404025386646,3.861594469792144,4.015313562063165,2.723981116000387,2.059325997486802,1.4259327586095318
