date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),GF SECURITIES (HONG KONG) BROKERAGE LTD,ICBC (ASIA) SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-07,8.115734304898245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.115734304898245
2024-03-08,8.115734304898245,2.426658547306722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.542392852204967
2024-03-11,8.115734304898245,2.4280723737054895,0.0,0.0,0.0,0.0,0.6300858728747022,0.0,0.0,11.173892551478437
2024-03-12,8.115734304898245,2.4379691584968612,0.0,1.4156407621849894,0.0,0.0,0.6300858728747022,0.0,0.0,12.599430098454798
2024-03-13,8.115734304898245,2.4379691584968612,0.0,1.4156407621849894,1.139869257478282,0.0,0.6300858728747022,0.0,0.0,13.73929935593308
2024-03-14,8.115734304898245,2.438676071696245,0.0,1.4149338489856056,1.139869257478282,0.0,0.6300858728747022,0.0,0.0,13.73929935593308
2024-03-15,8.115734304898245,2.446452116889466,0.0,1.414877295929655,1.139869257478282,0.0,0.6300858728747022,0.0,0.0,13.74701884807035
2024-03-21,8.115734304898245,2.456348901680838,0.0,1.4360846919111667,1.1016959447115608,0.0,0.6300858728747022,0.0,0.0,13.739949716076513
2024-03-22,8.115734304898245,2.456348901680838,0.0,1.437498518309934,1.1016959447115608,0.0,0.6300858728747022,0.0,0.0,13.741363542475282
2024-03-25,8.115734304898245,2.456348901680838,0.0,1.4391244186685166,1.1016959447115608,0.0,0.6300858728747022,0.0,0.0,13.742989442833863
2024-03-26,8.115734304898245,2.456348901680838,0.0,1.4391244186685166,1.1016959447115608,0.0,0.6541209216537489,0.0,0.0,13.767024491612911
