date,UOB KAY HIAN (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,QUAM SECURITIES LTD,CELESTIAL SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,FUTU SECURITIES INTERNATIONAL,CHINA DEMETER SECURITIES LTD
2024-03-18,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-20,0.0,72.29088501434562,0.0,27.70911498565438,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,0.0,72.21119929453262,0.0,27.78880070546737,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-30,0.0,38.98254423720708,0.0,15.070540411286466,15.327594452415113,0.0,0.0,0.0,30.619320899091345,0.0
2024-05-31,0.0,38.964300663756504,0.0,15.075046343359444,15.33217724092567,0.0,0.0,0.0,30.62847575195838,0.0
2024-06-04,0.0,29.060743912229057,25.41700115957542,11.243421639461243,11.435197573811436,0.0,0.0,0.0,22.843635714922844,0.0
2024-06-19,0.0,29.03542428839118,25.426072990095477,11.24743463906487,11.439279022039797,0.0,0.0,0.0,22.851789060408674,0.0
2024-06-21,0.0,29.04838421710409,25.437421888948403,11.252454918764506,11.444384931262274,0.0,0.0,0.0,22.81735404392073,0.0
2024-06-25,0.0,29.057463053087467,25.414117962227085,11.255971781935079,11.447961780595616,0.0,0.0,0.0,22.82448542215475,0.0
2024-06-27,0.0,28.76209837804393,25.155787333716358,12.158041278119061,11.331594997127326,0.0,0.0,0.0,22.59247801299333,0.0
2024-08-06,0.0,28.74939258735698,25.144674647700665,12.196845871802802,11.32658921235146,0.0,0.0,0.0,22.58249768078809,0.0
2024-08-07,0.0,26.46389069616135,23.145738451528953,11.227228366948601,10.42615484710475,0.0,0.0,7.949739752765127,20.787247885491215,0.0
2024-08-23,3.5981363298226383,25.48059981989742,22.28573665870561,10.927528287850906,10.03876120747034,0.0,0.0,7.654359657022043,20.01487803923104,0.0
2024-08-27,3.9818686256887186,25.43081552108163,22.24219452151147,10.710796764487515,10.019147356492516,0.0,0.0,7.639404478136845,19.975772732601303,0.0
2024-08-28,4.355610914327975,25.331828266708182,22.155618699155347,10.66910591257639,9.980148690202794,0.0,0.0,7.609668755595345,19.898018761433967,0.0
2024-08-30,4.72645496491024,25.233608623163118,22.06971424140204,10.627738358342057,9.941452444651235,0.0,0.0,7.580163622969254,19.820867744562058,0.0
2024-09-03,5.168287787555967,25.119654160876948,21.958468426740772,10.579743708507024,9.896557048016057,0.0,0.0,7.545931758530183,19.731357109773043,0.0
2024-09-04,5.38739987677141,25.06161429451633,21.9077325939618,10.555298829328404,9.873690696241528,0.0,0.0,7.528496611213802,19.68576709796673,0.0
2024-09-05,5.786486693764859,24.955901526190658,21.815323260986272,10.510775366209064,9.832042334534858,0.0,0.0,7.496740547588006,19.602730270726283,0.0
2024-09-09,5.931229897380915,24.919589523663653,21.73763210292541,10.533772400061265,9.817736253637618,0.0,0.0,7.4858324398835965,19.574207382447543,0.0
2024-09-10,5.967235703896502,24.91005128990278,21.72931179667764,10.529740488402357,9.813978412309577,0.0,0.0,7.482967159151803,19.566715149659345,0.0
