date,STANDARD CHARTERED BANK (HONG KONG) LTD,SOOCHOW SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOOM SECURITIES (H.K.) LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF COMMUNICATIONS TRUSTEE LTD
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-04-08,0.0,0.0,0.0,93.37136647650095,0.0,0.0,6.628633523499048,0.0,0.0
2024-04-11,63.023924332344215,0.0,0.0,31.87129080118694,0.0,2.842173590504451,2.262611275964392,0.0,0.0
2024-05-03,63.02563864805971,0.0,0.0,31.869813157772732,0.0,2.842041819277667,2.262506374889888,0.0,0.0
2024-05-16,60.40971240995202,0.0,0.0,30.547032742828467,4.150574741043463,2.724080749396836,2.1685993567792106,0.0,0.0
2024-05-23,60.40434385170516,0.0,0.0,30.55320496721529,4.150205883100487,2.7238386627258544,2.1684066352532083,0.0,0.0
2024-05-24,59.448102602334785,0.0,0.0,30.05203480088603,4.067012888964379,2.6807184710336345,2.134079304835911,1.6180519319452604,0.0
2024-05-30,59.45743872982915,0.0,0.0,30.06781359565721,4.069148270549416,2.655873523364949,2.130824391892471,1.6189014887068056,0.0
2024-05-31,59.45483733727033,0.0,0.0,30.066498063266,4.073345454437267,2.655757323108624,2.1307311636802306,1.6188306582375467,0.0
2024-06-20,42.939293716397295,0.0,27.76566148252138,21.714535758266408,2.941839297015288,1.9180330624661974,1.538850249458053,1.1817864338753836,0.0
2024-07-05,42.935223641677894,0.0,27.763029666599724,21.712477508691627,2.9510391215116436,1.9178512584074239,1.5387043868936003,1.1816744162180832,0.0
2024-07-12,42.882382797515504,0.0,27.728861405678767,21.685755727759698,3.0704783274349676,1.9154909381184717,1.536810686760619,1.1802201167319744,0.0
2024-07-16,42.882382797515504,0.0,27.728861405678767,21.685755727759698,3.073633996196283,1.912335269357156,1.536810686760619,1.1802201167319744,0.0
