date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,CHINA MERCHANTS SECURITIES (HK) CO LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,68.48582913577113,31.51417086422887,0.0,0.0,0.0,0.0,0.0
2024-03-06,55.528833094087794,25.5575265910714,18.91364031484081,0.0,0.0,0.0,0.0
2024-03-07,55.5143350095656,25.576962858887352,18.908702131547052,0.0,0.0,0.0,0.0
2024-03-08,55.55370613226612,25.54005986097311,18.906234006760766,0.0,0.0,0.0,0.0
2024-03-12,50.75171052841537,23.332407775935245,17.27200185724971,0.0,0.0,8.643879838399677,0.0
2024-03-13,44.95607562468541,20.667943554210957,15.299610862366514,0.0,11.419585356605946,7.656784602131175,0.0
2024-03-14,36.87317641321705,16.940078765434205,12.551759128852574,12.50160735293004,9.368596759546534,6.281605257285106,5.48317632273449
2024-03-15,36.880208998089394,16.938191571767657,12.550360811840006,12.500214623029265,9.367553059767221,6.280905460913351,5.482565474593103
2024-03-18,36.8788395138557,16.94177104244944,12.549894775401334,12.49975044868457,9.367205211515486,6.280177119303739,5.4823618887897245
2024-03-19,36.8752453328604,16.942735723564912,12.550609378760136,12.500462196776061,9.367738589398451,6.2805347187692036,5.482674059870838
2024-03-21,36.87570179780596,16.941707588585093,12.550764738085206,12.500616935347821,9.367854549149948,6.280612463172329,5.4827419278536444
2024-03-22,36.86241533432409,16.945273495622587,12.553406435214704,12.50324807731918,9.369826304257183,6.281934412572358,5.4838959406899
2024-03-25,36.85971600241066,16.94380499918038,12.552318542907004,12.502164531791138,9.369014304580961,6.281390013077274,5.491591606052586
2024-03-26,36.855609497153985,16.941917306277574,12.5509201012566,12.50077167775053,9.367970511772326,6.280690209500214,5.5021206962887685
2024-03-27,36.83248191288761,16.970763485747188,12.549366642609874,12.49922442609911,9.366811014725387,6.27991283282706,5.5014396851037715
2024-04-03,36.563687240710436,16.979146484933693,12.554649971636922,12.504486645070525,9.370754476250925,6.523519370165083,5.5037558112324145
2024-04-19,36.563687240710436,16.860274869140337,12.554649971636922,12.504486645070525,9.370754476250925,6.642390985958441,5.5037558112324145
2024-04-24,36.03763323790518,17.000090925552115,12.658761064859808,12.608181752281828,9.44846269552026,6.697473890597302,5.549396433283505
2024-05-08,36.03781321280808,16.9996764171831,12.658824283753193,12.608244718577968,9.448509881919682,6.6975073383324855,5.549424147425486
2024-06-04,36.038263157930025,16.99988866428681,12.657733797609488,12.608402137069868,9.448627849980227,6.697590959132067,5.549493433991516
2024-06-14,36.04276322717661,17.00201142685831,12.659314358757634,12.609976538212814,9.449807692622027,6.685940361551464,5.550186394821147
2024-06-18,36.038263157930025,17.01237402568438,12.657733797609488,12.608402137069868,9.448627849980227,6.6851055977344975,5.549493433991516
2024-07-04,36.03871311428756,17.01133788224594,12.657891835963591,12.608559559492672,9.448745820986556,6.685189064735983,5.5495627222877015
2024-07-17,36.04321329591325,17.00097502463728,12.659472436582694,12.61013399995274,9.44992569309227,6.686023849399296,5.550255700422471
2024-07-24,36.038263157930025,16.998640128147052,12.671467695146813,12.608402137069868,9.448627849980227,6.6851055977344975,5.549493433991516
2024-07-31,36.03916308188111,16.99656747244236,12.671784118755363,12.608716985846524,9.44886379493878,6.68527253382175,5.5496320123141105
2024-08-20,36.0396130607111,16.99553110577178,12.671942336485852,12.608874416131574,9.448981771837008,6.685356004991879,5.549701304070806
2024-08-30,36.04278270062892,16.994688870188234,12.67131436195055,12.608249567008848,9.448513515291982,6.685024703505564,5.549426281425897
2024-09-11,36.04118562213073,16.995113245314673,12.671630777901177,12.608564408165696,9.448749454540314,6.685191635552715,5.5495648563946895
2024-09-17,36.0491702171069,16.99299158159783,12.670048856153047,12.60699035960008,9.447569876116924,6.684357058675905,5.548872050749319
2024-09-27,36.053161767046205,16.9919309483778,12.669258043384634,12.606203482685807,9.44698019734194,6.683939848373827,5.548525712789787
2024-10-18,36.05118161946691,16.996490000037586,12.668562209803985,12.605511112250403,9.446461340907371,6.683572746387144,5.548220971146604
2024-10-25,36.05120105985857,16.996445240873776,12.668569041253056,12.605517909699532,9.44646643485714,6.68357635046518,5.548223962992747
2024-11-07,36.112447271691686,16.980167094874396,12.65643586790215,12.593445122830053,9.437419192470536,6.6771752336381605,5.54291021659302
2024-11-08,36.11325790565308,16.97830350763215,12.656719973176642,12.59372781412014,9.437631038885922,6.6773251194924725,5.543034641039603
2024-11-14,36.11323070379004,16.978366042694006,12.656710439659502,12.593718328051063,9.437623930107545,6.67732008988025,5.543030465817597
2024-11-15,36.11368107103809,16.977330681855758,12.656868281196768,12.59387538401519,9.437741626492903,6.677403362581543,5.543099592819752
2024-11-18,36.1538107767358,16.96666650061606,12.648917965578427,12.585964636906466,9.431813380817276,6.673209002407758,5.539617736938208
2024-12-09,36.15606386768139,16.961491896670573,12.649706241058315,12.586748989160231,9.432401167633445,6.673624874108648,5.539962963687393
2025-01-17,36.15155796657866,16.971840459683452,12.648129788336318,12.585180382401553,9.431225667253253,6.672793182534323,5.539272553212444
2025-02-06,36.15840738018163,16.956109624350972,12.650526151787775,12.587564819215775,9.433012543642858,6.674057435666553,5.54032204515444
