date,INTERACTIVE BROKERS HONG KONG LTD,SUNHIGH FINANCIAL HOLDINGS LTD,GOLDEN RICH SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,THE HONGKONG AND SHANGHAI BANKING,BOCOM INTERNATIONAL SECURITIES LTD,TAIPING SECURITIES (HK) CO LTD,GET NICE SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL
2024-03-04,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,71.24400318525204,0.0,0.0,0.0,0.0,28.755996814747952,0.0
2024-03-06,0.0,0.0,0.0,71.27052914644418,0.0,0.0,0.0,0.0,28.729470853555828,0.0
2024-03-08,0.0,0.0,0.0,65.56495977335413,0.0,0.0,0.0,0.0,26.438663864242407,7.996376362403461
2024-03-11,0.0,0.0,0.0,65.47077484698019,0.0,0.0,0.0,0.0,26.48961138017568,8.039613772844131
2024-03-12,0.0,0.0,0.0,65.41409561039599,0.0,0.0,0.0,0.0,26.596536562496375,7.989367827107645
2024-03-13,7.376294666936179,0.0,0.0,60.60000390591176,0.0,0.0,0.0,0.0,24.622303960586088,7.401397466565972
2024-03-14,4.110770808525295,0.0,0.0,33.77206826749677,22.485846033235887,21.769381437243222,0.0,0.0,13.72188245319319,4.140051000305635
2024-03-15,4.1107853137774475,0.0,0.0,33.772187435504115,22.485925376717137,21.769458252609887,0.0,0.0,13.72157801251564,4.140065608875774
2024-03-18,4.110787908616682,0.0,0.0,33.77220875342522,22.48593957044338,21.769471994082643,0.0,0.0,13.721523551234553,4.140068222197526
2024-03-19,4.111319839232638,0.0,0.0,33.77657883337188,22.48884922181727,21.772288935482756,0.0,0.0,13.723299098559478,4.127664071535981
2024-03-20,4.112809977585992,0.0,0.0,33.78882107613889,22.497235608769355,21.780180251179836,0.0,0.0,13.70356073445109,4.117392351874844
2024-03-21,4.139076428701443,0.0,0.0,33.86894273335,22.539966004627722,21.83182644896073,0.0,0.0,13.612169107497305,4.008019276862795
2024-03-22,4.139824107764446,0.0,0.0,33.85576411827829,22.531195564462426,21.823331550275864,0.0,0.0,13.62573828270457,4.024146376514414
2024-03-25,4.133926141598966,0.0,0.0,33.80753014840948,22.57798339009067,21.79224006721981,0.0,0.0,13.638116433266683,4.050203819414395
2024-03-27,4.118818123231611,0.0,0.0,33.818828209874496,22.58552867491265,21.783033240546274,0.0,0.0,13.642234403635129,4.051557347799839
2024-03-28,4.131116352808605,0.0,0.0,33.842385676268584,22.522174274009434,21.798206831728702,0.0,0.0,13.65173728991225,4.0543795752724225
2024-04-02,4.12207587981522,0.0,0.0,33.84557702639282,22.524298123798133,21.80026241110618,0.0,0.0,13.653024654045293,4.054761904842359
2024-04-03,4.1219911161320635,0.0,0.0,33.844881047994804,22.511746516224523,21.799814124711254,0.0,0.0,13.65274390214027,4.068823292797078
2024-04-05,4.120631124189992,0.0,0.0,33.83371441414994,22.504319087828524,21.792621588213002,0.0,0.0,13.687124651373955,4.0615891342445885
2024-04-08,4.120712050971709,0.0,0.0,33.834378888483734,22.50476105947403,21.79304958253648,0.0,0.0,13.686607881914254,4.06049053661979
