date,CELESTIAL SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,FUTU SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,SINOMAX SECURITIES LTD,VALUABLE CAPITAL LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,1.5239998333333333,0.0,0.0,0.0
2024-03-04,5.281333333333333,0.0,0.0,4.758666666666667,0.0,1.5146665,0.0,0.0,0.0
2024-03-05,5.266666666666667,0.0,0.0,0.0,0.0,1.5159998333333333,0.0,0.0,0.0
2024-03-06,5.314666666666667,0.0,0.0,0.0,0.0,1.4626665,0.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,0.0,1.4493331666666667,0.0,0.0,0.0
2024-03-08,5.281333333333333,0.0,0.0,0.0,0.0,1.4853331666666667,0.0,0.0,0.0
2024-03-11,5.4,1.304,0.97117,0.0,0.0,1.4373331666666667,0.0,0.0,0.0
2024-03-12,5.366666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,5.446666666666666,1.3186666666666667,0.0,0.0,0.0,1.4039998333333332,0.0,0.0,0.0
2024-03-14,5.510666666666666,0.0,0.9685033333333334,4.741333333333333,0.0,1.3639998333333334,0.0,0.0,0.0
2024-03-15,0.0,0.0,0.0,0.0,0.0,1.3933331666666666,0.0,0.0,0.0
2024-03-18,5.524,0.0,0.0,0.0,0.0,1.4119998333333332,0.0,0.0,0.0
2024-03-19,0.0,0.0,0.9525033333333334,0.0,0.0,1.4199998333333332,0.0,0.0,0.0
2024-03-20,0.0,1.332,0.0,0.0,0.0,1.4213331666666666,0.0,0.0,0.0
2024-03-21,0.0,0.0,0.0,0.0,0.0,1.4573331666666667,0.0,0.0,0.0
2024-03-22,5.457333333333334,1.312,0.0,0.0,0.0,1.4946665,0.0,0.0,0.0
2024-03-25,5.48,0.0,0.0,0.0,0.0,1.5679998333333334,0.0,0.0,0.0
2024-03-26,5.404,0.0,0.0,0.0,0.0,1.5666665,0.0,0.0,0.0
2024-03-27,5.492,1.316,0.0,0.0,0.0,0.0,0.092,0.0,0.0
2024-03-28,5.474666666666667,0.0,0.0,0.0,0.0,1.5613331666666668,0.09333333333333334,0.0,0.0
2024-04-02,5.532,0.0,0.0,0.0,0.0,0.0,0.09466666666666666,0.0,0.0
2024-04-03,5.458666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,5.525333333333333,0.0,0.0,0.0,0.0,1.5879998333333332,0.0,0.0,0.0
2024-04-08,0.0,1.3146666666666667,0.0,4.758666666666667,0.0,0.0,0.0,0.0,0.0
2024-04-09,0.0,1.3013333333333332,0.0,0.0,0.0,1.5786664999999998,0.096,1.216,0.0
2024-04-10,5.452,0.0,0.0,4.756,0.0,0.0,0.0,0.0,0.0
2024-04-11,5.525333333333333,1.3106666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,0.0,1.2973333333333332,0.0,0.0,0.0,1.6053331666666666,0.09733333333333333,0.0,0.0
2024-04-15,0.0,1.3133333333333335,0.0,0.0,0.0,1.6013331666666666,0.0,1.2693333333333332,0.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,1.6226665000000002,0.0,0.0,0.0
2024-04-17,0.0,1.3053333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,0.0,1.3026666666666666,0.0,4.761333333333333,0.0,1.6293331666666668,0.0,0.0,0.0
2024-04-19,0.0,1.284,0.0,0.0,0.0,1.6186665,0.0,0.0,0.0
2024-04-22,0.0,0.0,0.0,0.0,0.0,1.6306665000000002,0.0,1.3226666666666667,0.0
2024-04-23,0.0,1.2946666666666666,0.0,0.0,0.0,1.6426665,0.09866666666666667,0.0,2.308
2024-04-24,0.0,0.0,0.0,0.0,0.0,1.6613331666666669,0.1,1.38,0.0
2024-04-25,0.0,1.2773333333333332,0.0,0.0,0.0,1.6773331666666664,0.10266666666666666,0.0,0.0
2024-04-26,0.0,0.0,0.0,0.0,0.0,1.6786664999999998,0.0,0.0,2.3066666666666666
2024-04-29,5.610666666666667,1.3026666666666666,0.0,4.769333333333333,0.0,1.6813331666666667,0.0,0.0,0.0
2024-04-30,5.561333333333334,1.3053333333333335,0.0,0.0,0.0,1.68,0.0,0.0,2.3013333333333335
2024-05-03,5.476,0.0,0.0,0.0,0.0,1.712,0.0,0.0,0.0
2024-05-06,0.0,1.312,0.0,0.0,0.0,1.7146666666666668,0.0,0.0,0.0
2024-05-07,5.510666666666666,1.3213333333333335,0.0,4.768,0.0,1.6826666666666668,0.0,0.0,0.0
2024-05-08,5.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,0.0,0.0,0.0,0.0,1.9586666666666666,1.6853333333333336,0.0,0.0,0.0
2024-05-10,0.0,1.316,0.9578366666666666,0.0,0.0,1.6826666666666668,0.0,0.0,0.0
2024-05-13,0.0,0.0,0.9245033333333332,4.772,0.0,1.6653333333333333,0.0,0.0,0.0
2024-05-14,0.0,1.3293333333333335,0.9138366666666666,0.0,0.0,1.6626666666666667,0.0,0.0,0.0
2024-05-16,0.0,1.3173333333333335,0.0,0.0,0.0,1.6706666666666667,0.08933333333333333,0.0,0.0
2024-05-20,0.0,1.32,0.0,0.0,0.0,1.6893333333333334,0.0,0.0,0.0
2024-05-22,0.0,1.324,0.0,0.0,0.0,0.0,0.09733333333333333,0.0,0.0
2024-05-23,0.0,1.3373333333333333,0.0,0.0,0.0,1.7106666666666666,0.0,0.0,0.0
2024-05-24,0.0,1.3253333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,5.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,5.593333333333334,1.3186666666666667,0.0,0.0,0.0,1.72,0.0,0.0,0.0
2024-05-29,0.0,1.2919999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.10533333333333335,0.0,0.0
2024-06-04,0.0,1.284,0.0,4.78,0.0,1.7239999999999998,0.116,0.0,0.0
2024-06-06,5.505333333333334,0.0,0.0,0.0,0.0,0.0,0.20933333333333334,0.0,0.0
2024-06-07,0.0,1.248,0.0,4.8133333333333335,0.0,0.0,0.0,0.0,0.0
2024-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.18266666666666667,0.0,0.0
2024-06-12,0.0,0.0,0.0,0.0,0.0,1.6906666666666668,0.19066666666666668,0.0,0.0
2024-06-13,0.0,1.2413333333333334,0.91917,0.0,0.0,1.6840000000000002,0.2053333333333333,0.0,0.0
2024-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333336,0.0,0.0
2024-06-17,5.596,0.0,0.0,0.0,0.0,1.594666666666667,0.0,0.0,0.0
