date,KGI ASIA LTD,TIGER BROKERS (HK) GLOBAL LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,LONG BRIDGE HK LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,CHINA GALAXY INTERNATIONAL SECURITIES,DAH SING SECURITIES LTD,HANTEC SECURITIES CO LTD
2024-03-01,0.0,0.0,69.3783638025418,0.0,0.0,30.6216361974582,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,69.31409048544626,0.0,0.0,30.68590951455375,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,69.32696672485595,0.0,0.0,30.67303327514405,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,48.200427872192314,16.097158330933993,0.0,21.31290431917662,14.389509477697072,0.0,0.0,0.0
2024-03-08,0.0,0.0,48.21552643180634,16.092466324905907,0.0,21.306692025460812,14.38531521782694,0.0,0.0,0.0
2024-03-13,0.0,0.0,48.27794110689343,16.070060305201824,0.0,21.282808468204202,14.369190119700548,0.0,0.0,0.0
2024-03-14,0.0,0.0,55.61685273118889,13.606039521891727,0.0,18.487888601634985,12.289219145284397,0.0,0.0,0.0
2024-03-15,0.0,0.0,56.09105905958095,12.294042445771106,0.0,16.166011362630837,10.965135174149708,4.483751957867396,0.0,0.0
2024-03-18,0.0,0.0,56.560012560995546,12.411428471949607,0.0,16.098316480642115,11.069832522502065,3.860409963910675,0.0,0.0
2024-03-19,0.0,0.0,56.58514216494911,12.394727876017777,0.0,16.083253968424987,11.074750847207577,3.8621251434005472,0.0,0.0
2024-03-20,0.0,0.0,56.74540495434256,12.444489637667939,0.0,16.147824248510307,11.007692332226906,3.654588827252281,0.0,0.0
2024-03-21,0.0,0.0,56.770729444772826,12.450043397641847,0.0,16.11040247622613,11.012604874473295,3.656219806885905,0.0,0.0
2024-03-25,0.0,0.0,56.77120449485378,12.44931079099087,0.0,16.110537285978896,11.012697026518694,3.6562504016577577,0.0,0.0
2024-04-02,0.0,0.0,56.78084855455098,12.446533431708605,0.0,16.106943131167863,11.010240166309895,3.6554347162626533,0.0,0.0
