date,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,ORIENT SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,CITIBANK N.A.,PHILLIP SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,9.17133731443313,0.0,0.0,2.8178326731333585,1.2398737282737295,0.0,0.0,0.0,0.0,13.22904371584022
2024-03-04,0.0,9.151071254368851,0.0,3.8265939530824413,2.8086208276495954,1.2398737282737295,0.0,0.0,0.0,0.0,17.026159763374615
2024-03-05,0.0,9.151071254368851,0.0,3.8265939530824413,2.8123055658431007,1.2398737282737295,0.0,0.0,0.0,0.0,17.02984450156812
2024-03-06,0.0,9.151071254368851,0.0,3.8265939530824413,2.83242990520763,1.2398737282737295,0.0,0.0,0.6858077241962125,0.0,17.735776565128862
2024-03-07,0.0,9.151071254368851,0.0,3.8265939530824413,2.8325716259073803,1.2398737282737295,1.562863422805036,0.0,0.6858077241962125,0.0,19.29878170863365
2024-03-12,0.0,9.152771902765853,0.0,3.8265939530824413,2.8348391571033837,1.2398737282737295,1.562863422805036,1.2437408610078133,0.6858077241962125,0.0,20.54649074923447
2024-03-13,0.0,9.152063299267102,0.0,3.8265939530824413,2.8338471122051323,1.2398737282737295,1.562863422805036,1.2437408610078133,0.6999797941712331,0.0,20.558962170812485
2024-03-14,0.0,9.146536191976844,0.0,3.8265939530824413,2.8355477606021346,1.2398737282737295,1.562721702105286,1.2437408610078133,0.6999797941712331,0.2818642606932431,20.836858251912723
2024-03-15,0.0,9.169636666036128,0.0,3.8265939530824413,2.8151399798381047,1.2398737282737295,1.5625799814055357,1.2437408610078133,0.6999797941712331,0.2818642606932431,20.83940922450823
2024-03-18,0.0,9.169636666036128,0.0,3.8265939530824413,2.7985586579673307,1.2398737282737295,1.5625799814055357,1.2437408610078133,0.6850991206974615,0.2818642606932431,20.80794722916368
2024-03-19,7.4448717992778555,9.126978735411315,0.0,3.8265939530824413,2.8191081594311105,1.2398737282737295,1.5624382607057854,1.1272464458131437,0.6850991206974615,0.2818642606932431,28.114074463386086
2024-03-20,7.4448717992778555,9.126978735411315,0.0,3.819507918094931,2.81896643873136,1.2398737282737295,1.5624382607057854,1.1272464458131437,0.6850991206974615,0.2818642606932431,28.106846707698825
2024-03-22,7.444304916478854,9.127403897510566,0.0,3.819507918094931,2.81896643873136,1.2398737282737295,1.5624382607057854,1.1272464458131437,0.6850991206974615,0.2818215319022684,28.106662258208097
2024-03-25,7.444304916478854,9.120317862523056,0.0,3.8193661973951807,2.8192498801308608,1.2398737282737295,1.5624382607057854,1.1272464458131437,0.6850991206974615,0.2818215319022684,28.09971794392034
2024-03-26,7.444304916478854,9.119467538324555,0.0,3.8193661973951807,2.819391600830611,1.2398737282737295,1.5624382607057854,1.1272464458131437,0.6850991206974615,0.2818215319022684,28.09900934042159
2024-03-27,7.437218881491344,9.119325817624805,0.0,3.8193661973951807,2.826761077217622,1.2398737282737295,1.5624382607057854,1.1272464458131437,0.6850991206974615,0.2818215319022684,28.09915106112134
2024-03-28,7.437218881491344,9.115782800131049,0.0,3.8193661973951807,2.826761077217622,1.2398737282737295,1.5624382607057854,1.1272464458131437,0.6850991206974615,0.2818215319022684,28.095608043627585
2024-04-02,7.437218881491344,9.1159245208308,0.0,3.8193661973951807,2.831154418909878,1.2398737282737295,1.5624382607057854,1.1272464458131437,0.684815679297961,0.2818215319022684,28.09985966462009
2024-04-03,7.437218881491344,9.128821104508068,0.0,3.8404825816579615,2.8049360894560897,1.2475266460602408,1.5624382607057854,1.1272464458131437,0.6853825620969619,0.2818215319022684,28.115874103691862
2024-04-05,7.4301328465038345,9.128679383808318,0.0,3.854654651632982,2.7978500544685794,1.2475266460602408,1.5624382607057854,1.1272464458131437,0.6852408413972116,0.2818215319022684,28.115590662292362
2024-04-08,7.427298432508829,9.149087164572348,0.0,3.851111634139227,2.7825442188955574,1.2475266460602408,1.5624382607057854,1.1272464458131437,0.6852408413972116,0.2818215319022684,28.11431517599461
