date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,MERRILL LYNCH FAR EAST LTD,CMB INTERNATIONAL SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,TIGER BROKERS (HK) GLOBAL LTD,TOTAL_CCASS_PCT
2024-03-01,30.388761994273818,9.562423192240601,6.464134068456648,10.964940385914078,0.0,0.0,2.3331279397241307,0.0,1.484766202692859,3.3753723688532786,64.57352615215541
2024-03-04,30.392300322444232,9.577413528790531,6.465560813686653,10.957578380527247,0.10712003186884675,0.0,2.389569981023166,12.634351580922267,1.4732190779646777,3.3778073473791554,77.37492106460677
2024-03-05,30.407766240737494,9.582835160664553,6.46392481248958,10.959785079816323,0.10712003186884675,0.0,2.464369477614945,12.538493324735603,1.4611202784142272,3.3792531158788948,77.36466752222046
2024-03-06,30.415794060565,9.556602071702178,6.533708253318052,10.959404614421654,0.10712003186884675,0.0,2.4453081613420653,12.466166853209167,1.5438144319453722,3.378967766832894,77.40688624520521
2024-03-07,30.423022903063696,9.55728690941258,7.854735085969114,10.966861736157153,0.10712003186884675,0.0,2.5759599778711433,12.282306951235732,1.6353353826328205,3.3827533975098434,78.78538237572093
2024-03-08,30.421786390531018,9.557667374807249,7.854773132508582,10.95993726597419,0.10712003186884675,0.0,2.626599921901488,12.171458358499137,1.647434182183271,3.3827533975098434,78.72953005578363
2024-03-11,30.43348570141707,9.54758504184854,7.854468760192847,10.96406531550634,0.10712003186884675,0.0,2.724417574870696,12.026139601005598,1.8631580609601703,3.2668065684846925,78.78724665615479
2024-03-12,30.392319345713965,9.583329765677622,7.913510331300952,10.969848389505298,0.10712003186884675,0.0,3.002804104149457,11.063505082685717,2.476144881579927,3.270630245701109,78.77921217818289
2024-03-13,30.4169925265582,9.581275252546414,20.943346749044096,10.97247360072851,0.10712003186884675,0.0,3.10182022311187,10.871731500503182,2.450063978775418,3.270630245701109,91.71545410883765
2024-03-14,30.466262795167744,9.591433678584057,21.059890147808087,10.977876209332798,0.10712003186884675,0.0,3.284862124486767,10.27219413158495,2.428529637437195,3.2760138310356646,91.4641825873061
2024-03-15,30.539045825167776,9.591814143978725,20.970423710251847,10.976126068517324,0.29501286702576374,0.0,3.2775952354486027,10.078917711093476,2.4960812682605438,3.2832046269948942,91.50822145673897
2024-03-18,30.534518286971224,9.589797677386983,20.970423710251847,10.97247360072851,0.2955645418480327,0.0,3.312940470613284,9.97012363148809,2.6141777267655693,3.2846884420341005,91.54470808808763
2024-03-19,30.558392490486657,9.581008926770146,20.88314475848225,10.973215508248112,0.2955645418480327,0.0,3.5610229312067183,9.7324278761691,2.7036631875915424,3.2618605183540055,91.55030073915657
2024-03-20,30.53857024342444,9.599994149964092,20.915008735285717,10.973177461708646,0.29630644936763584,0.0,3.6247318615439172,9.624623006589848,2.6893576887520165,3.262735588761742,91.52450518539806
2024-03-21,30.53855122015471,9.598034753181551,20.903119191702334,10.977020162194794,0.2955645418480327,0.0,3.67965204126428,9.564604590580931,2.7121095193531777,3.2628877749196095,91.53154379519943
